Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,78.34,77.90,78.39,77.85,2.32M,0.73%
Apr 18  2016,77.77,77.30,77.87,77.16,3.02M,0.30%
Apr 15  2016,77.54,77.29,77.63,77.11,1.96M,0.19%
Apr 14  2016,77.39,77.00,77.90,76.90,2.28M,0.81%
Apr 13  2016,76.77,76.43,77.08,76.15,3.11M,1.36%
Apr 12  2016,75.74,75.18,76.32,74.98,2.96M,1.11%
Apr 11  2016,74.91,74.78,75.60,74.77,2.17M,0.13%
Apr 08  2016,74.81,74.00,74.98,74.00,2.69M,1.63%
Apr 07  2016,73.61,73.47,74.16,73.18,2.30M,-0.43%
Apr 06  2016,73.93,74.13,74.27,73.30,3.25M,-0.24%
Apr 05  2016,74.11,74.11,74.34,73.93,2.12M,-0.87%
Apr 04  2016,74.76,75.25,75.28,74.55,1.90M,-0.45%
Apr 01  2016,75.10,74.48,75.11,73.78,2.68M,0.36%
Mar 31  2016,74.83,75.25,75.76,74.73,2.70M,-0.81%
Mar 30  2016,75.44,75.00,75.74,74.86,2.09M,0.88%
Mar 29  2016,74.78,74.40,74.85,73.70,2.27M,0.04%
Mar 28  2016,74.75,74.10,74.82,73.80,1.38M,1.05%
Mar 24  2016,73.97,74.24,74.29,73.56,2.53M,-1.29%
Mar 23  2016,74.94,74.75,75.18,74.38,1.66M,0.20%
Mar 22  2016,74.79,74.89,75.35,74.65,2.20M,-0.70%
Mar 21  2016,75.32,75.30,75.84,74.96,1.55M,0.13%
Mar 18  2016,75.22,75.86,75.94,75.01,6.92M,-0.84%
Mar 17  2016,75.86,74.85,76.25,74.64,3.40M,1.66%
Mar 16  2016,74.62,74.62,75.11,73.89,2.39M,0.03%
Mar 15  2016,74.60,73.90,74.61,73.78,2.26M,0.47%
Mar 14  2016,74.25,73.96,74.63,73.82,2.24M,0.00%
Mar 11  2016,74.25,73.95,74.30,73.37,3.07M,1.38%
Mar 10  2016,73.24,73.73,74.02,72.76,2.69M,0.04%
Mar 09  2016,73.21,72.92,73.70,72.80,2.94M,0.70%
Mar 08  2016,72.70,71.86,72.70,71.78,2.93M,0.66%
Mar 07  2016,72.22,71.07,72.29,70.99,2.79M,1.18%
Mar 04  2016,71.38,70.95,71.57,70.50,2.92M,0.89%
Mar 03  2016,70.75,70.46,70.84,70.05,2.46M,0.88%
Mar 02  2016,70.13,69.90,70.55,69.06,2.89M,-0.01%
Mar 01  2016,70.14,69.74,70.61,69.72,2.98M,1.55%
Feb 29  2016,69.07,68.61,69.24,68.26,3.05M,1.14%
Feb 26  2016,68.29,68.47,68.92,67.86,2.18M,0.75%
Feb 25  2016,67.78,68.00,68.05,67.35,2.88M,-0.04%
Feb 24  2016,67.81,68.20,68.20,65.55,6.44M,-2.61%
