Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,22.16,21.72,22.24,21.70,121.01K,2.50%
Apr 18  2016,21.62,20.84,21.76,20.80,113.42K,2.51%
Apr 15  2016,21.09,21.20,21.31,20.96,80.06K,-1.03%
Apr 14  2016,21.31,21.42,21.43,21.10,131.95K,-0.42%
Apr 13  2016,21.40,21.00,21.64,20.79,137.73K,2.69%
Apr 12  2016,20.84,20.25,21.01,20.14,151.87K,3.48%
Apr 11  2016,20.14,19.88,20.31,19.75,2.52M,1.67%
Apr 08  2016,19.81,19.95,20.32,19.70,140.74K,0.51%
Apr 07  2016,19.71,19.72,19.75,19.56,76.66K,-0.15%
Apr 06  2016,19.74,19.78,19.83,19.58,178.87K,0.25%
Apr 05  2016,19.69,19.70,19.86,19.34,143.36K,-0.96%
Apr 04  2016,19.88,20.19,20.20,19.83,116.69K,-1.29%
Apr 01  2016,20.14,19.67,20.28,19.36,181.83K,1.82%
Mar 31  2016,19.78,19.99,19.99,19.60,147.74K,-0.95%
Mar 30  2016,19.97,19.45,20.19,19.42,233.16K,3.63%
Mar 29  2016,19.27,19.03,19.45,18.97,66.10K,0.63%
Mar 28  2016,19.15,19.35,19.47,18.82,85.03K,-0.57%
Mar 24  2016,19.26,19.06,19.49,18.75,110.34K,0.26%
Mar 23  2016,19.21,19.10,19.25,19.05,95.68K,0.58%
Mar 22  2016,19.10,19.10,19.20,19.04,70.78K,0.16%
Mar 21  2016,19.07,18.97,19.31,18.97,103.60K,0.63%
Mar 18  2016,18.95,19.33,19.33,18.94,384.92K,-0.52%
Mar 17  2016,19.05,18.76,19.15,18.76,130.34K,1.55%
Mar 16  2016,18.76,18.67,19.06,18.65,131.71K,0.86%
Mar 15  2016,18.60,18.76,18.89,18.37,175.20K,-1.54%
Mar 14  2016,18.89,19.23,19.29,18.69,214.73K,-1.82%
Mar 11  2016,19.24,18.95,19.57,18.93,230.76K,2.78%
Mar 10  2016,18.72,19.00,19.10,18.30,185.24K,-1.27%
Mar 09  2016,18.96,19.10,19.15,18.86,132.98K,0.26%
Mar 08  2016,18.91,19.18,19.20,18.72,173.19K,-1.66%
Mar 07  2016,19.23,19.11,19.69,19.11,275.34K,0.79%
Mar 04  2016,19.08,18.88,19.97,18.83,276.95K,2.36%
Mar 03  2016,18.64,18.21,18.88,18.06,254.10K,2.64%
Mar 02  2016,18.16,18.42,18.42,17.73,146.99K,-0.77%
Mar 01  2016,18.30,17.46,18.35,17.45,218.68K,5.60%
Feb 29  2016,17.33,17.50,17.51,17.15,207.79K,-0.63%
Feb 26  2016,17.44,17.95,17.95,17.35,131.05K,-1.41%
Feb 25  2016,17.69,17.85,17.85,17.37,138.86K,-0.95%
Feb 24  2016,17.86,17.50,17.91,17.22,187.85K,1.25%
Feb 23  2016,17.64,18.25,18.34,17.47,249.34K,-3.50%
Feb 22  2016,18.28,18.30,18.71,18.08,341.16K,1.90%
Feb 19  2016,17.94,18.07,18.07,17.68,237.14K,-0.94%
Feb 18  2016,18.11,18.16,18.36,17.72,503.48K,-0.88%
Feb 17  2016,18.27,16.40,18.46,16.18,835.78K,14.12%
Feb 16  2016,16.01,15.87,16.20,15.64,486.35K,3.36%
Feb 12  2016,15.49,15.71,16.22,15.23,289.45K,-0.06%
Feb 11  2016,15.50,15.39,15.70,15.02,230.99K,-0.64%
Feb 10  2016,15.60,15.88,15.94,15.57,149.42K,-1.52%
Feb 09  2016,15.84,15.81,16.26,15.64,174.46K,-1.25%
Feb 08  2016,16.04,16.24,16.24,15.72,173.15K,-1.66%
Feb 05  2016,16.31,16.14,16.33,15.99,141.06K,1.37%
Feb 04  2016,16.09,15.59,16.18,15.54,236.43K,3.67%
Feb 03  2016,15.52,15.47,15.78,15.02,265.61K,1.64%
Feb 02  2016,15.27,15.77,15.77,14.93,389.49K,-4.02%
Feb 01  2016,15.91,15.39,16.25,15.22,490.54K,1.21%
Jan 29  2016,15.72,15.19,15.78,14.88,3.85M,4.66%
Jan 28  2016,15.02,16.23,16.24,14.75,555.20K,-6.30%
Jan 27  2016,16.03,16.09,16.33,15.70,374.88K,-0.43%
Jan 26  2016,16.10,15.42,16.15,15.28,337.96K,5.71%
Jan 25  2016,15.23,16.01,16.11,14.98,358.34K,-5.29%
Jan 22  2016,16.08,15.56,16.30,15.56,185.90K,5.10%
Jan 21  2016,15.30,14.52,15.50,14.52,277.36K,4.08%
Jan 20  2016,14.70,14.76,14.76,13.95,417.89K,-1.74%
Jan 19  2016,14.96,14.98,15.24,14.77,182.15K,0.94%
Jan 18  2016,14.82,15.10,15.19,14.53,89.50K,-2.95%
Jan 15  2016,15.27,15.32,15.34,14.78,218.40K,-2.43%
Jan 14  2016,15.65,15.25,15.70,14.68,264.27K,3.10%
Jan 13  2016,15.18,15.49,15.69,15.12,198.41K,-0.78%
Jan 12  2016,15.30,15.55,15.83,14.83,358.23K,-1.48%
Jan 11  2016,15.53,16.12,16.15,15.28,493.10K,-3.54%
Jan 08  2016,16.10,15.99,16.16,15.80,356.66K,1.71%
Jan 07  2016,15.83,15.47,15.88,15.35,426.04K,0.76%
Jan 06  2016,15.71,15.88,15.90,15.50,312.13K,-2.48%
Jan 05  2016,16.11,16.00,16.25,15.76,317.22K,-0.06%
Jan 04  2016,16.12,16.00,16.17,15.26,382.97K,0.31%
Dec 31  2015,16.07,15.90,16.10,15.58,206.73K,0.75%
Dec 30  2015,15.95,16.15,16.30,15.91,146.87K,-1.60%
