Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,47.22,47.08,47.24,46.86,218.21K,0.38%
Apr 18  2016,47.04,46.26,47.19,46.25,173.49K,1.25%
Apr 15  2016,46.46,46.22,46.59,46.22,144.96K,0.26%
Apr 14  2016,46.34,46.90,47.15,46.26,239.08K,-1.34%
Apr 13  2016,46.97,46.72,47.10,46.42,176.34K,1.10%
Apr 12  2016,46.46,45.83,46.67,45.76,202.50K,1.11%
Apr 11  2016,45.95,45.82,46.35,45.55,137.05K,-0.02%
Apr 08  2016,45.96,46.75,46.79,45.67,211.60K,-0.58%
Apr 07  2016,46.23,46.47,46.55,46.00,162.92K,-0.43%
Apr 06  2016,46.43,46.28,46.51,45.73,198.74K,0.24%
Apr 05  2016,46.32,46.28,46.52,46.00,163.91K,-0.73%
Apr 04  2016,46.66,47.20,47.25,46.42,199.44K,-0.77%
Apr 01  2016,47.02,47.02,47.28,46.49,212.88K,-0.91%
Mar 31  2016,47.45,47.29,47.61,47.06,367.62K,0.11%
Mar 30  2016,47.40,46.75,47.60,46.73,222.28K,1.78%
Mar 29  2016,46.57,46.49,46.61,46.00,185.01K,-0.19%
Mar 28  2016,46.66,46.09,46.69,46.02,188.68K,1.17%
Mar 24  2016,46.12,46.30,46.34,45.75,196.97K,-0.80%
Mar 23  2016,46.49,47.25,47.25,46.22,194.35K,-0.70%
Mar 22  2016,46.82,46.25,47.18,46.17,371.97K,1.23%
Mar 21  2016,46.25,46.33,46.64,46.06,269.63K,-0.45%
Mar 18  2016,46.46,47.12,47.16,46.31,707.25K,-1.48%
Mar 17  2016,47.16,46.96,47.21,46.81,438.17K,0.58%
Mar 16  2016,46.89,46.52,47.20,46.52,323.29K,0.56%
Mar 15  2016,46.63,46.80,47.08,46.35,438.91K,-0.66%
Mar 14  2016,46.94,47.23,47.48,46.87,413.61K,-0.72%
Mar 11  2016,47.28,47.59,48.00,47.16,461.03K,-0.46%
Mar 10  2016,47.50,47.88,48.36,46.65,700.98K,-1.21%
Mar 09  2016,48.08,47.24,48.30,47.23,689.47K,2.32%
Mar 08  2016,46.99,46.74,47.25,46.38,709.86K,0.36%
Mar 07  2016,46.82,46.00,47.74,45.99,1.04M,0.82%
Mar 04  2016,46.44,45.88,46.70,45.70,833.76K,2.04%
Mar 03  2016,45.51,44.00,45.62,43.99,765.04K,3.29%
Mar 02  2016,44.06,43.85,44.25,43.49,510.12K,0.71%
Mar 01  2016,43.75,42.80,44.00,42.76,477.40K,3.01%
Feb 29  2016,42.47,42.62,42.86,42.19,382.86K,-0.21%
Feb 26  2016,42.56,42.69,43.00,42.44,405.40K,0.07%
Feb 25  2016,42.53,42.43,42.59,41.93,307.84K,0.69%
Feb 24  2016,42.24,40.99,42.36,40.93,544.29K,2.75%
Feb 23  2016,41.11,41.01,41.40,40.81,417.75K,0.22%
Feb 22  2016,41.02,41.34,41.85,40.89,378.99K,0.10%
Feb 19  2016,40.98,41.05,41.20,40.47,520.26K,-0.92%
Feb 18  2016,41.36,41.77,41.90,41.16,274.68K,-0.62%
Feb 17  2016,41.62,41.45,41.97,41.21,276.11K,0.85%
Feb 16  2016,41.27,40.51,41.43,40.25,382.14K,2.84%
Feb 12  2016,40.13,40.04,40.50,39.99,270.12K,0.83%
Feb 11  2016,39.80,39.11,39.86,39.11,348.50K,0.30%
Feb 10  2016,39.68,40.09,40.58,39.52,216.35K,-1.17%
Feb 09  2016,40.15,40.02,40.45,39.58,364.24K,-0.77%
Feb 08  2016,40.46,40.10,40.74,39.95,332.67K,-0.74%
Feb 05  2016,40.76,41.00,41.24,40.52,259.06K,-0.85%
Feb 04  2016,41.11,39.17,41.15,39.13,358.99K,5.11%
Feb 03  2016,39.11,39.23,39.47,38.28,385.54K,0.15%
Feb 02  2016,39.05,38.99,39.34,38.51,377.69K,-0.46%
Feb 01  2016,39.23,38.41,39.56,38.08,355.18K,-2.05%
Jan 29  2016,40.05,39.61,40.17,39.36,461.09K,1.39%
Jan 28  2016,39.50,38.01,39.54,37.81,434.53K,4.58%
Jan 27  2016,37.77,37.83,38.22,37.47,323.13K,-0.21%
Jan 26  2016,37.85,37.82,38.09,37.51,283.12K,0.66%
Jan 25  2016,37.60,38.40,38.59,37.54,272.11K,-2.19%
Jan 22  2016,38.44,38.36,38.90,37.94,309.86K,1.88%
Jan 21  2016,37.73,37.68,38.22,37.19,486.52K,-0.19%
Jan 20  2016,37.80,37.33,38.23,36.47,516.25K,0.05%
Jan 19  2016,37.78,38.65,39.10,37.59,568.24K,-0.63%
Jan 18  2016,38.02,38.04,38.31,37.75,176.95K,-0.24%
Jan 15  2016,38.11,38.00,38.40,37.70,399.89K,-2.46%
Jan 14  2016,39.07,39.64,39.64,38.01,582.46K,-1.11%
Jan 13  2016,39.51,39.95,40.07,39.11,646.32K,-0.70%
Jan 12  2016,39.79,39.60,40.06,38.93,416.32K,1.09%
Jan 11  2016,39.36,39.21,39.52,38.61,489.78K,0.97%
Jan 08  2016,38.98,39.16,39.43,38.68,357.95K,-0.10%
Jan 07  2016,39.02,40.26,40.39,38.75,838.75K,-4.78%
Jan 06  2016,40.98,40.25,41.13,40.25,367.68K,0.79%
Jan 05  2016,40.66,40.97,41.16,40.25,300.68K,-0.85%
Jan 04  2016,41.01,40.60,41.20,39.92,304.36K,-0.27%
Dec 31  2015,41.12,41.71,42.01,40.98,322.34K,-1.98%
Dec 30  2015,41.95,42.26,42.39,41.85,178.98K,-0.71%
Dec 29  2015,42.25,42.45,42.65,41.95,228.28K,-0.07%
Dec 24  2015,42.28,42.32,42.85,42.10,153.43K,-0.26%
Dec 23  2015,42.39,42.33,42.97,42.20,230.91K,0.50%
Dec 22  2015,42.18,42.03,42.28,41.51,302.04K,0.33%
Dec 21  2015,42.04,42.44,43.42,41.82,403.93K,-0.69%
Dec 18  2015,42.33,42.08,42.46,41.79,962.72K,0.26%
Dec 17  2015,42.22,42.74,42.82,41.79,419.22K,-1.29%
Dec 16  2015,42.77,41.50,42.97,41.37,722.52K,3.16%
Dec 15  2015,41.46,40.78,41.49,40.54,531.98K,1.67%
Dec 14  2015,40.78,40.64,41.05,40.35,593.93K,0.10%
Dec 11  2015,40.74,40.80,40.90,40.35,578.01K,-0.42%
Dec 10  2015,40.91,40.01,41.21,39.99,355.23K,2.05%
Dec 09  2015,40.09,40.40,40.94,39.78,242.17K,-0.50%
Dec 08  2015,40.29,40.02,40.35,39.82,373.85K,-0.12%
Dec 07  2015,40.34,41.37,41.37,40.04,386.87K,-2.75%
Dec 04  2015,41.48,41.46,41.67,40.98,264.07K,0.00%
Dec 03  2015,41.48,41.79,41.83,41.24,318.12K,-0.17%
Dec 02  2015,41.55,42.45,42.74,41.46,360.32K,-2.12%
Dec 01  2015,42.45,42.51,42.96,42.27,379.55K,0.07%
Nov 30  2015,42.42,42.09,42.80,41.72,384.39K,1.24%
Nov 27  2015,41.90,41.65,42.02,41.57,153.33K,0.38%
Nov 26  2015,41.74,41.88,42.23,41.55,86.92K,-0.38%
Nov 25  2015,41.90,41.92,42.55,41.77,258.11K,-0.26%
Nov 24  2015,42.01,41.57,42.16,41.57,405.13K,0.50%
Nov 23  2015,41.80,41.68,42.01,41.48,308.82K,0.22%
Nov 20  2015,41.71,42.42,42.42,41.58,339.36K,-1.53%
Nov 19  2015,42.36,42.14,42.36,41.76,308.09K,0.02%
