Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,39.33,39.71,39.77,39.25,512.51K,-1.01%
Apr 18  2016,39.73,39.52,39.79,39.31,646.16K,0.10%
Apr 15  2016,39.69,39.41,39.71,39.41,247.02K,0.51%
Apr 14  2016,39.49,39.59,39.88,39.31,275.81K,-0.03%
Apr 13  2016,39.50,40.40,40.56,39.44,341.57K,-1.42%
Apr 12  2016,40.07,40.15,40.39,39.74,280.22K,0.07%
Apr 11  2016,40.04,40.34,40.84,39.92,213.29K,-0.89%
Apr 08  2016,40.40,39.70,40.50,39.70,634.74K,1.46%
Apr 07  2016,39.82,39.90,40.13,39.51,322.54K,-0.92%
Apr 06  2016,40.19,40.51,40.75,39.68,356.42K,-0.94%
Apr 05  2016,40.57,40.18,40.93,40.11,591.32K,0.05%
Apr 04  2016,40.55,40.81,41.05,40.14,418.13K,-0.86%
Apr 01  2016,40.90,40.61,41.43,40.33,827.44K,-1.78%
Mar 31  2016,41.64,42.15,42.35,41.25,705.53K,-1.49%
Mar 30  2016,42.27,41.04,42.50,40.84,519.63K,3.45%
Mar 29  2016,40.86,40.53,41.28,40.43,322.11K,0.27%
Mar 28  2016,40.75,40.32,40.85,40.32,224.48K,0.34%
Mar 24  2016,40.61,40.60,40.99,40.45,281.83K,-0.49%
Mar 23  2016,40.81,40.99,40.99,40.42,437.54K,0.69%
Mar 22  2016,40.53,39.99,40.80,39.98,392.77K,1.05%
Mar 21  2016,40.11,40.05,40.23,39.88,302.40K,0.28%
Mar 18  2016,40.00,40.84,41.00,39.87,1.15M,-2.25%
Mar 17  2016,40.92,40.61,41.39,40.30,457.30K,1.24%
Mar 16  2016,40.42,40.27,40.60,40.00,301.01K,0.62%
Mar 15  2016,40.17,39.41,40.41,39.34,481.87K,1.90%
Mar 14  2016,39.42,39.21,39.77,38.90,372.78K,0.20%
Mar 11  2016,39.34,39.20,39.69,39.20,434.16K,0.38%
Mar 10  2016,39.19,39.93,40.03,38.94,586.16K,-1.31%
Mar 09  2016,39.71,40.30,40.60,39.67,526.65K,-1.15%
Mar 08  2016,40.17,39.84,40.38,39.61,584.95K,0.83%
Mar 07  2016,39.84,39.26,39.99,39.05,438.04K,1.30%
Mar 04  2016,39.33,39.55,39.65,39.03,457.93K,-0.30%
Mar 03  2016,39.45,39.36,39.80,39.11,491.74K,0.48%
Mar 02  2016,39.26,39.28,39.32,38.15,837.71K,-0.36%
Mar 01  2016,39.40,39.47,40.04,39.16,664.00K,0.00%
Feb 29  2016,39.40,39.01,39.42,38.71,866.22K,1.23%
Feb 26  2016,38.92,38.75,39.35,38.59,629.58K,0.78%
Feb 25  2016,38.62,37.75,38.62,37.74,434.18K,0.57%
Feb 24  2016,38.40,37.91,38.55,37.83,382.99K,0.31%
Feb 23  2016,38.28,38.28,38.49,38.10,339.41K,-0.05%
