Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,9.03,9.02,9.08,8.82,806.87K,2.03%
Apr 18  2016,8.85,8.24,8.90,8.24,482.68K,1.72%
Apr 15  2016,8.70,8.48,8.77,8.42,251.74K,0.58%
Apr 14  2016,8.65,9.25,9.25,8.55,468.81K,-6.08%
Apr 13  2016,9.21,9.24,9.39,9.00,524.28K,0.44%
Apr 12  2016,9.17,8.96,9.40,8.77,440.12K,4.56%
Apr 11  2016,8.77,8.50,8.95,8.49,739.40K,4.16%
Apr 08  2016,8.42,8.43,8.52,8.39,809.42K,1.94%
Apr 07  2016,8.26,8.31,8.43,8.15,620.24K,-1.43%
Apr 06  2016,8.38,8.20,8.41,8.06,735.54K,3.33%
Apr 05  2016,8.11,7.85,8.13,7.72,427.31K,2.79%
Apr 04  2016,7.89,7.97,8.02,7.85,662.29K,-1.99%
Apr 01  2016,8.05,8.15,8.17,7.95,280.23K,-2.42%
Mar 31  2016,8.25,8.23,8.44,8.18,282.68K,-0.48%
Mar 30  2016,8.29,8.34,8.46,8.20,254.80K,0.61%
Mar 29  2016,8.24,8.21,8.30,8.00,317.92K,-0.60%
Mar 28  2016,8.29,8.33,8.36,8.24,182.86K,-0.24%
Mar 24  2016,8.31,8.37,8.48,8.21,352.31K,-2.35%
Mar 23  2016,8.51,8.79,8.90,8.45,453.60K,-5.23%
Mar 22  2016,8.98,8.64,9.00,8.59,330.60K,2.75%
Mar 21  2016,8.74,9.00,9.03,8.67,419.61K,-2.67%
Mar 18  2016,8.98,9.21,9.36,8.83,1.37M,0.45%
Mar 17  2016,8.94,8.76,9.10,8.70,1.55M,3.83%
Mar 16  2016,8.61,8.47,8.70,8.47,386.25K,3.99%
Mar 15  2016,8.28,8.37,8.48,8.25,766.97K,-3.16%
Mar 14  2016,8.55,8.51,8.59,8.35,486.95K,-1.50%
Mar 11  2016,8.68,8.53,8.73,8.39,606.17K,3.70%
Mar 10  2016,8.37,8.58,8.76,8.29,475.97K,-2.67%
Mar 09  2016,8.60,8.82,8.82,8.45,471.09K,0.00%
Mar 08  2016,8.60,8.77,8.79,8.37,910.11K,-2.71%
Mar 07  2016,8.84,8.49,8.90,8.49,923.84K,4.99%
Mar 04  2016,8.42,8.02,8.46,7.89,1.31M,5.78%
Mar 03  2016,7.96,8.00,8.00,7.75,2.52M,-2.45%
Mar 02  2016,8.16,7.50,8.25,7.41,877.54K,9.38%
Mar 01  2016,7.46,7.54,7.54,7.30,369.26K,0.67%
Feb 29  2016,7.41,7.56,7.74,7.34,957.00K,0.14%
Feb 26  2016,7.40,7.16,7.69,7.16,953.86K,3.93%
Feb 25  2016,7.12,6.93,7.14,6.87,711.74K,1.71%
Feb 24  2016,7.00,6.96,7.05,6.72,722.38K,-1.41%
Feb 23  2016,7.10,7.13,7.34,6.99,748.68K,-1.39%
Feb 22  2016,7.20,6.94,7.29,6.94,368.78K,6.67%
Feb 19  2016,6.75,6.74,6.78,6.49,226.87K,-1.60%
Feb 18  2016,6.86,6.90,7.06,6.73,635.20K,0.88%
Feb 17  2016,6.80,6.66,6.96,6.44,481.96K,6.75%
Feb 16  2016,6.37,6.42,6.58,6.30,647.30K,1.76%
Feb 12  2016,6.26,6.49,6.49,6.05,663.37K,2.12%
Feb 11  2016,6.13,6.00,6.20,5.86,670.68K,0.33%
Feb 10  2016,6.11,6.16,6.39,6.00,303.93K,-1.77%
Feb 09  2016,6.22,6.59,6.59,6.20,378.90K,-7.16%
Feb 08  2016,6.70,7.03,7.03,6.62,473.09K,-6.29%
Feb 05  2016,7.15,7.09,7.41,6.89,248.67K,1.27%
Feb 04  2016,7.06,7.13,7.29,6.76,374.21K,0.00%
Feb 03  2016,7.06,7.01,7.16,6.54,647.26K,3.67%
Feb 02  2016,6.81,6.84,7.00,6.70,599.76K,-3.54%
Feb 01  2016,7.06,7.03,7.35,7.00,628.06K,-5.74%
Jan 29  2016,7.49,7.25,7.55,7.09,877.94K,4.61%
Jan 28  2016,7.16,7.25,7.37,6.83,579.34K,4.53%
Jan 27  2016,6.85,6.80,7.41,6.70,836.60K,0.59%
Jan 26  2016,6.81,6.56,6.93,6.50,633.60K,6.41%
Jan 25  2016,6.40,6.68,6.83,6.35,683.03K,-6.98%
Jan 22  2016,6.88,6.49,6.92,6.33,728.30K,12.23%
Jan 21  2016,6.13,5.79,6.31,5.73,821.07K,4.43%
Jan 20  2016,5.87,5.78,5.98,5.33,817.30K,0.00%
Jan 19  2016,5.87,5.87,6.00,5.61,778.21K,2.26%
Jan 18  2016,5.74,5.81,5.97,5.73,228.16K,-4.33%
Jan 15  2016,6.00,6.04,6.09,5.85,856.10K,-5.06%
Jan 14  2016,6.32,6.10,6.42,5.92,888.15K,4.98%
Jan 13  2016,6.02,6.36,6.36,5.96,828.79K,-0.17%
Jan 12  2016,6.03,6.12,6.27,5.87,753.52K,-0.33%
Jan 11  2016,6.05,6.50,6.52,6.02,627.19K,-6.78%
Jan 08  2016,6.49,6.74,6.77,6.45,768.90K,-1.96%
Jan 07  2016,6.62,7.08,7.08,6.54,1.17M,-8.69%
Jan 06  2016,7.25,7.26,7.53,7.20,624.20K,-7.53%
Jan 05  2016,7.84,8.28,8.28,7.78,397.76K,-4.62%
Jan 04  2016,8.22,8.32,8.53,7.95,600.93K,-1.67%
Dec 31  2015,8.36,8.21,8.42,8.12,240.25K,2.20%
Dec 30  2015,8.18,8.16,8.37,8.07,193.82K,-0.61%
Dec 29  2015,8.23,7.88,8.37,7.88,182.04K,-1.67%
Dec 24  2015,8.37,8.37,8.44,8.14,119.65K,0.24%
Dec 23  2015,8.35,8.24,8.42,8.03,576.02K,5.30%
Dec 22  2015,7.93,7.98,8.12,7.91,474.35K,0.13%
Dec 21  2015,7.92,7.99,8.11,7.78,355.79K,-0.63%
Dec 18  2015,7.97,7.82,8.25,7.81,541.37K,1.14%
Dec 17  2015,7.88,7.38,7.91,7.38,445.93K,3.96%
Dec 16  2015,7.58,7.29,7.71,7.20,584.07K,4.12%
Dec 15  2015,7.28,6.96,7.31,6.86,339.03K,4.60%
Dec 14  2015,6.96,6.87,6.98,6.59,441.87K,0.58%
Dec 11  2015,6.92,7.21,7.21,6.66,434.04K,-4.81%
Dec 10  2015,7.27,6.92,7.33,6.84,414.68K,4.01%
Dec 09  2015,6.99,7.04,7.29,6.75,367.57K,0.29%
Dec 08  2015,6.97,6.62,7.08,6.47,424.69K,1.90%
Dec 07  2015,6.84,7.50,7.52,6.62,608.20K,-10.24%
Dec 04  2015,7.62,7.61,7.73,7.51,486.96K,-2.43%
Dec 03  2015,7.81,7.89,8.02,7.79,410.42K,-0.51%
Dec 02  2015,7.85,7.90,7.97,7.80,563.05K,-1.63%
Dec 01  2015,7.98,7.85,8.14,7.80,254.82K,2.05%
Nov 30  2015,7.82,7.85,8.08,7.78,693.10K,0.13%
Nov 27  2015,7.81,7.80,7.94,7.75,203.85K,-0.26%
Nov 26  2015,7.83,7.85,8.01,7.70,166.23K,-1.63%
Nov 25  2015,7.96,7.76,8.17,7.56,375.90K,1.53%
Nov 24  2015,7.84,7.57,7.98,7.56,381.22K,4.39%
Nov 23  2015,7.51,7.12,7.57,7.12,329.52K,5.03%
Nov 20  2015,7.15,7.54,7.55,7.08,388.81K,-4.28%
Nov 19  2015,7.47,7.91,7.91,7.25,392.05K,-6.39%
Nov 18  2015,7.98,8.20,8.30,7.68,416.30K,-0.87%
Nov 17  2015,8.05,8.19,8.44,7.97,349.11K,-3.59%
Nov 16  2015,8.35,7.72,8.42,7.72,380.33K,6.51%
Nov 13  2015,7.84,7.46,7.94,7.35,375.05K,4.39%
Nov 12  2015,7.51,7.70,7.89,7.47,665.27K,-4.70%
Nov 11  2015,7.88,8.17,8.17,7.68,867.91K,-2.11%
Nov 10  2015,8.05,7.98,8.34,7.98,858.77K,-0.37%
Nov 09  2015,8.08,8.12,8.13,7.75,967.69K,-1.34%
Nov 06  2015,8.19,8.35,8.37,8.00,818.00K,-2.85%
Nov 05  2015,8.43,9.11,9.11,8.27,1.85M,-8.17%
Nov 04  2015,9.18,9.43,9.58,9.06,408.98K,-2.13%
Nov 03  2015,9.38,9.13,9.47,9.12,535.42K,3.99%
Nov 02  2015,9.02,8.75,9.11,8.59,456.21K,3.80%
Oct 30  2015,8.69,8.60,8.81,8.49,684.87K,0.81%
Oct 29  2015,8.62,8.85,9.10,8.54,445.63K,-1.71%
Oct 28  2015,8.77,8.67,9.06,8.50,459.92K,3.06%
Oct 27  2015,8.51,8.73,8.73,8.36,553.43K,-3.73%
Oct 26  2015,8.84,9.17,9.17,8.76,1.05M,-3.18%
Oct 23  2015,9.13,9.00,9.31,8.98,357.96K,0.44%
Oct 22  2015,9.09,8.82,9.12,8.82,433.87K,3.18%
Oct 21  2015,8.81,8.99,9.13,8.80,929.31K,-1.89%
Oct 20  2015,8.98,8.75,9.10,8.52,1.23M,3.82%
Oct 19  2015,8.65,9.16,9.18,8.63,453.40K,-6.59%
Oct 16  2015,9.26,9.76,9.88,9.26,626.82K,-4.93%
Oct 15  2015,9.74,9.40,9.81,9.29,488.80K,0.21%
Oct 14  2015,9.72,9.65,9.80,9.40,430.32K,0.93%
Oct 13  2015,9.63,10.06,10.06,9.54,416.04K,-6.50%
Oct 09  2015,10.30,10.20,10.50,10.07,1.16M,1.68%
Oct 08  2015,10.13,10.30,10.53,9.89,1.13M,-1.07%
Oct 07  2015,10.24,10.43,11.00,10.16,740.25K,2.40%
Oct 06  2015,10.00,9.65,10.41,9.60,627.30K,3.63%
Oct 05  2015,9.65,9.21,9.70,9.21,657.62K,6.04%
Oct 02  2015,9.10,8.75,9.11,8.57,887.87K,2.82%
Oct 01  2015,8.85,9.15,9.33,8.78,1.23M,-1.45%
Sep 30  2015,8.98,8.84,9.13,8.59,588.85K,1.13%
Sep 29  2015,8.88,9.19,9.21,8.69,625.76K,-2.31%
Sep 28  2015,9.09,9.65,9.65,9.05,399.19K,-6.10%
Sep 25  2015,9.68,9.99,10.00,9.68,349.57K,-1.73%
Sep 24  2015,9.85,9.99,10.00,9.68,573.62K,-2.18%
Sep 23  2015,10.07,10.10,10.30,10.00,660.42K,0.00%
Sep 22  2015,10.07,10.11,10.37,9.95,346.50K,-2.80%
Sep 21  2015,10.36,10.45,10.55,10.23,1.18M,0.00%
Sep 18  2015,10.36,10.49,10.52,10.24,844.62K,-3.27%
Sep 17  2015,10.71,10.35,10.91,10.13,430.67K,3.38%
Sep 16  2015,10.36,9.74,10.87,9.74,616.62K,6.91%
Sep 15  2015,9.69,9.36,9.76,9.27,364.14K,4.42%
Sep 14  2015,9.28,9.30,9.41,9.00,375.63K,-0.22%
Sep 11  2015,9.30,9.71,9.71,8.96,310.64K,-4.81%
Sep 10  2015,9.77,9.60,9.86,9.35,305.37K,2.52%
Sep 09  2015,9.53,9.86,10.14,9.30,407.20K,-1.95%
Sep 08  2015,9.72,10.14,10.14,9.69,336.32K,-2.51%
Sep 04  2015,9.97,9.74,10.05,9.60,265.55K,1.01%
Sep 03  2015,9.87,10.21,10.21,9.76,387.71K,-1.30%
Sep 02  2015,10.00,10.31,10.44,9.68,719.84K,-1.86%
Sep 01  2015,10.19,10.16,10.62,10.00,628.15K,-4.32%
Aug 31  2015,10.65,9.54,10.74,9.54,585.45K,6.18%
Aug 28  2015,10.03,9.70,10.47,9.70,553.25K,1.83%
Aug 27  2015,9.85,9.57,9.93,9.36,690.44K,8.48%
Aug 26  2015,9.08,8.29,9.19,8.28,537.13K,11.00%
Aug 25  2015,8.18,8.47,8.69,8.13,486.24K,1.11%
Aug 24  2015,8.09,7.98,8.53,7.98,612.09K,-7.65%
Aug 21  2015,8.76,8.99,9.05,8.65,751.69K,-4.16%
Aug 20  2015,9.14,9.57,9.68,9.10,410.67K,-4.89%
Aug 19  2015,9.61,10.31,10.31,9.57,268.60K,-6.61%
Aug 18  2015,10.29,9.89,10.35,9.81,571.70K,4.57%
Aug 17  2015,9.84,9.92,10.20,9.78,229.52K,-0.91%
Aug 14  2015,9.93,10.57,10.72,9.79,731.46K,-5.97%
Aug 13  2015,10.56,10.99,10.99,10.29,517.29K,-4.35%
Aug 12  2015,11.04,10.87,11.18,10.65,459.23K,1.56%
Aug 11  2015,10.87,10.63,10.93,10.46,327.65K,0.37%
Aug 10  2015,10.83,10.65,11.03,10.57,587.56K,1.69%
Aug 07  2015,10.65,10.76,10.80,10.45,763.31K,-1.84%
Aug 06  2015,10.85,10.19,10.90,9.90,1.12M,4.93%
Aug 05  2015,10.34,10.26,10.53,10.23,974.94K,1.27%
Aug 04  2015,10.21,10.99,10.99,10.07,901.30K,-5.72%
Jul 31  2015,10.83,10.44,10.88,10.34,855.94K,4.23%
Jul 30  2015,10.39,10.25,10.78,10.02,872.71K,1.46%
Jul 29  2015,10.24,9.92,10.41,9.84,450.25K,2.61%
Jul 28  2015,9.98,9.90,10.22,9.67,560.28K,0.40%
Jul 27  2015,9.94,10.30,10.37,9.88,490.04K,-5.24%
Jul 24  2015,10.49,11.03,11.15,10.43,469.27K,-5.41%
Jul 23  2015,11.09,11.34,11.49,10.95,536.21K,-2.03%
Jul 22  2015,11.32,11.57,11.57,11.19,629.93K,-3.50%
Jul 21  2015,11.73,11.67,12.03,11.67,445.86K,0.51%
Jul 20  2015,11.67,12.07,12.07,11.63,548.67K,-2.83%
Jul 17  2015,12.01,12.26,12.29,11.84,686.81K,-2.67%
Jul 16  2015,12.34,12.37,12.37,12.01,604.43K,0.90%
Jul 15  2015,12.23,12.48,12.62,12.03,800.46K,-2.55%
Jul 14  2015,12.55,11.95,12.57,11.87,797.37K,4.15%
Jul 13  2015,12.05,12.16,12.27,11.86,748.07K,-0.82%
Jul 10  2015,12.15,12.42,12.45,12.05,429.22K,-1.54%
Jul 09  2015,12.34,12.32,12.52,12.00,972.81K,1.82%
Jul 08  2015,12.12,12.43,12.50,11.99,1.42M,-3.12%
Jul 07  2015,12.51,12.38,12.66,12.20,850.44K,0.72%
Jul 06  2015,12.42,12.40,12.45,12.01,475.47K,-1.66%
Jul 03  2015,12.63,12.85,12.85,12.53,204.56K,-2.17%
Jul 02  2015,12.91,12.74,13.14,12.48,532.20K,1.02%
Jun 30  2015,12.78,12.86,12.86,12.51,617.80K,0.87%
Jun 29  2015,12.67,13.04,13.12,12.55,597.49K,-3.65%
Jun 26  2015,13.15,13.59,13.59,13.11,402.62K,-3.59%
Jun 25  2015,13.64,13.69,13.84,13.60,254.94K,-0.66%
Jun 24  2015,13.73,13.83,14.05,13.66,244.28K,-0.51%
Jun 23  2015,13.80,13.67,13.83,13.52,721.89K,0.88%
Jun 22  2015,13.68,13.36,13.74,13.25,492.54K,2.47%
Jun 19  2015,13.35,13.44,13.47,13.13,1.59M,-1.04%
Jun 18  2015,13.49,13.99,13.99,13.40,679.28K,-3.02%
Jun 17  2015,13.91,14.11,14.27,13.71,646.21K,-0.07%
Jun 16  2015,13.92,13.80,14.02,13.68,680.39K,1.02%
Jun 15  2015,13.78,13.85,13.85,13.66,398.06K,-1.64%
Jun 12  2015,14.01,14.30,14.37,13.89,661.79K,-2.71%
Jun 11  2015,14.40,14.59,14.69,14.36,211.16K,-1.37%
Jun 10  2015,14.60,14.49,14.74,14.49,215.48K,1.81%
Jun 09  2015,14.34,14.44,14.68,14.32,188.88K,0.77%
Jun 08  2015,14.23,14.50,14.63,14.22,256.74K,-1.86%
Jun 05  2015,14.50,14.12,14.64,14.10,647.63K,2.11%
Jun 04  2015,14.20,14.60,14.60,14.04,482.64K,-3.07%
Jun 03  2015,14.65,14.74,14.88,14.60,220.27K,-1.21%
Jun 02  2015,14.83,14.55,15.03,14.53,520.24K,1.92%
Jun 01  2015,14.55,14.75,14.78,14.38,383.43K,-0.95%
May 29  2015,14.69,14.60,14.75,14.55,443.20K,0.75%
May 28  2015,14.58,14.87,14.99,14.48,588.08K,0.07%
May 27  2015,14.57,14.60,14.71,14.49,254.94K,-0.75%
May 26  2015,14.68,14.89,15.01,14.58,394.66K,-2.13%
May 25  2015,15.00,14.95,15.06,14.87,120.67K,-0.07%
May 22  2015,15.01,14.99,15.14,14.73,233.85K,0.13%
May 21  2015,14.99,14.91,15.20,14.88,450.25K,1.63%
May 20  2015,14.75,14.63,15.00,14.62,563.24K,1.03%
May 19  2015,14.60,14.85,15.09,14.51,241.29K,-1.62%
May 15  2015,14.84,14.37,14.90,14.25,627.37K,2.49%
May 14  2015,14.48,14.92,15.06,14.41,600.35K,-2.88%
May 13  2015,14.91,15.16,15.35,14.73,566.86K,-1.26%
May 12  2015,15.10,15.00,15.33,15.00,468.48K,0.20%
May 11  2015,15.07,15.68,15.71,15.00,633.38K,-4.13%
May 08  2015,15.72,15.54,15.96,15.26,1.03M,-1.19%
May 07  2015,15.91,16.22,16.25,15.68,670.60K,-1.18%
May 06  2015,16.10,16.62,16.62,15.74,537.85K,-3.48%
May 05  2015,16.68,17.41,17.92,16.60,478.92K,-3.25%
May 04  2015,17.24,17.48,17.75,17.19,355.46K,-1.60%
May 01  2015,17.52,17.11,17.58,16.96,471.07K,2.70%
Apr 30  2015,17.06,17.00,17.28,16.54,373.51K,0.47%
Apr 29  2015,16.98,16.42,17.27,16.32,419.76K,3.22%
Apr 28  2015,16.45,16.51,16.77,16.40,269.62K,-0.84%
Apr 27  2015,16.59,16.53,16.82,16.41,325.81K,0.79%
Apr 24  2015,16.46,16.45,16.66,16.32,242.50K,-0.30%
Apr 23  2015,16.51,16.30,16.93,16.25,321.28K,1.10%
Apr 22  2015,16.33,16.45,16.57,16.04,264.27K,-0.97%
Apr 21  2015,16.49,17.02,17.02,16.34,279.36K,-3.00%
Apr 20  2015,17.00,17.31,17.48,16.95,278.49K,-1.79%
Apr 17  2015,17.31,17.23,17.46,17.05,207.14K,-0.40%
Apr 16  2015,17.38,17.54,17.73,17.31,489.68K,-1.75%
Apr 15  2015,17.69,16.85,17.93,16.82,695.61K,5.93%
Apr 14  2015,16.70,16.62,16.86,16.23,540.98K,0.97%
Apr 13  2015,16.54,16.55,16.77,16.53,577.00K,-0.84%
Apr 10  2015,16.68,16.77,16.77,16.52,204.49K,-0.30%
Apr 09  2015,16.73,16.50,16.86,16.47,256.28K,2.26%
Apr 08  2015,16.36,17.05,17.13,16.22,497.68K,-4.61%
Apr 07  2015,17.15,16.56,17.30,16.56,379.82K,2.20%
Apr 06  2015,16.78,15.89,16.83,15.89,349.54K,6.20%
Apr 02  2015,15.80,15.80,16.14,15.72,357.40K,-0.32%
Apr 01  2015,15.85,16.21,16.22,15.71,454.59K,-1.92%
Mar 31  2015,16.16,15.79,16.25,15.69,521.13K,1.44%
Mar 30  2015,15.93,16.05,16.23,15.61,348.91K,-0.38%
Mar 27  2015,15.99,15.74,16.14,15.46,255.03K,1.14%
Mar 26  2015,15.81,16.00,16.29,15.75,376.48K,0.38%
Mar 25  2015,15.75,15.50,15.98,15.40,520.48K,3.35%
Mar 24  2015,15.24,14.87,15.31,14.74,626.84K,3.32%
Mar 23  2015,14.75,14.75,15.20,14.75,524.45K,-0.81%
Mar 20  2015,14.87,15.00,15.28,14.75,377.78K,0.13%
Mar 19  2015,14.85,15.22,15.32,14.75,318.15K,-4.07%
Mar 18  2015,15.48,14.68,15.66,14.67,757.12K,4.52%
Mar 17  2015,14.81,14.26,14.87,14.26,610.71K,1.02%
Mar 16  2015,14.66,14.55,14.78,14.25,479.48K,0.55%
Mar 13  2015,14.58,14.60,14.68,14.25,924.42K,-1.02%
Mar 12  2015,14.73,15.00,15.00,14.67,485.04K,-1.73%
Mar 11  2015,14.99,14.76,15.09,14.68,434.44K,1.97%
Mar 10  2015,14.70,14.65,15.01,14.64,415.66K,-0.74%
Mar 09  2015,14.81,15.20,15.34,14.78,946.23K,-3.39%
Mar 06  2015,15.33,15.36,15.73,15.23,605.03K,-1.10%
Mar 05  2015,15.50,15.00,15.85,15.00,2.08M,2.79%
Mar 04  2015,15.08,15.40,15.47,14.51,1.27M,-3.08%
Mar 03  2015,15.56,15.13,15.81,15.13,395.14K,2.37%
Mar 02  2015,15.20,15.25,15.43,14.77,445.47K,-0.46%
