Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,4.97,4.99,5.03,4.92,2.05M,4.41%
Apr 18  2016,4.76,4.71,4.80,4.66,965.07K,2.15%
Apr 15  2016,4.66,4.66,4.74,4.55,910.85K,1.30%
Apr 14  2016,4.60,4.71,4.80,4.38,2.33M,-2.95%
Apr 13  2016,4.74,4.88,4.94,4.71,1.88M,-4.05%
Apr 12  2016,4.94,5.13,5.14,4.89,1.75M,-4.08%
Apr 11  2016,5.15,4.77,5.17,4.76,1.95M,9.57%
Apr 08  2016,4.70,4.45,4.73,4.44,1.99M,4.21%
Apr 07  2016,4.51,4.38,4.52,4.38,1.98M,3.68%
Apr 06  2016,4.35,4.31,4.39,4.30,1.12M,-0.23%
Apr 05  2016,4.36,4.38,4.46,4.31,6.09M,-7.43%
Apr 04  2016,4.71,4.78,4.78,4.64,650.10K,-1.88%
Apr 01  2016,4.80,4.50,4.85,4.45,2.39M,3.67%
Mar 31  2016,4.63,4.60,4.67,4.55,1.46M,2.21%
Mar 30  2016,4.53,4.44,4.58,4.34,1.49M,0.00%
Mar 29  2016,4.53,4.45,4.61,4.31,1.64M,3.19%
Mar 28  2016,4.39,4.44,4.55,4.30,622.58K,-0.23%
Mar 24  2016,4.40,4.40,4.48,4.32,1.40M,0.69%
Mar 23  2016,4.37,4.51,4.63,4.37,1.28M,-5.62%
Mar 22  2016,4.63,4.65,4.75,4.56,1.08M,1.09%
Mar 21  2016,4.58,4.62,4.72,4.56,942.85K,-0.65%
Mar 18  2016,4.61,4.62,4.76,4.50,4.60M,0.00%
Mar 17  2016,4.61,4.87,4.95,4.59,2.10M,-4.95%
Mar 16  2016,4.85,4.61,4.88,4.42,3.10M,4.98%
Mar 15  2016,4.62,4.42,4.64,4.31,1.54M,4.52%
Mar 14  2016,4.42,4.73,4.76,4.37,2.11M,-5.96%
Mar 11  2016,4.70,4.96,4.98,4.67,1.97M,-5.81%
Mar 10  2016,4.99,4.65,5.04,4.63,2.20M,8.95%
Mar 09  2016,4.58,4.60,4.61,4.34,2.32M,-1.51%
Mar 08  2016,4.65,4.99,5.00,4.63,1.48M,-3.93%
Mar 07  2016,4.84,4.79,5.06,4.73,1.61M,3.86%
Mar 04  2016,4.66,4.95,5.20,4.60,2.69M,-5.48%
Mar 03  2016,4.93,4.62,4.95,4.60,1.58M,7.88%
Mar 02  2016,4.57,4.55,4.61,4.47,1.15M,2.24%
Mar 01  2016,4.47,4.89,4.89,4.41,2.50M,-6.88%
Feb 29  2016,4.80,4.62,4.85,4.61,1.37M,6.43%
Feb 26  2016,4.51,4.79,4.85,4.45,1.99M,-6.43%
Feb 25  2016,4.82,4.51,4.96,4.45,2.98M,9.55%
Feb 24  2016,4.40,4.54,4.90,4.29,2.67M,0.00%
Feb 23  2016,4.40,4.21,4.41,4.15,1.47M,5.77%
Feb 22  2016,4.16,4.14,4.26,4.11,1.10M,-2.35%
Feb 19  2016,4.26,4.26,4.45,4.23,1.13M,-3.40%
Feb 18  2016,4.41,4.00,4.45,3.98,2.61M,9.98%
Feb 17  2016,4.01,4.03,4.04,3.94,840.88K,1.01%
Feb 16  2016,3.97,4.01,4.18,3.96,1.41M,-5.02%
Feb 12  2016,4.18,4.06,4.25,4.04,972.30K,0.24%
Feb 11  2016,4.17,4.11,4.31,4.00,2.84M,9.74%
Feb 10  2016,3.80,3.90,3.90,3.66,2.12M,-2.81%
Feb 09  2016,3.91,4.29,4.33,3.84,1.78M,-8.00%
Feb 08  2016,4.25,4.05,4.39,4.05,2.20M,7.87%
Feb 05  2016,3.94,3.75,3.98,3.67,1.33M,2.87%
Feb 04  2016,3.83,3.81,3.97,3.77,2.30M,3.51%
Feb 03  2016,3.70,3.60,3.75,3.55,2.07M,3.93%
Feb 02  2016,3.56,3.63,3.65,3.46,877.42K,-1.11%
Feb 01  2016,3.60,3.62,3.66,3.54,1.27M,2.86%
Jan 29  2016,3.50,3.34,3.52,3.32,953.07K,4.79%
Jan 28  2016,3.34,3.48,3.50,3.32,1.11M,-6.70%
Jan 27  2016,3.58,3.55,3.62,3.48,1.03M,0.00%
Jan 26  2016,3.58,3.40,3.58,3.37,1.52M,6.55%
Jan 25  2016,3.36,3.41,3.46,3.32,821.80K,-0.59%
Jan 22  2016,3.38,3.32,3.40,3.19,1.31M,2.74%
Jan 21  2016,3.29,3.46,3.47,3.25,1.65M,-6.00%
Jan 20  2016,3.50,3.81,3.90,3.49,3.39M,-6.17%
Jan 19  2016,3.73,3.80,3.80,3.65,2.74M,-2.61%
Jan 18  2016,3.83,3.94,3.94,3.76,792.72K,-2.79%
Jan 15  2016,3.94,4.02,4.06,3.93,1.44M,1.03%
Jan 14  2016,3.90,4.06,4.11,3.86,1.98M,-4.88%
Jan 13  2016,4.10,4.05,4.19,4.02,1.98M,0.00%
Jan 12  2016,4.10,4.02,4.13,3.94,1.51M,-0.97%
Jan 11  2016,4.14,4.06,4.23,4.06,1.66M,-2.36%
Jan 08  2016,4.24,4.15,4.33,4.12,1.71M,-0.93%
Jan 07  2016,4.28,4.05,4.40,4.01,4.62M,7.27%
Jan 06  2016,3.99,3.84,4.07,3.83,1.93M,5.28%
Jan 05  2016,3.79,3.86,3.89,3.72,1.14M,-0.52%
Jan 04  2016,3.81,3.60,3.94,3.60,2.45M,8.55%
Dec 31  2015,3.51,3.53,3.54,3.46,249.18K,0.00%
Dec 30  2015,3.51,3.50,3.55,3.46,267.37K,0.29%
Dec 29  2015,3.50,3.57,3.62,3.50,390.61K,-4.37%
Dec 24  2015,3.66,3.61,3.67,3.61,286.00K,1.67%
Dec 23  2015,3.60,3.54,3.67,3.52,536.84K,0.56%
Dec 22  2015,3.58,3.63,3.78,3.55,948.74K,-1.65%
Dec 21  2015,3.64,3.74,3.76,3.61,1.08M,-2.15%
Dec 18  2015,3.72,3.55,3.75,3.51,2.32M,5.08%
Dec 17  2015,3.54,3.54,3.57,3.41,856.17K,-3.01%
Dec 16  2015,3.65,3.50,3.69,3.45,1.16M,6.10%
Dec 15  2015,3.44,3.31,3.45,3.30,734.39K,2.99%
Dec 14  2015,3.34,3.60,3.60,3.32,1.04M,-7.73%
Dec 11  2015,3.62,3.47,3.64,3.46,1.20M,3.43%
Dec 10  2015,3.50,3.48,3.60,3.45,1.13M,0.29%
Dec 09  2015,3.49,3.57,3.60,3.38,573.20K,-0.57%
Dec 08  2015,3.51,3.41,3.55,3.35,1.01M,3.54%
Dec 07  2015,3.39,3.49,3.49,3.32,833.68K,-3.42%
Dec 04  2015,3.51,3.29,3.58,3.29,1.54M,7.67%
Dec 03  2015,3.26,3.27,3.31,3.17,375.50K,0.93%
Dec 02  2015,3.23,3.20,3.26,3.13,599.37K,-1.22%
Dec 01  2015,3.27,3.16,3.29,3.12,2.22M,3.81%
Nov 30  2015,3.15,3.10,3.17,3.10,1.02M,1.61%
Nov 27  2015,3.10,3.09,3.17,3.05,477.76K,-2.21%
Nov 26  2015,3.17,3.10,3.17,3.10,463.08K,0.96%
Nov 25  2015,3.14,3.13,3.20,3.11,495.60K,-0.95%
Nov 24  2015,3.17,3.12,3.20,3.11,823.14K,3.26%
Nov 23  2015,3.07,3.04,3.08,3.02,432.85K,1.99%
Nov 20  2015,3.01,3.15,3.19,3.01,1.14M,-5.05%
Nov 19  2015,3.17,3.16,3.21,3.11,832.91K,1.28%
Nov 18  2015,3.13,3.10,3.17,3.04,1.36M,1.62%
Nov 17  2015,3.08,3.16,3.17,3.01,628.27K,-3.45%
Nov 16  2015,3.19,3.07,3.23,3.07,855.99K,4.25%
Nov 13  2015,3.06,3.03,3.15,3.02,1.11M,0.66%
Nov 12  2015,3.04,2.92,3.13,2.92,739.77K,1.33%
Nov 11  2015,3.00,2.87,3.01,2.84,863.60K,6.01%
Nov 10  2015,2.83,2.84,2.92,2.79,745.67K,-1.74%
Nov 09  2015,2.88,2.79,2.92,2.77,1.21M,2.86%
Nov 06  2015,2.80,2.71,2.84,2.69,1.38M,0.00%
Nov 05  2015,2.80,2.90,2.90,2.77,1.53M,-2.44%
Nov 04  2015,2.87,2.95,3.06,2.84,1.12M,-1.37%
Nov 03  2015,2.91,2.95,2.98,2.86,1.60M,-2.68%
Nov 02  2015,2.99,2.96,3.05,2.92,549.62K,0.67%
Oct 30  2015,2.97,3.01,3.09,2.93,977.57K,0.68%
Oct 29  2015,2.95,3.11,3.14,2.91,1.40M,-6.35%
Oct 28  2015,3.15,3.25,3.38,3.07,1.43M,-1.25%
Oct 27  2015,3.19,3.15,3.21,3.08,754.87K,0.95%
Oct 26  2015,3.16,3.27,3.28,3.15,609.26K,-3.95%
Oct 23  2015,3.29,3.16,3.33,3.11,1.36M,3.13%
Oct 22  2015,3.19,3.10,3.25,3.10,1.37M,2.57%
Oct 21  2015,3.11,3.21,3.24,3.10,883.96K,-4.89%
Oct 20  2015,3.27,3.10,3.30,3.09,953.07K,7.21%
Oct 19  2015,3.05,3.21,3.26,3.02,762.89K,-5.28%
Oct 16  2015,3.22,3.35,3.38,3.22,1.03M,-3.30%
Oct 15  2015,3.33,3.20,3.38,3.17,1.42M,2.78%
Oct 14  2015,3.24,3.13,3.30,3.11,1.56M,6.23%
Oct 13  2015,3.05,3.30,3.30,3.04,1.27M,-6.73%
Oct 09  2015,3.27,3.23,3.27,3.11,1.44M,5.48%
Oct 08  2015,3.10,3.08,3.27,3.06,2.16M,0.00%
Oct 07  2015,3.10,3.07,3.12,2.93,1.39M,1.31%
Oct 06  2015,3.06,3.09,3.14,2.98,1.77M,0.99%
Oct 05  2015,3.03,2.92,3.08,2.92,2.20M,4.12%
Oct 02  2015,2.91,2.86,2.92,2.83,1.57M,5.05%
Oct 01  2015,2.77,2.88,2.92,2.76,858.43K,-4.15%
Sep 30  2015,2.89,2.82,2.94,2.82,805.28K,0.70%
Sep 29  2015,2.87,2.95,3.02,2.86,476.33K,-1.37%
Sep 28  2015,2.91,3.01,3.03,2.88,807.37K,-6.13%
Sep 25  2015,3.10,3.02,3.12,3.00,734.40K,0.98%
Sep 24  2015,3.07,3.01,3.11,2.97,2.29M,5.14%
Sep 23  2015,2.92,2.92,2.99,2.89,615.36K,3.18%
Sep 22  2015,2.83,2.98,3.00,2.83,1.08M,-6.29%
Sep 21  2015,3.02,3.09,3.11,3.02,627.29K,-3.82%
Sep 18  2015,3.14,3.21,3.24,3.03,3.08M,-0.95%
Sep 17  2015,3.17,2.86,3.24,2.51,5.43M,3.26%
Sep 16  2015,3.07,3.06,3.22,3.02,1.63M,2.33%
Sep 15  2015,3.00,3.04,3.09,2.97,624.70K,-1.96%
Sep 14  2015,3.06,3.05,3.12,2.95,837.08K,0.66%
Sep 11  2015,3.04,2.92,3.08,2.86,881.63K,3.75%
Sep 10  2015,2.93,2.99,3.00,2.90,700.25K,-0.68%
Sep 09  2015,2.95,3.00,3.00,2.91,740.12K,-2.96%
Sep 08  2015,3.04,3.12,3.13,3.00,493.87K,-0.98%
Sep 04  2015,3.07,3.00,3.09,2.93,899.28K,3.72%
Sep 03  2015,2.96,3.12,3.21,2.96,1.47M,-6.33%
Sep 02  2015,3.16,3.16,3.23,3.07,651.71K,0.00%
Sep 01  2015,3.16,3.28,3.35,3.14,610.30K,-3.07%
Aug 31  2015,3.26,3.19,3.27,3.11,1.18M,-1.21%
Aug 28  2015,3.30,3.22,3.37,3.21,1.49M,3.12%
Aug 27  2015,3.20,3.08,3.24,2.96,1.98M,5.26%
Aug 26  2015,3.04,3.04,3.05,2.88,1.51M,-0.98%
Aug 25  2015,3.07,3.24,3.29,3.01,1.07M,-3.15%
Aug 24  2015,3.17,3.35,3.53,3.10,2.30M,-6.21%
Aug 21  2015,3.38,3.59,3.59,3.38,1.33M,-5.06%
Aug 20  2015,3.56,3.52,3.63,3.50,1.59M,3.49%
Aug 19  2015,3.44,3.31,3.47,3.31,1.98M,4.88%
Aug 18  2015,3.28,3.30,3.40,3.21,688.51K,-2.09%
Aug 17  2015,3.35,3.26,3.41,3.23,1.78M,5.35%
Aug 14  2015,3.18,3.33,3.41,3.16,724.24K,-4.50%
Aug 13  2015,3.33,3.31,3.45,3.25,1.08M,-3.48%
Aug 12  2015,3.45,3.36,3.55,3.33,2.20M,4.86%
Aug 11  2015,3.29,3.15,3.32,3.11,1.61M,5.11%
Aug 10  2015,3.13,3.08,3.15,3.03,1.09M,3.64%
Aug 07  2015,3.02,2.99,3.20,2.98,1.21M,1.00%
Aug 06  2015,2.99,2.87,3.09,2.85,1.51M,5.65%
Aug 05  2015,2.83,2.85,2.99,2.77,1.42M,2.91%
Aug 04  2015,2.75,2.86,2.86,2.71,1.03M,-3.51%
Jul 31  2015,2.85,2.66,2.85,2.66,795.37K,10.47%
Jul 30  2015,2.58,2.69,2.71,2.57,963.55K,-5.84%
Jul 29  2015,2.74,2.66,2.80,2.63,639.13K,1.48%
Jul 28  2015,2.70,2.64,2.73,2.64,521.49K,3.45%
Jul 27  2015,2.61,2.78,2.95,2.59,1.09M,-5.78%
Jul 24  2015,2.77,2.47,2.90,2.47,2.04M,9.06%
Jul 23  2015,2.54,2.66,2.69,2.46,1.15M,-3.79%
Jul 22  2015,2.64,2.56,2.68,2.52,2.49M,1.15%
Jul 21  2015,2.61,2.65,2.72,2.51,1.40M,1.56%
Jul 20  2015,2.57,2.75,2.76,2.55,2.17M,-9.82%
Jul 17  2015,2.85,2.98,2.98,2.83,1.56M,-5.63%
Jul 16  2015,3.02,3.02,3.06,3.01,857.77K,0.00%
Jul 15  2015,3.02,3.11,3.12,3.01,1.06M,-3.82%
Jul 14  2015,3.14,3.12,3.23,3.11,622.43K,0.64%
Jul 13  2015,3.12,3.11,3.13,3.05,1.39M,-0.64%
Jul 10  2015,3.14,3.12,3.14,3.04,821.73K,1.29%
Jul 09  2015,3.10,3.14,3.15,3.03,672.83K,0.00%
Jul 08  2015,3.10,3.11,3.17,3.05,1.29M,0.98%
Jul 07  2015,3.07,3.20,3.23,3.03,1.61M,-6.40%
Jul 06  2015,3.28,3.25,3.33,3.24,958.46K,0.61%
Jul 03  2015,3.26,3.25,3.26,3.24,342.02K,0.93%
Jul 02  2015,3.23,3.30,3.30,3.20,2.26M,-3.87%
Jun 30  2015,3.36,3.45,3.48,3.36,854.82K,-3.72%
Jun 29  2015,3.49,3.50,3.63,3.46,853.58K,-2.24%
Jun 26  2015,3.57,3.62,3.69,3.50,794.58K,-1.65%
Jun 25  2015,3.63,3.67,3.73,3.61,334.84K,-1.36%
Jun 24  2015,3.68,3.65,3.72,3.62,332.85K,0.55%
Jun 23  2015,3.66,3.62,3.78,3.60,606.45K,0.55%
Jun 22  2015,3.64,3.60,3.68,3.55,359.52K,0.55%
Jun 19  2015,3.62,3.72,3.76,3.60,3.16M,-2.95%
Jun 18  2015,3.73,3.69,3.74,3.66,1.04M,4.19%
Jun 17  2015,3.58,3.42,3.59,3.38,730.68K,3.77%
Jun 16  2015,3.45,3.45,3.47,3.39,567.75K,-0.86%
Jun 15  2015,3.48,3.43,3.55,3.39,690.73K,0.58%
Jun 12  2015,3.46,3.45,3.49,3.45,432.39K,-0.29%
Jun 11  2015,3.47,3.57,3.57,3.43,436.85K,-3.61%
Jun 10  2015,3.60,3.63,3.64,3.55,1.18M,2.56%
Jun 09  2015,3.51,3.54,3.59,3.51,1.49M,1.15%
Jun 08  2015,3.47,3.56,3.56,3.47,905.57K,-2.25%
Jun 05  2015,3.55,3.63,3.64,3.54,756.88K,-4.05%
Jun 04  2015,3.70,3.71,3.76,3.63,468.77K,-1.60%
Jun 03  2015,3.76,3.76,3.80,3.75,1.14M,-0.53%
Jun 02  2015,3.78,3.80,3.80,3.75,1.07M,1.61%
Jun 01  2015,3.72,3.70,3.77,3.70,338.66K,0.81%
May 29  2015,3.69,3.72,3.74,3.63,367.15K,-0.81%
May 28  2015,3.72,3.60,3.75,3.59,735.14K,2.48%
May 27  2015,3.63,3.69,3.70,3.58,449.06K,-1.36%
May 26  2015,3.68,3.61,3.73,3.60,727.81K,-0.81%
May 25  2015,3.71,3.75,3.75,3.67,191.87K,-1.33%
May 22  2015,3.76,3.75,3.78,3.73,329.25K,-0.27%
May 21  2015,3.77,3.78,3.78,3.73,511.13K,-1.05%
May 20  2015,3.81,3.82,3.82,3.77,423.16K,0.26%
May 19  2015,3.80,3.92,3.93,3.76,1.15M,-3.80%
May 15  2015,3.95,3.81,3.96,3.76,1.07M,1.80%
May 14  2015,3.88,3.89,4.06,3.82,4.22M,0.78%
May 13  2015,3.85,3.63,3.87,3.63,3.07M,7.84%
May 12  2015,3.57,3.60,3.61,3.53,401.29K,0.56%
May 11  2015,3.55,3.54,3.61,3.51,857.36K,0.28%
May 08  2015,3.54,3.55,3.58,3.43,2.56M,0.00%
May 07  2015,3.54,3.54,3.60,3.49,2.59M,0.28%
May 06  2015,3.53,3.70,3.71,3.53,1.04M,-4.08%
May 05  2015,3.68,3.80,3.82,3.65,594.73K,-1.60%
