Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,21.86,21.00,21.88,20.87,538.44K,4.49%
Apr 18  2016,20.92,20.25,21.11,20.25,763.89K,-0.62%
Apr 15  2016,21.05,21.08,21.23,20.74,482.88K,-1.22%
Apr 14  2016,21.31,21.48,21.69,21.05,678.16K,0.57%
Apr 13  2016,21.19,21.15,21.51,20.98,686.47K,0.43%
Apr 12  2016,21.10,21.09,21.40,20.97,1.55M,0.72%
Apr 11  2016,20.95,21.13,21.45,20.94,1.16M,-0.29%
Apr 08  2016,21.01,20.76,21.20,20.55,604.84K,4.06%
Apr 07  2016,20.19,20.33,20.33,19.86,843.77K,-1.66%
Apr 06  2016,20.53,20.15,20.57,19.81,784.06K,2.65%
Apr 05  2016,20.00,19.59,20.02,19.40,771.31K,1.52%
Apr 04  2016,19.70,19.60,19.92,19.37,789.30K,1.34%
Apr 01  2016,19.44,19.13,19.63,19.10,730.90K,-0.56%
Mar 31  2016,19.55,19.40,19.80,19.31,769.88K,0.67%
Mar 30  2016,19.42,19.16,19.47,19.04,772.48K,2.75%
Mar 29  2016,18.90,18.70,19.05,18.53,383.99K,-0.32%
Mar 28  2016,18.96,18.81,18.96,18.47,407.67K,0.42%
Mar 24  2016,18.88,18.30,19.07,18.05,609.13K,1.56%
Mar 23  2016,18.59,18.32,18.69,18.00,824.87K,0.49%
Mar 22  2016,18.50,18.77,18.97,18.20,345.73K,-2.01%
Mar 21  2016,18.88,18.75,19.00,18.49,445.06K,0.64%
Mar 18  2016,18.76,18.99,19.06,18.33,2.66M,-0.90%
Mar 17  2016,18.93,18.42,19.02,18.28,1.53M,3.39%
Mar 16  2016,18.31,18.25,18.35,18.02,890.16K,1.44%
Mar 15  2016,18.05,17.94,18.05,17.43,1.05M,-0.22%
Mar 14  2016,18.09,18.25,18.38,18.01,1.08M,-3.26%
Mar 11  2016,18.70,18.68,19.09,18.63,1.30M,1.14%
Mar 10  2016,18.49,17.87,18.75,17.87,1.22M,2.72%
Mar 09  2016,18.00,17.07,18.27,17.06,1.22M,6.64%
