Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,23.42,23.62,23.83,23.39,1.20M,-0.72%
Apr 18  2016,23.59,23.13,23.66,23.13,2.22M,2.03%
Apr 15  2016,23.12,23.54,23.58,23.10,901.94K,-1.78%
Apr 14  2016,23.54,23.89,24.00,23.48,2.03M,-3.17%
Apr 13  2016,24.31,24.49,24.51,24.20,1.61M,-0.94%
Apr 12  2016,24.54,24.44,24.60,24.44,677.26K,0.57%
Apr 11  2016,24.40,24.64,24.74,24.37,707.48K,-0.97%
Apr 08  2016,24.64,24.75,24.89,24.50,793.26K,-0.16%
Apr 07  2016,24.68,24.89,24.89,24.61,545.90K,-0.68%
Apr 06  2016,24.85,25.01,25.09,24.76,611.17K,-0.64%
Apr 05  2016,25.01,24.95,25.14,24.68,688.73K,0.00%
Apr 04  2016,25.01,25.21,25.24,24.98,633.10K,-0.71%
Apr 01  2016,25.19,24.94,25.19,24.82,616.02K,0.40%
Mar 31  2016,25.09,25.17,25.34,25.00,1.46M,-0.63%
Mar 30  2016,25.25,25.10,25.43,25.05,907.98K,0.92%
Mar 29  2016,25.02,25.27,25.27,24.96,793.87K,-0.95%
Mar 28  2016,25.26,25.03,25.29,24.89,597.88K,1.24%
Mar 24  2016,24.95,25.07,25.11,24.80,867.41K,-1.03%
Mar 23  2016,25.21,25.42,25.42,25.12,655.47K,-0.12%
Mar 22  2016,25.24,25.22,25.35,25.11,710.30K,-0.47%
Mar 21  2016,25.36,25.25,25.40,25.07,1.01M,0.44%
Mar 18  2016,25.25,24.87,25.28,24.65,2.97M,1.36%
Mar 17  2016,24.91,24.61,25.07,24.45,900.72K,1.38%
Mar 16  2016,24.57,24.77,24.91,24.54,678.11K,-0.73%
Mar 15  2016,24.75,24.17,24.78,24.07,1.05M,2.19%
Mar 14  2016,24.22,24.16,24.29,24.11,616.20K,0.04%
Mar 11  2016,24.21,24.19,24.23,24.00,936.06K,0.83%
Mar 10  2016,24.01,24.00,24.12,23.81,1.46M,0.38%
Mar 09  2016,23.92,24.33,24.41,23.89,1.27M,-0.87%
Mar 08  2016,24.13,24.27,24.53,24.11,941.16K,-0.58%
Mar 07  2016,24.27,23.55,24.40,23.39,1.58M,3.59%
Mar 04  2016,23.43,23.28,23.56,23.20,1.07M,0.86%
Mar 03  2016,23.23,23.21,23.28,23.01,934.21K,0.17%
Mar 02  2016,23.19,23.68,23.81,23.16,1.11M,-2.73%
Mar 01  2016,23.84,23.74,23.87,23.53,735.63K,1.75%
Feb 29  2016,23.43,23.37,23.62,23.30,1.66M,0.34%
Feb 26  2016,23.35,23.26,23.45,23.18,1.09M,0.91%
Feb 25  2016,23.14,23.56,23.60,23.09,999.10K,-1.66%
Feb 24  2016,23.53,23.10,23.54,22.86,1.16M,1.25%
Feb 23  2016,23.24,23.63,23.87,23.21,1.63M,-1.69%
Feb 22  2016,23.64,23.74,23.75,23.57,736.74K,0.38%
Feb 19  2016,23.55,23.66,23.71,23.47,740.86K,-0.93%
Feb 18  2016,23.77,23.60,23.80,23.38,744.51K,1.24%
Feb 17  2016,23.48,23.61,23.68,23.36,1.22M,0.30%
Feb 16  2016,23.41,22.97,23.47,22.89,873.14K,3.17%
Feb 12  2016,22.69,22.73,22.74,22.58,1.05M,0.58%
Feb 11  2016,22.56,22.91,23.03,22.55,944.29K,-2.38%
Feb 10  2016,23.11,23.80,23.80,23.08,774.19K,-0.86%
Feb 09  2016,23.31,23.50,23.58,23.05,1.01M,-1.31%
Feb 08  2016,23.62,23.87,23.87,23.55,862.88K,-1.75%
Feb 05  2016,24.04,24.37,24.43,23.97,871.28K,-0.41%
Feb 04  2016,24.14,24.24,24.50,24.05,829.29K,-0.66%
Feb 03  2016,24.30,24.32,24.42,24.01,1.15M,0.33%
Feb 02  2016,24.22,23.84,24.28,23.76,996.80K,0.67%
Feb 01  2016,24.06,24.15,24.15,23.69,811.38K,-0.78%
Jan 29  2016,24.25,23.99,24.33,23.90,1.27M,1.04%
Jan 28  2016,24.00,23.71,24.05,23.66,992.31K,1.65%
Jan 27  2016,23.61,23.67,23.88,23.51,885.10K,-0.63%
Jan 26  2016,23.76,23.69,23.91,23.63,642.14K,0.76%
Jan 25  2016,23.58,24.05,24.16,23.54,1.00M,-1.83%
Jan 22  2016,24.02,23.73,24.04,23.58,1.03M,2.47%
Jan 21  2016,23.44,23.41,23.53,23.02,1.89M,0.13%
Jan 20  2016,23.41,23.40,23.54,22.84,1.60M,-1.68%
Jan 19  2016,23.81,23.89,24.10,23.53,1.83M,0.76%
Jan 18  2016,23.63,23.87,23.96,23.35,490.72K,-1.38%
Jan 15  2016,23.96,24.13,24.14,23.63,2.02M,-3.19%
Jan 14  2016,24.75,24.12,25.11,24.12,1.85M,0.20%
Jan 13  2016,24.70,24.74,25.83,24.67,4.32M,4.84%
Jan 12  2016,23.56,23.72,23.98,23.47,1.29M,-0.25%
Jan 11  2016,23.62,23.36,23.70,23.35,1.49M,1.20%
Jan 08  2016,23.34,23.64,23.66,23.19,1.06M,-0.64%
Jan 07  2016,23.49,23.44,23.91,23.33,1.55M,-1.14%
Jan 06  2016,23.76,23.55,23.86,23.50,1.14M,-0.25%
Jan 05  2016,23.82,24.09,24.13,23.70,831.35K,-0.92%
Jan 04  2016,24.04,23.66,24.15,23.50,1.37M,1.01%
Dec 31  2015,23.80,23.98,24.02,23.75,594.43K,-1.04%
Dec 30  2015,24.05,24.00,24.15,23.91,621.56K,0.21%
Dec 29  2015,24.00,23.85,24.07,23.85,582.62K,0.63%
Dec 24  2015,23.85,23.89,23.90,23.71,320.99K,0.04%
Dec 23  2015,23.84,23.86,24.12,23.65,1.05M,0.42%
Dec 22  2015,23.74,23.73,23.82,23.37,1.20M,0.08%
Dec 21  2015,23.72,23.92,24.04,23.63,1.46M,0.30%
Dec 18  2015,23.65,24.69,24.85,23.59,3.77M,-5.02%
Dec 17  2015,24.90,24.75,25.36,24.28,3.09M,-7.68%
Dec 16  2015,26.97,26.90,27.05,26.71,914.38K,0.37%
Dec 15  2015,26.87,26.42,26.89,26.34,1.41M,2.01%
Dec 14  2015,26.34,26.56,26.85,26.25,1.28M,-1.01%
Dec 11  2015,26.61,26.39,26.77,26.38,788.18K,-0.52%
Dec 10  2015,26.75,26.76,26.99,26.50,3.06M,-0.30%
Dec 09  2015,26.83,26.82,26.95,26.40,1.17M,0.00%
Dec 08  2015,26.83,27.15,27.21,26.75,1.26M,-2.01%
Dec 07  2015,27.38,27.67,27.83,27.29,776.56K,-1.05%
Dec 04  2015,27.67,27.54,27.74,27.42,1.58M,0.69%
Dec 03  2015,27.48,27.97,27.99,27.41,586.63K,-1.36%
Dec 02  2015,27.86,28.07,28.17,27.81,691.48K,-0.92%
Dec 01  2015,28.12,27.72,28.16,27.61,991.64K,1.44%
Nov 30  2015,27.72,27.50,27.80,27.44,1.15M,0.91%
Nov 27  2015,27.47,27.19,27.59,27.19,356.01K,1.10%
Nov 26  2015,27.17,27.25,27.42,27.16,186.46K,-0.22%
Nov 25  2015,27.23,27.45,27.58,27.15,3.09M,-0.51%
Nov 24  2015,27.37,27.50,27.56,27.16,1.18M,-0.83%
Nov 23  2015,27.60,27.70,28.07,27.52,1.52M,-0.79%
Nov 20  2015,27.82,27.42,27.86,27.20,1.34M,2.02%
Nov 19  2015,27.27,27.25,27.34,27.09,526.21K,0.00%
Nov 18  2015,27.27,27.24,27.32,26.89,1.00M,0.22%
Nov 17  2015,27.21,27.00,27.28,26.76,1.16M,0.96%
Nov 16  2015,26.95,26.52,26.97,26.44,1.02M,1.81%
Nov 13  2015,26.47,26.58,26.78,26.36,685.39K,-0.71%
Nov 12  2015,26.66,27.07,27.07,26.53,3.57M,-1.99%
Nov 11  2015,27.20,27.04,27.39,26.95,552.01K,0.55%
Nov 10  2015,27.05,26.84,27.13,26.66,1.15M,0.26%
Nov 09  2015,26.98,27.35,27.37,26.86,1.71M,-1.39%
Nov 06  2015,27.36,27.54,27.66,27.30,1.40M,-0.47%
Nov 05  2015,27.49,27.31,27.52,27.25,645.52K,0.73%
Nov 04  2015,27.29,27.71,27.94,27.17,1.26M,-0.73%
Nov 03  2015,27.49,27.10,27.56,27.00,1.19M,1.29%
Nov 02  2015,27.14,27.19,27.25,27.00,756.74K,-0.04%
Oct 30  2015,27.15,27.75,27.81,27.00,4.16M,-2.37%
Oct 29  2015,27.81,26.37,27.93,26.33,2.86M,5.46%
Oct 28  2015,26.37,25.90,26.40,25.62,1.61M,2.25%
Oct 27  2015,25.79,25.98,26.10,25.66,1.21M,-1.11%
Oct 26  2015,26.08,26.16,26.29,26.00,854.67K,-0.11%
Oct 23  2015,26.11,26.50,26.50,25.98,1.58M,-1.25%
Oct 22  2015,26.44,27.07,27.21,26.39,1.80M,-2.15%
Oct 21  2015,27.02,26.96,27.28,26.94,815.45K,0.67%
Oct 20  2015,26.84,26.57,26.88,26.33,699.35K,1.94%
Oct 19  2015,26.33,26.29,26.49,26.28,562.05K,0.04%
Oct 16  2015,26.32,26.44,26.50,26.29,400.87K,0.08%
Oct 15  2015,26.30,26.55,26.64,26.14,1.05M,-0.72%
Oct 14  2015,26.49,26.45,26.64,26.35,826.22K,0.08%
Oct 13  2015,26.47,26.17,26.65,26.05,800.36K,0.76%
Oct 09  2015,26.27,26.54,26.54,26.22,752.32K,-0.79%
Oct 08  2015,26.48,26.23,26.50,26.09,570.26K,0.84%
Oct 07  2015,26.26,26.16,26.40,26.09,980.12K,0.69%
Oct 06  2015,26.08,26.04,26.11,25.92,607.54K,0.31%
Oct 05  2015,26.00,26.00,26.23,25.96,672.40K,0.58%
Oct 02  2015,25.85,25.47,25.88,25.41,881.05K,1.13%
Oct 01  2015,25.56,25.91,25.95,25.38,842.68K,-1.08%
Sep 30  2015,25.84,25.67,25.88,25.58,758.40K,1.02%
Sep 29  2015,25.58,25.25,25.76,25.25,942.22K,1.31%
Sep 28  2015,25.25,25.61,25.70,25.23,835.59K,-1.64%
Sep 25  2015,25.67,25.80,25.84,25.59,801.37K,0.23%
Sep 24  2015,25.61,25.62,25.72,25.40,760.49K,-0.62%
Sep 23  2015,25.77,25.67,25.82,25.59,664.58K,0.51%
Sep 22  2015,25.64,25.75,25.81,25.45,853.38K,-1.12%
Sep 21  2015,25.93,26.00,26.01,25.75,702.04K,0.00%
Sep 18  2015,25.93,25.47,25.93,25.46,4.73M,0.15%
Sep 17  2015,25.89,25.93,26.00,25.70,709.66K,-0.35%
Sep 16  2015,25.98,25.76,26.05,25.62,1.69M,1.17%
Sep 15  2015,25.68,25.78,25.78,25.33,1.05M,0.35%
Sep 14  2015,25.59,25.86,25.99,25.44,668.66K,-1.16%
Sep 11  2015,25.89,26.16,26.27,25.80,396.27K,-1.52%
Sep 10  2015,26.29,26.20,26.46,26.20,487.65K,-0.08%
Sep 09  2015,26.31,26.65,26.65,26.22,546.94K,-0.04%
Sep 08  2015,26.32,26.25,26.45,26.17,486.21K,1.11%
Sep 04  2015,26.03,25.96,26.13,25.89,409.11K,-0.34%
Sep 03  2015,26.12,25.92,26.27,25.92,879.83K,0.85%
Sep 02  2015,25.90,26.10,26.22,25.83,539.40K,-0.31%
Sep 01  2015,25.98,26.03,26.28,25.70,997.43K,-1.70%
Aug 31  2015,26.43,26.48,26.68,26.27,792.66K,-0.34%
Aug 28  2015,26.52,26.39,26.59,26.30,557.08K,0.42%
Aug 27  2015,26.41,26.40,26.61,26.12,1.20M,0.38%
Aug 26  2015,26.31,26.16,26.37,25.60,1.17M,1.82%
Aug 25  2015,25.84,26.27,26.37,25.74,1.11M,-0.50%
Aug 24  2015,25.97,26.00,26.44,25.48,1.45M,-2.07%
Aug 21  2015,26.52,26.31,26.68,26.25,1.18M,0.15%
Aug 20  2015,26.48,26.62,26.62,26.36,869.38K,-1.12%
Aug 19  2015,26.78,26.77,26.89,26.55,548.98K,0.19%
Aug 18  2015,26.73,26.70,26.78,26.52,277.34K,-0.11%
Aug 17  2015,26.76,26.66,26.76,26.51,432.41K,-0.07%
Aug 14  2015,26.78,26.76,26.83,26.51,716.97K,0.26%
Aug 13  2015,26.71,26.70,26.90,26.48,428.77K,0.30%
Aug 12  2015,26.63,26.66,26.73,26.28,627.31K,-0.97%
Aug 11  2015,26.89,27.10,27.14,26.81,765.48K,-0.74%
Aug 10  2015,27.09,27.15,27.23,26.86,1.03M,-0.07%
Aug 07  2015,27.11,27.20,27.49,27.07,478.14K,-0.48%
Aug 06  2015,27.24,27.56,27.58,27.16,664.88K,-1.30%
Aug 05  2015,27.60,27.96,27.98,27.59,860.11K,-1.15%
Aug 04  2015,27.92,27.65,27.99,27.63,768.46K,0.61%
Jul 31  2015,27.75,27.50,27.82,27.41,723.40K,1.20%
Jul 30  2015,27.42,27.23,27.47,27.03,514.35K,0.81%
Jul 29  2015,27.20,26.82,27.27,26.73,716.79K,0.93%
Jul 28  2015,26.95,26.99,26.99,26.66,988.17K,0.15%
Jul 27  2015,26.91,26.90,26.97,26.77,709.37K,-0.30%
Jul 24  2015,26.99,27.00,27.06,26.87,860.51K,-0.04%
Jul 23  2015,27.00,26.97,27.08,26.68,1.03M,0.04%
Jul 22  2015,26.99,27.09,27.19,26.82,626.73K,-0.52%
Jul 21  2015,27.13,27.24,27.28,27.01,625.89K,-0.40%
Jul 20  2015,27.24,27.61,27.64,27.20,507.83K,-1.23%
Jul 17  2015,27.58,27.61,27.61,27.41,442.61K,-0.07%
Jul 16  2015,27.60,27.51,27.62,27.43,537.61K,1.17%
Jul 15  2015,27.28,27.28,27.41,27.04,609.35K,0.37%
Jul 14  2015,27.18,27.27,27.35,27.02,425.85K,-0.29%
Jul 13  2015,27.26,27.05,27.45,27.05,501.02K,0.55%
