Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,31.68,31.69,31.95,31.08,110.05K,0.44%
Apr 18  2016,31.54,30.45,31.92,30.10,65.53K,1.71%
Apr 15  2016,31.01,30.78,31.59,30.36,153.98K,-0.16%
Apr 14  2016,31.06,31.02,31.17,30.64,86.63K,1.21%
Apr 13  2016,30.69,30.04,31.00,29.92,161.41K,2.13%
Apr 12  2016,30.05,29.00,30.55,29.00,270.13K,3.94%
Apr 11  2016,28.91,29.35,29.68,28.64,88.55K,-1.33%
Apr 08  2016,29.30,28.72,29.90,28.53,377.23K,4.01%
Apr 07  2016,28.17,28.03,28.46,27.96,499.24K,0.54%
Apr 06  2016,28.02,27.91,28.08,27.28,72.33K,1.26%
Apr 05  2016,27.67,26.56,27.87,26.56,113.79K,3.79%
Apr 04  2016,26.66,26.97,27.14,26.54,85.66K,-0.97%
Apr 01  2016,26.92,28.00,28.03,26.57,172.06K,-4.64%
Mar 31  2016,28.23,28.18,28.83,28.18,88.00K,-0.88%
Mar 30  2016,28.48,28.37,28.62,28.04,153.43K,1.64%
Mar 29  2016,28.02,27.59,28.02,27.41,202.72K,0.32%
Mar 28  2016,27.93,28.25,28.27,27.50,78.40K,-0.89%
Mar 24  2016,28.18,27.97,28.21,27.76,181.85K,0.25%
Mar 23  2016,28.11,29.00,29.00,27.78,306.46K,-4.00%
Mar 22  2016,29.28,29.71,29.88,29.18,170.77K,-1.65%
Mar 21  2016,29.77,29.05,30.02,29.05,113.94K,1.85%
Mar 18  2016,29.23,29.03,29.60,28.95,456.95K,0.86%
Mar 17  2016,28.98,28.69,29.82,28.69,202.74K,1.79%
Mar 16  2016,28.47,28.34,28.89,28.34,96.73K,-0.21%
Mar 15  2016,28.53,28.60,28.98,27.86,158.62K,-0.31%
Mar 14  2016,28.62,28.55,28.89,28.40,54.45K,-1.24%
Mar 11  2016,28.98,28.97,29.18,28.65,104.27K,1.72%
Mar 10  2016,28.49,27.99,28.60,27.90,111.04K,1.39%
Mar 09  2016,28.10,27.81,28.11,27.37,197.68K,1.89%
Mar 08  2016,27.58,28.71,28.72,27.57,254.56K,-4.50%
