Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,20.19,20.09,20.24,19.81,27.30K,1.61%
Apr 18  2016,19.87,19.85,20.18,19.58,33.49K,-0.25%
Apr 15  2016,19.92,20.21,20.40,19.83,38.36K,-2.21%
Apr 14  2016,20.37,19.93,20.54,19.80,64.72K,2.21%
Apr 13  2016,19.93,19.40,19.97,19.40,54.41K,4.45%
Apr 12  2016,19.08,19.82,19.82,18.89,47.46K,-2.45%
Apr 11  2016,19.56,19.54,19.98,19.38,76.27K,0.93%
Apr 08  2016,19.38,19.05,19.39,18.83,100.82K,3.14%
Apr 07  2016,18.79,18.89,18.96,18.38,71.90K,-0.79%
Apr 06  2016,18.94,18.87,19.24,18.75,98.26K,0.96%
Apr 05  2016,18.76,18.25,18.82,18.16,46.31K,2.40%
Apr 04  2016,18.32,18.62,18.68,18.26,16.28K,-1.51%
Apr 01  2016,18.60,18.54,18.93,18.54,40.28K,-1.54%
Mar 31  2016,18.89,18.86,19.07,18.37,40.14K,0.59%
Mar 30  2016,18.78,18.15,19.02,18.15,100.55K,2.68%
Mar 29  2016,18.29,17.46,18.45,17.21,64.57K,4.34%
Mar 28  2016,17.53,17.81,17.81,17.41,42.81K,-1.79%
Mar 24  2016,17.85,17.25,17.94,16.95,37.44K,1.83%
Mar 23  2016,17.53,18.19,18.19,17.52,44.33K,-3.36%
Mar 22  2016,18.14,18.00,18.25,17.73,42.25K,0.78%
Mar 21  2016,18.00,18.61,18.61,17.98,45.27K,-2.54%
Mar 18  2016,18.47,18.71,18.84,18.34,71.18K,-0.70%
Mar 17  2016,18.60,18.63,18.83,18.28,51.05K,0.11%
Mar 16  2016,18.58,17.79,18.65,17.79,70.85K,3.97%
Mar 15  2016,17.87,18.31,18.38,17.65,75.56K,-3.67%
Mar 14  2016,18.55,18.47,18.92,18.42,35.22K,-0.27%
Mar 11  2016,18.60,18.16,18.69,17.93,55.20K,3.56%
Mar 10  2016,17.96,18.40,18.40,17.85,33.15K,-1.32%
Mar 09  2016,18.20,18.53,18.61,17.98,60.77K,-0.82%
Mar 08  2016,18.35,19.11,19.11,18.33,47.92K,-4.33%
Mar 07  2016,19.18,18.47,19.50,18.30,75.67K,3.73%
Mar 04  2016,18.49,19.09,19.23,18.36,87.69K,-2.38%
Mar 03  2016,18.94,18.06,19.00,18.02,91.36K,4.87%
Mar 02  2016,18.06,18.02,18.42,17.87,23.83K,0.33%
Mar 01  2016,18.00,18.25,18.25,17.78,43.48K,0.56%
Feb 29  2016,17.90,17.50,18.29,17.50,65.43K,2.81%
Feb 26  2016,17.41,16.79,17.55,16.74,52.68K,4.63%
Feb 25  2016,16.64,16.53,16.69,16.25,32.15K,0.91%
Feb 24  2016,16.49,16.09,16.62,15.95,34.63K,0.67%
Feb 23  2016,16.38,16.66,16.84,16.21,36.02K,-1.92%
Feb 22  2016,16.70,16.65,16.86,16.50,68.92K,2.20%
Feb 19  2016,16.34,16.32,16.65,16.12,94.30K,-0.31%
Feb 18  2016,16.39,16.61,16.61,15.95,153.06K,0.06%
Feb 17  2016,16.38,15.88,16.50,15.88,105.92K,4.66%
Feb 16  2016,15.65,14.50,15.74,14.39,153.10K,9.21%
Feb 12  2016,14.33,14.17,14.37,13.57,146.36K,3.47%
Feb 11  2016,13.85,13.83,14.33,13.60,124.61K,-0.65%
Feb 10  2016,13.94,14.46,14.75,13.87,180.92K,-2.99%
Feb 09  2016,14.37,14.01,14.72,13.91,192.73K,0.63%
