Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,10.25,9.71,10.27,9.70,1.22M,9.39%
Apr 18  2016,9.37,9.32,9.48,9.19,332.72K,0.64%
Apr 15  2016,9.31,9.12,9.52,9.10,375.29K,1.53%
Apr 14  2016,9.17,9.38,9.39,8.79,628.19K,-2.86%
Apr 13  2016,9.44,9.13,9.67,9.00,870.53K,1.83%
Apr 12  2016,9.27,9.14,9.32,8.81,1.29M,2.54%
Apr 11  2016,9.04,8.35,9.06,8.25,1.48M,10.92%
Apr 08  2016,8.15,7.86,8.17,7.82,748.89K,3.43%
Apr 07  2016,7.88,7.78,7.98,7.74,892.96K,4.23%
Apr 06  2016,7.56,7.37,7.60,7.25,905.40K,2.02%
Apr 05  2016,7.41,7.37,7.50,7.30,767.87K,2.49%
Apr 04  2016,7.23,7.31,7.39,7.17,1.10M,-1.09%
Apr 01  2016,7.31,7.05,7.33,6.92,339.74K,1.11%
Mar 31  2016,7.23,7.39,7.45,7.19,407.61K,-0.82%
Mar 30  2016,7.29,7.52,7.52,7.22,246.28K,-2.80%
Mar 29  2016,7.50,7.15,7.55,7.07,505.71K,5.78%
Mar 28  2016,7.09,7.49,7.49,6.95,245.37K,-1.94%
Mar 24  2016,7.23,7.08,7.29,6.97,309.43K,2.84%
Mar 23  2016,7.03,7.09,7.39,6.97,453.34K,-4.22%
Mar 22  2016,7.34,7.69,7.72,7.30,499.50K,-3.42%
Mar 21  2016,7.60,7.45,7.78,7.42,417.30K,1.74%
Mar 18  2016,7.47,7.41,7.68,7.40,644.62K,0.81%
Mar 17  2016,7.41,7.66,7.78,7.39,780.31K,-1.46%
Mar 16  2016,7.52,7.16,7.55,6.94,853.14K,4.88%
Mar 15  2016,7.17,7.29,7.34,6.96,419.54K,-2.18%
Mar 14  2016,7.33,7.73,7.79,7.30,749.37K,-4.18%
Mar 11  2016,7.65,7.76,7.80,7.60,1.01M,-1.16%
Mar 10  2016,7.74,7.93,8.00,7.61,979.65K,-0.51%
Mar 09  2016,7.78,7.69,7.87,7.52,1.04M,-0.38%
Mar 08  2016,7.81,8.01,8.14,7.68,1.40M,-1.01%
Mar 07  2016,7.89,8.66,8.85,7.81,3.14M,-11.65%
Mar 04  2016,8.93,8.93,9.70,8.84,562.10K,2.76%
Mar 03  2016,8.69,8.09,8.77,8.09,378.22K,7.42%
Mar 02  2016,8.09,7.68,8.15,7.60,658.44K,5.48%
Mar 01  2016,7.67,7.88,8.00,7.42,719.45K,-2.17%
Feb 29  2016,7.84,7.54,7.92,7.52,493.61K,4.95%
Feb 26  2016,7.47,7.85,7.88,7.40,722.43K,-7.89%
Feb 25  2016,8.11,7.91,8.19,7.81,379.28K,1.88%
Feb 24  2016,7.96,8.12,8.42,7.85,385.75K,0.38%
Feb 23  2016,7.93,8.03,8.29,7.89,299.84K,0.00%
Feb 22  2016,7.93,7.69,8.01,7.67,441.65K,-0.25%
Feb 19  2016,7.95,8.02,8.28,7.93,388.07K,-2.09%
Feb 18  2016,8.12,7.47,8.18,7.43,575.12K,7.55%
Feb 17  2016,7.55,7.80,7.89,7.40,510.26K,-2.58%
Feb 16  2016,7.75,8.05,8.25,7.62,463.47K,-7.41%
Feb 12  2016,8.37,8.02,8.45,8.02,428.29K,2.07%
Feb 11  2016,8.20,8.41,8.61,8.02,499.65K,5.81%
Feb 10  2016,7.75,7.75,7.88,7.30,744.46K,-0.39%
Feb 09  2016,7.78,7.87,8.17,7.68,2.07M,-0.26%
Feb 08  2016,7.80,7.85,8.15,7.75,814.09K,4.00%
Feb 05  2016,7.50,6.58,7.55,6.54,1.23M,11.61%
Feb 04  2016,6.72,6.84,7.22,6.70,402.34K,2.75%
Feb 03  2016,6.54,6.24,6.57,6.21,326.06K,5.31%
Feb 02  2016,6.21,6.23,6.33,6.04,249.48K,-1.11%
Feb 01  2016,6.28,6.21,6.42,6.18,219.14K,2.95%
Jan 29  2016,6.10,5.75,6.18,5.74,260.94K,6.09%
Jan 28  2016,5.75,5.72,5.90,5.50,282.49K,-0.86%
Jan 27  2016,5.80,5.80,5.83,5.66,315.00K,0.17%
Jan 26  2016,5.79,5.71,5.82,5.65,344.60K,2.48%
Jan 25  2016,5.65,5.65,5.92,5.64,377.15K,1.62%
Jan 22  2016,5.56,5.44,5.76,5.39,417.94K,0.54%
Jan 21  2016,5.53,5.45,5.62,5.28,398.82K,0.73%
Jan 20  2016,5.49,5.73,5.75,5.33,968.77K,-1.61%
Jan 19  2016,5.58,6.51,6.51,5.51,547.81K,-13.76%
Jan 18  2016,6.47,6.32,6.47,6.32,37.58K,1.09%
Jan 15  2016,6.40,6.76,6.86,6.35,421.62K,-1.39%
Jan 14  2016,6.49,6.52,6.67,6.33,371.97K,-3.13%
Jan 13  2016,6.70,6.71,6.87,6.52,464.31K,1.36%
Jan 12  2016,6.61,7.08,7.14,6.52,1.15M,-7.81%
Jan 11  2016,7.17,7.38,7.43,7.01,727.66K,-2.45%
Jan 08  2016,7.35,7.22,7.52,7.17,652.69K,-0.54%
Jan 07  2016,7.39,7.40,7.54,7.15,610.19K,0.82%
Jan 06  2016,7.33,7.26,7.41,7.21,252.40K,2.52%
Jan 05  2016,7.15,7.22,7.25,7.02,340.58K,-0.97%
Jan 04  2016,7.22,7.31,7.49,7.06,322.37K,0.84%
Dec 31  2015,7.16,7.04,7.17,6.97,223.48K,1.56%
Dec 30  2015,7.05,7.02,7.15,6.99,143.09K,-1.54%
Dec 29  2015,7.16,7.24,7.30,7.03,185.56K,-4.15%
Dec 24  2015,7.47,7.23,7.57,7.16,240.57K,5.21%
Dec 23  2015,7.10,7.02,7.24,7.01,209.14K,0.57%
Dec 22  2015,7.06,7.22,7.35,6.97,206.68K,-2.49%
Dec 21  2015,7.24,7.30,7.44,7.19,163.75K,0.84%
Dec 18  2015,7.18,7.14,7.33,7.07,290.56K,2.43%
Dec 17  2015,7.01,7.14,7.17,6.97,376.33K,-3.97%
Dec 16  2015,7.30,7.20,7.36,7.10,518.43K,4.43%
Dec 15  2015,6.99,7.14,7.14,6.93,318.60K,-0.14%
Dec 14  2015,7.00,7.30,7.38,6.98,390.24K,-4.89%
Dec 11  2015,7.36,7.33,7.57,7.22,344.39K,-1.08%
Dec 10  2015,7.44,7.52,7.68,7.44,212.62K,-1.59%
Dec 09  2015,7.56,7.55,7.80,7.39,298.90K,2.16%
Dec 08  2015,7.40,7.31,7.45,7.12,285.03K,0.00%
Dec 07  2015,7.40,7.76,7.83,7.33,345.05K,-5.25%
Dec 04  2015,7.81,7.46,7.90,7.45,529.64K,5.68%
Dec 03  2015,7.39,7.43,7.53,7.30,342.39K,0.54%
Dec 02  2015,7.35,7.20,7.48,7.13,313.53K,0.14%
Dec 01  2015,7.34,7.10,7.37,6.97,367.93K,4.56%
Nov 30  2015,7.02,7.04,7.23,6.95,284.01K,-0.28%
Nov 27  2015,7.04,6.94,7.21,6.87,288.43K,-0.85%
Nov 26  2015,7.10,7.12,7.20,7.07,46.08K,0.57%
Nov 25  2015,7.06,6.88,7.19,6.77,327.98K,1.15%
Nov 24  2015,6.98,6.88,7.03,6.77,412.54K,3.56%
Nov 23  2015,6.74,6.58,6.75,6.55,279.20K,1.66%
Nov 20  2015,6.63,7.03,7.05,6.60,354.24K,-4.47%
Nov 19  2015,6.94,6.71,7.00,6.68,381.93K,4.20%
Nov 18  2015,6.66,6.50,6.68,6.38,250.52K,2.62%
Nov 17  2015,6.49,6.95,6.95,6.40,400.80K,-6.62%
Nov 16  2015,6.95,6.90,7.00,6.82,378.01K,1.76%
Nov 13  2015,6.83,6.84,6.97,6.79,545.76K,-0.44%
Nov 12  2015,6.86,6.76,7.10,6.72,608.82K,-0.87%
Nov 11  2015,6.92,7.07,7.09,6.80,1.24M,-1.56%
Nov 10  2015,7.03,7.37,7.37,7.00,534.02K,-5.76%
Nov 09  2015,7.46,7.49,7.50,7.09,755.58K,-0.93%
Nov 06  2015,7.53,7.78,7.97,7.50,553.85K,-7.83%
Nov 05  2015,8.17,8.52,8.56,8.06,426.57K,-4.00%
Nov 04  2015,8.51,8.98,9.07,8.46,459.71K,-4.81%
Nov 03  2015,8.94,8.90,9.00,8.73,534.31K,-1.11%
Nov 02  2015,9.04,8.90,9.20,8.77,422.33K,0.33%
Oct 30  2015,9.01,9.34,9.39,9.00,484.63K,-3.01%
Oct 29  2015,9.29,9.76,9.86,9.15,483.16K,-5.30%
Oct 28  2015,9.81,10.38,10.56,9.71,699.22K,-2.97%
Oct 27  2015,10.11,9.69,10.26,9.52,992.16K,3.91%
Oct 26  2015,9.73,9.89,9.90,9.60,393.19K,-1.72%
Oct 23  2015,9.90,9.88,9.98,9.64,464.59K,2.27%
Oct 22  2015,9.68,9.57,9.93,9.48,414.20K,1.36%
Oct 21  2015,9.55,9.54,9.63,9.27,498.20K,-1.14%
Oct 20  2015,9.66,9.18,9.76,9.18,564.62K,5.69%
Oct 19  2015,9.14,9.53,9.61,9.07,476.62K,-4.59%
Oct 16  2015,9.58,9.81,10.04,9.57,589.98K,-2.64%
Oct 15  2015,9.84,9.56,9.92,9.48,550.24K,1.55%
Oct 14  2015,9.69,9.25,9.75,9.21,678.49K,6.95%
Oct 13  2015,9.06,8.90,9.29,8.75,363.85K,1.00%
Oct 09  2015,8.97,9.44,9.44,8.87,608.43K,-0.66%
Oct 08  2015,9.03,9.26,9.52,9.00,647.68K,-7.76%
Oct 07  2015,9.79,9.74,9.87,9.41,651.89K,1.03%
Oct 06  2015,9.69,9.71,10.02,9.33,811.95K,2.22%
Oct 05  2015,9.48,9.06,9.55,9.00,664.94K,5.92%
Oct 02  2015,8.95,8.44,8.97,8.44,621.55K,10.22%
Oct 01  2015,8.12,8.60,8.84,8.08,743.99K,-6.67%
Sep 30  2015,8.70,8.34,8.71,8.16,350.16K,2.96%
Sep 29  2015,8.45,8.50,8.68,8.36,341.63K,0.24%
Sep 28  2015,8.43,8.70,8.70,8.33,273.96K,-4.96%
Sep 25  2015,8.87,8.75,8.93,8.66,489.08K,0.11%
Sep 24  2015,8.86,8.48,8.90,8.45,481.34K,7.52%
Sep 23  2015,8.24,8.52,8.62,8.21,173.31K,-1.32%
Sep 22  2015,8.35,8.49,8.57,8.23,276.60K,-4.13%
Sep 21  2015,8.71,8.84,8.96,8.59,256.36K,-2.46%
Sep 18  2015,8.93,8.64,9.29,8.64,690.96K,5.31%
Sep 17  2015,8.48,8.24,8.54,7.95,566.82K,1.80%
Sep 16  2015,8.33,7.98,8.37,7.98,269.56K,6.52%
Sep 15  2015,7.82,7.88,8.10,7.77,152.25K,-1.39%
Sep 14  2015,7.93,7.80,8.12,7.62,203.24K,0.38%
Sep 11  2015,7.90,7.60,7.90,7.43,319.41K,2.60%
Sep 10  2015,7.70,7.86,8.04,7.67,170.28K,-0.65%
Sep 09  2015,7.75,7.99,8.14,7.71,144.89K,-4.44%
Sep 08  2015,8.11,8.07,8.28,7.91,125.71K,1.25%
Sep 04  2015,8.01,8.05,8.16,7.75,130.91K,-0.99%
Sep 03  2015,8.09,8.15,8.51,8.04,329.24K,-2.29%
Sep 02  2015,8.28,8.40,8.56,8.13,396.36K,-1.55%
Sep 01  2015,8.41,8.77,8.79,8.30,244.16K,-0.71%
Aug 31  2015,8.47,8.35,8.66,8.30,363.00K,-1.74%
Aug 28  2015,8.62,8.05,8.72,8.05,450.58K,7.35%
Aug 27  2015,8.03,7.81,8.14,7.74,633.61K,3.21%
Aug 26  2015,7.78,8.08,8.24,7.74,478.63K,-6.15%
Aug 25  2015,8.29,8.46,8.61,7.91,450.56K,-0.48%
Aug 24  2015,8.33,8.40,9.07,8.27,587.28K,-6.19%
Aug 21  2015,8.88,9.21,9.29,8.80,576.39K,-4.21%
Aug 20  2015,9.27,9.23,9.46,9.17,565.61K,2.66%
Aug 19  2015,9.03,8.70,9.10,8.68,528.87K,5.00%
Aug 18  2015,8.60,8.62,8.71,8.38,408.78K,-2.93%
Aug 17  2015,8.86,8.50,8.90,8.50,562.14K,5.98%
Aug 14  2015,8.36,8.47,8.60,8.21,335.36K,-0.24%
Aug 13  2015,8.38,8.23,8.58,8.15,512.04K,-0.71%
Aug 12  2015,8.44,8.20,8.67,8.18,979.74K,3.43%
Aug 11  2015,8.16,7.76,8.27,7.67,892.96K,7.09%
Aug 10  2015,7.62,7.19,7.64,6.97,862.74K,8.39%
Aug 07  2015,7.03,7.17,7.44,6.98,842.25K,-1.26%
Aug 06  2015,7.12,7.11,7.28,6.96,708.35K,1.28%
Aug 05  2015,7.03,7.39,7.50,7.00,411.72K,-4.74%
Aug 04  2015,7.38,7.49,7.57,7.22,582.88K,-1.86%
Jul 31  2015,7.52,7.55,7.73,7.38,438.45K,1.48%
Jul 30  2015,7.41,7.44,7.67,7.19,548.44K,-1.59%
Jul 29  2015,7.53,7.01,7.65,6.97,768.88K,7.26%
Jul 28  2015,7.02,7.19,7.35,6.91,481.90K,0.00%
Jul 27  2015,7.02,7.09,7.67,6.99,571.33K,-3.17%
Jul 24  2015,7.25,6.85,7.33,6.59,614.60K,4.32%
Jul 23  2015,6.95,7.47,7.54,6.90,466.63K,-6.08%
Jul 22  2015,7.40,7.15,7.62,7.01,344.41K,1.93%
Jul 21  2015,7.26,7.24,7.54,7.06,393.87K,3.13%
Jul 20  2015,7.04,7.40,7.51,6.97,680.99K,-10.32%
Jul 17  2015,7.85,8.09,8.09,7.82,322.07K,-3.56%
Jul 16  2015,8.14,7.75,8.22,7.75,380.06K,4.90%
Jul 15  2015,7.76,7.67,7.87,7.53,266.64K,-0.26%
Jul 14  2015,7.78,8.13,8.17,7.76,207.65K,-3.59%
Jul 13  2015,8.07,7.75,8.10,7.56,254.31K,3.99%
Jul 10  2015,7.76,7.80,7.82,7.65,178.37K,1.17%
Jul 09  2015,7.67,7.50,8.00,7.47,405.49K,4.78%
Jul 08  2015,7.32,7.61,7.61,7.26,186.45K,-1.74%
Jul 07  2015,7.45,7.66,7.67,7.11,272.81K,-5.58%
Jul 06  2015,7.89,7.36,7.98,7.36,275.41K,5.62%
Jul 03  2015,7.47,7.55,7.64,7.47,47.54K,-0.53%
Jul 02  2015,7.51,7.49,7.58,7.31,257.86K,-4.33%
Jun 30  2015,7.85,7.75,7.99,7.61,241.95K,2.08%
Jun 29  2015,7.69,7.84,8.00,7.68,219.13K,-0.52%
Jun 26  2015,7.73,7.94,8.02,7.65,221.16K,-3.37%
Jun 25  2015,8.00,8.05,8.17,7.94,181.57K,-0.50%
Jun 24  2015,8.04,8.25,8.51,8.02,237.12K,-2.90%
Jun 23  2015,8.28,8.13,8.37,8.11,174.97K,0.98%
Jun 22  2015,8.20,8.06,8.53,8.06,169.43K,-2.26%
Jun 19  2015,8.39,8.41,8.57,8.20,328.36K,-0.24%
Jun 18  2015,8.41,8.27,8.54,8.18,382.63K,3.70%
Jun 17  2015,8.11,7.93,8.17,7.78,450.49K,2.27%
Jun 16  2015,7.93,7.97,7.99,7.77,701.12K,-1.37%
Jun 15  2015,8.04,7.77,8.05,7.58,234.07K,3.47%
Jun 12  2015,7.77,7.88,7.95,7.76,100.17K,-1.52%
Jun 11  2015,7.89,7.80,7.95,7.74,180.12K,0.13%
Jun 10  2015,7.88,7.97,8.06,7.86,107.09K,0.25%
Jun 09  2015,7.86,7.97,8.10,7.82,152.89K,-1.13%
Jun 08  2015,7.95,8.00,8.00,7.72,191.03K,-0.50%
Jun 05  2015,7.99,7.97,8.10,7.87,218.00K,-1.24%
Jun 04  2015,8.09,7.88,8.21,7.78,318.17K,1.25%
Jun 03  2015,7.99,7.94,8.14,7.90,184.38K,0.13%
Jun 02  2015,7.98,7.94,8.12,7.87,378.96K,1.40%
Jun 01  2015,7.87,7.93,7.97,7.80,234.46K,1.81%
May 29  2015,7.73,7.68,7.94,7.68,206.10K,0.91%
May 28  2015,7.66,7.44,7.71,7.41,281.18K,2.41%
May 27  2015,7.48,7.51,7.52,7.32,170.59K,0.40%
May 26  2015,7.45,7.45,7.55,7.28,345.01K,-2.23%
May 25  2015,7.62,7.68,7.68,7.57,45.71K,-0.13%
May 22  2015,7.63,7.69,7.83,7.57,220.58K,-0.65%
May 21  2015,7.68,7.58,7.72,7.56,213.17K,1.05%
May 20  2015,7.60,7.80,7.88,7.57,296.20K,-2.31%
May 19  2015,7.78,7.60,7.93,7.60,475.37K,-1.02%
May 15  2015,7.86,7.75,7.99,7.69,427.10K,0.38%
May 14  2015,7.83,7.65,8.03,7.58,824.55K,4.82%
May 13  2015,7.47,6.90,7.71,6.86,1.11M,13.53%
May 12  2015,6.58,6.65,6.71,6.48,326.09K,-0.90%
May 11  2015,6.64,6.44,6.68,6.44,337.72K,2.63%
May 08  2015,6.47,6.52,6.52,6.34,207.39K,0.94%
May 07  2015,6.41,6.27,6.43,6.20,248.38K,0.79%
May 06  2015,6.36,6.75,6.75,6.28,435.33K,-4.79%
May 05  2015,6.68,6.88,6.92,6.62,228.93K,-1.33%
May 04  2015,6.77,6.99,6.99,6.72,292.86K,0.89%
May 01  2015,6.71,6.48,6.85,6.48,247.23K,2.29%
Apr 30  2015,6.56,6.67,6.80,6.53,353.94K,-5.48%
Apr 29  2015,6.94,6.86,7.05,6.73,334.77K,0.29%
Apr 28  2015,6.92,6.65,7.04,6.65,355.82K,3.75%
Apr 27  2015,6.67,6.48,6.88,6.47,359.01K,4.87%
Apr 24  2015,6.36,6.53,6.74,6.30,319.54K,-3.49%
Apr 23  2015,6.59,6.60,6.71,6.47,249.70K,0.00%
Apr 22  2015,6.59,6.79,6.93,6.58,277.63K,-4.22%
Apr 21  2015,6.88,6.67,6.94,6.63,245.06K,3.15%
Apr 20  2015,6.67,6.49,6.71,6.37,264.15K,1.83%
Apr 17  2015,6.55,6.44,6.71,6.44,251.44K,2.66%
Apr 16  2015,6.38,6.51,6.59,6.30,299.56K,-1.85%
Apr 15  2015,6.50,6.48,6.54,6.42,541.43K,1.72%
Apr 14  2015,6.39,6.39,6.52,6.34,549.58K,-0.62%
Apr 13  2015,6.43,6.47,6.68,6.41,258.58K,-3.74%
Apr 10  2015,6.68,6.53,6.71,6.50,198.05K,3.73%
Apr 09  2015,6.44,6.11,6.44,6.11,317.65K,3.21%
Apr 08  2015,6.24,6.18,6.43,6.05,256.09K,0.65%
Apr 07  2015,6.20,6.29,6.33,6.13,199.60K,-2.21%
Apr 06  2015,6.34,6.48,6.48,6.18,428.09K,5.32%
Apr 02  2015,6.02,5.90,6.09,5.81,202.39K,-0.50%
Apr 01  2015,6.05,5.89,6.12,5.81,416.04K,5.77%
Mar 31  2015,5.72,5.93,5.95,5.61,294.78K,-3.21%
Mar 30  2015,5.91,5.95,6.03,5.79,305.01K,-3.11%
Mar 27  2015,6.10,6.26,6.27,5.99,355.43K,-2.71%
Mar 26  2015,6.27,6.64,6.65,6.19,321.02K,-3.39%
Mar 25  2015,6.49,6.63,6.67,6.46,184.30K,-0.61%
Mar 24  2015,6.53,6.55,6.59,6.43,135.01K,-0.76%
Mar 23  2015,6.58,6.48,6.61,6.42,305.75K,2.81%
Mar 20  2015,6.40,6.44,6.58,6.31,330.83K,1.11%
Mar 19  2015,6.33,6.06,6.38,6.06,233.24K,3.43%
Mar 18  2015,6.12,5.89,6.22,5.84,338.07K,3.20%
Mar 17  2015,5.93,5.88,6.15,5.84,256.06K,-1.50%
Mar 16  2015,6.02,5.91,6.12,5.81,306.96K,1.86%
Mar 13  2015,5.91,5.67,5.91,5.59,325.98K,4.60%
