Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,23.41,22.67,23.52,22.59,3.86M,8.03%
Apr 18  2016,21.67,22.02,22.04,21.48,1.23M,-1.05%
Apr 15  2016,21.90,21.66,22.00,21.45,1.81M,1.39%
Apr 14  2016,21.60,22.38,22.41,21.21,1.82M,-3.79%
Apr 13  2016,22.45,22.65,22.90,22.37,1.38M,-1.23%
Apr 12  2016,22.73,22.52,22.95,22.24,2.47M,2.25%
Apr 11  2016,22.23,21.85,22.49,21.79,1.92M,3.44%
Apr 08  2016,21.49,21.50,21.72,21.36,2.00M,-0.09%
Apr 07  2016,21.51,21.73,21.83,21.41,1.97M,0.37%
Apr 06  2016,21.43,21.19,21.43,20.93,2.23M,0.33%
Apr 05  2016,21.36,21.08,21.49,20.89,1.51M,3.79%
Apr 04  2016,20.58,21.49,21.49,20.51,1.16M,-3.83%
Apr 01  2016,21.40,21.22,21.46,20.80,2.09M,-0.70%
Mar 31  2016,21.55,22.10,22.30,21.45,3.47M,-5.81%
Mar 30  2016,22.88,23.08,23.34,22.61,2.77M,-1.55%
Mar 29  2016,23.24,22.76,23.38,22.36,1.14M,2.38%
Mar 28  2016,22.70,22.93,22.97,22.33,1.26M,-0.53%
Mar 24  2016,22.82,22.78,23.30,22.65,1.37M,0.75%
Mar 23  2016,22.65,22.88,23.46,22.21,2.92M,-2.75%
Mar 22  2016,23.29,23.54,23.92,22.98,2.35M,-0.09%
Mar 21  2016,23.31,23.10,23.55,22.87,1.00M,0.21%
Mar 18  2016,23.26,23.30,23.85,22.93,2.96M,0.87%
Mar 17  2016,23.06,23.50,24.03,22.83,2.48M,-1.37%
Mar 16  2016,23.38,22.46,23.48,21.93,1.71M,3.59%
Mar 15  2016,22.57,22.25,22.57,21.86,1.05M,1.35%
Mar 14  2016,22.27,22.76,23.07,22.20,1.38M,-1.15%
Mar 11  2016,22.53,22.97,23.10,22.37,1.15M,-1.83%
Mar 10  2016,22.95,22.25,23.18,22.06,1.72M,4.99%
Mar 09  2016,21.86,21.49,22.08,21.27,1.78M,-0.82%
Mar 08  2016,22.04,22.95,23.05,21.80,1.54M,-1.91%
Mar 07  2016,22.47,22.38,23.14,22.24,2.27M,2.37%
Mar 04  2016,21.95,21.82,23.65,21.74,3.35M,1.67%
Mar 03  2016,21.59,20.92,21.82,20.85,1.31M,3.80%
Mar 02  2016,20.80,20.54,20.95,20.35,1.20M,2.21%
Mar 01  2016,20.35,21.49,21.49,20.10,1.24M,-4.64%
Feb 29  2016,21.34,20.94,21.47,20.93,1.52M,2.35%
Feb 26  2016,20.85,21.12,21.58,20.63,1.43M,-2.89%
Feb 25  2016,21.47,21.41,21.60,20.98,2.00M,-0.79%
Feb 24  2016,21.64,22.37,22.50,21.40,2.80M,-0.05%
Feb 23  2016,21.65,21.71,22.13,21.40,1.43M,1.31%
Feb 22  2016,21.37,20.93,21.66,20.84,1.76M,-0.28%
Feb 19  2016,21.43,21.73,22.40,21.40,1.68M,-1.38%
Feb 18  2016,21.73,20.42,21.98,20.36,2.67M,5.28%
Feb 17  2016,20.64,20.60,21.00,20.29,1.69M,0.93%
Feb 16  2016,20.45,20.44,21.06,20.13,2.20M,-3.31%
Feb 12  2016,21.15,20.48,21.26,20.05,1.78M,2.12%
Feb 11  2016,20.71,21.00,21.28,20.19,4.03M,5.23%
Feb 10  2016,19.68,19.50,19.89,18.75,1.65M,0.10%
Feb 09  2016,19.66,20.55,20.65,19.26,2.67M,-4.00%
Feb 08  2016,20.48,20.40,20.98,20.35,3.10M,4.38%
Feb 05  2016,19.62,18.20,19.68,17.92,4.84M,6.28%
Feb 04  2016,18.46,18.12,18.80,18.06,2.02M,4.59%
Feb 03  2016,17.65,16.61,17.75,16.53,1.62M,6.71%
Feb 02  2016,16.54,16.79,17.00,16.35,929.31K,-1.72%
Feb 01  2016,16.83,16.69,16.92,16.50,1.29M,1.94%
Jan 29  2016,16.51,15.52,16.59,15.41,1.52M,5.97%
Jan 28  2016,15.58,15.51,15.87,15.10,1.69M,-1.83%
Jan 27  2016,15.87,15.63,16.04,15.43,1.28M,0.44%
Jan 26  2016,15.80,15.26,15.84,15.20,1.14M,4.50%
Jan 25  2016,15.12,15.31,15.46,14.97,1.16M,0.87%
Jan 22  2016,14.99,14.78,15.36,14.62,1.38M,-0.27%
Jan 21  2016,15.03,15.03,15.21,14.51,1.55M,-1.31%
Jan 20  2016,15.23,15.31,15.37,14.61,2.81M,-0.52%
Jan 19  2016,15.31,16.31,16.31,15.25,1.54M,-4.97%
Jan 18  2016,16.11,16.03,16.29,16.00,130.24K,-0.56%
Jan 15  2016,16.20,16.40,16.46,15.85,1.93M,1.63%
Jan 14  2016,15.94,15.89,16.28,15.57,1.22M,-1.06%
Jan 13  2016,16.11,16.09,16.34,15.74,1.98M,1.00%
Jan 12  2016,15.95,16.58,16.59,15.54,1.96M,-4.72%
Jan 11  2016,16.74,18.11,18.17,16.53,1.62M,-7.36%
Jan 08  2016,18.07,18.07,18.50,17.81,1.58M,-1.36%
Jan 07  2016,18.32,17.42,18.44,17.31,2.53M,6.33%
Jan 06  2016,17.23,17.28,17.38,17.10,950.81K,0.94%
Jan 05  2016,17.07,17.49,17.50,16.88,951.26K,-2.01%
Jan 04  2016,17.42,17.59,17.77,17.12,1.29M,1.28%
Dec 31  2015,17.20,17.01,17.23,16.92,775.56K,0.76%
Dec 30  2015,17.07,17.02,17.20,16.96,479.55K,-0.87%
Dec 29  2015,17.22,17.49,17.51,17.10,715.01K,-3.85%
Dec 24  2015,17.91,17.81,18.10,17.75,375.41K,1.24%
Dec 23  2015,17.69,17.50,17.87,17.45,666.45K,1.43%
Dec 22  2015,17.44,17.33,17.68,17.26,663.66K,0.40%
Dec 21  2015,17.37,17.50,17.71,17.24,891.17K,0.87%
Dec 18  2015,17.22,16.85,17.45,16.82,2.29M,3.42%
Dec 17  2015,16.65,17.23,17.23,16.64,1.03M,-6.04%
Dec 16  2015,17.72,17.56,17.83,17.14,1.95M,2.78%
Dec 15  2015,17.24,17.49,17.55,17.08,955.64K,-0.63%
Dec 14  2015,17.35,18.20,18.23,17.19,1.11M,-5.14%
Dec 11  2015,18.29,17.71,18.48,17.60,1.19M,2.29%
Dec 10  2015,17.88,17.82,18.16,17.74,1.08M,-0.33%
Dec 09  2015,17.94,18.33,18.59,17.81,964.38K,0.34%
Dec 08  2015,17.88,17.93,18.07,17.68,680.44K,-0.28%
Dec 07  2015,17.93,18.48,18.60,17.78,1.01M,-4.07%
Dec 04  2015,18.69,18.22,18.79,18.22,1.22M,4.24%
Dec 03  2015,17.93,18.00,18.33,17.90,809.44K,0.50%
Dec 02  2015,17.84,17.79,18.04,17.50,894.62K,-1.33%
Dec 01  2015,18.08,17.71,18.16,17.52,953.82K,3.02%
Nov 30  2015,17.55,16.96,17.58,16.93,2.43M,3.36%
Nov 27  2015,16.98,16.69,17.06,16.65,510.88K,-1.34%
Nov 26  2015,17.21,16.87,17.34,16.85,233.62K,1.89%
Nov 25  2015,16.89,16.74,17.25,16.62,837.93K,0.00%
Nov 24  2015,16.89,16.80,17.16,16.65,1.16M,1.44%
Nov 23  2015,16.65,16.63,16.97,16.54,559.55K,-0.54%
Nov 20  2015,16.74,17.33,17.41,16.61,975.57K,-2.62%
Nov 19  2015,17.19,17.06,17.29,16.85,725.64K,1.84%
Nov 18  2015,16.88,16.22,16.97,16.20,868.33K,4.91%
Nov 17  2015,16.09,16.62,16.62,15.88,814.63K,-3.65%
Nov 16  2015,16.70,16.61,16.95,16.55,564.14K,1.15%
Nov 13  2015,16.51,16.39,16.65,16.29,594.78K,0.67%
Nov 12  2015,16.40,16.38,16.87,16.22,1.07M,0.12%
Nov 11  2015,16.38,16.53,16.59,16.12,816.58K,-0.91%
Nov 10  2015,16.53,16.56,16.86,16.46,855.43K,-2.02%
Nov 09  2015,16.87,16.67,16.92,16.28,1.18M,1.20%
Nov 06  2015,16.67,16.70,16.88,16.35,1.34M,-2.40%
Nov 05  2015,17.08,18.21,18.21,16.71,2.00M,-4.79%
Nov 04  2015,17.94,18.29,19.03,17.76,3.36M,0.50%
Nov 03  2015,17.85,17.80,17.99,17.59,742.42K,-0.72%
Nov 02  2015,17.98,17.62,18.23,17.32,809.46K,1.18%
Oct 30  2015,17.77,18.10,18.35,17.76,1.46M,-1.88%
Oct 29  2015,18.11,18.95,19.14,17.90,1.15M,-6.07%
Oct 28  2015,19.28,19.53,20.20,18.90,2.22M,0.26%
Oct 27  2015,19.23,18.75,19.35,18.63,1.27M,2.29%
Oct 26  2015,18.80,19.03,19.11,18.70,1.55M,-0.90%
Oct 23  2015,18.97,18.38,19.06,18.28,1.91M,4.23%
Oct 22  2015,18.20,17.77,18.34,17.72,1.36M,2.30%
Oct 21  2015,17.79,18.11,18.11,17.52,1.25M,-2.25%
Oct 20  2015,18.20,17.92,18.40,17.81,1.59M,2.36%
Oct 19  2015,17.78,18.39,18.49,17.69,1.60M,-3.68%
Oct 16  2015,18.46,18.91,19.20,18.43,1.35M,-3.30%
Oct 15  2015,19.09,18.87,19.21,18.62,1.32M,0.16%
Oct 14  2015,19.06,18.28,19.09,18.20,1.82M,7.08%
Oct 13  2015,17.80,18.23,18.28,17.64,1.97M,-4.71%
Oct 09  2015,18.68,19.00,19.07,18.39,1.52M,1.14%
Oct 08  2015,18.47,18.44,19.10,18.25,2.13M,-2.07%
Oct 07  2015,18.86,18.94,19.03,18.13,2.99M,0.05%
Oct 06  2015,18.85,18.16,19.02,18.07,2.41M,6.20%
Oct 05  2015,17.75,16.94,17.98,16.85,1.72M,5.59%
Oct 02  2015,16.81,15.69,16.85,15.59,1.81M,10.09%
Oct 01  2015,15.27,16.11,16.25,15.20,1.54M,-4.80%
Sep 30  2015,16.04,15.67,16.22,15.59,1.58M,1.07%
Sep 29  2015,15.87,15.95,16.31,15.76,1.23M,0.51%
Sep 28  2015,15.79,16.20,16.20,15.75,2.09M,-4.71%
Sep 25  2015,16.57,16.42,16.74,16.31,1.55M,-0.54%
Sep 24  2015,16.66,15.75,16.72,15.67,1.35M,7.97%
Sep 23  2015,15.43,15.84,15.92,15.39,550.03K,-1.15%
Sep 22  2015,15.61,15.80,15.97,15.55,1.16M,-3.34%
Sep 21  2015,16.15,16.25,16.49,16.10,827.94K,-1.22%
Sep 18  2015,16.35,16.76,16.77,16.07,3.13M,-0.79%
Sep 17  2015,16.48,16.18,16.67,15.91,1.34M,1.35%
Sep 16  2015,16.26,15.55,16.39,15.51,3.32M,6.83%
Sep 15  2015,15.22,14.91,15.58,14.88,1.63M,3.12%
Sep 14  2015,14.76,15.05,15.08,14.62,1.48M,-4.28%
Sep 11  2015,15.42,14.90,15.47,14.67,808.25K,2.25%
Sep 10  2015,15.08,15.26,15.71,14.97,1.16M,-0.07%
Sep 09  2015,15.09,15.26,15.61,14.97,787.06K,-2.08%
Sep 08  2015,15.41,15.21,15.69,15.16,713.60K,1.78%
Sep 04  2015,15.14,15.11,15.19,14.84,726.75K,-0.92%
Sep 03  2015,15.28,15.29,16.10,15.20,1.01M,-1.36%
Sep 02  2015,15.49,15.63,15.73,14.97,1.61M,-0.90%
Sep 01  2015,15.63,16.23,16.42,15.60,1.18M,-3.10%
Aug 31  2015,16.13,16.28,16.28,15.52,1.62M,-1.53%
Aug 28  2015,16.38,15.91,16.72,15.91,1.13M,3.21%
Aug 27  2015,15.87,15.30,16.15,15.13,1.48M,3.46%
Aug 26  2015,15.34,15.80,15.80,14.92,1.72M,-3.94%
Aug 25  2015,15.97,16.89,16.89,15.73,1.47M,-2.74%
