Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,34.16,34.00,34.16,33.60,233.78K,0.77%
Apr 18  2016,33.90,33.79,34.19,33.79,233.14K,0.12%
Apr 15  2016,33.86,33.50,33.95,33.50,117.86K,0.74%
Apr 14  2016,33.61,33.59,33.61,33.40,167.94K,0.27%
Apr 13  2016,33.52,33.27,33.70,33.23,195.59K,0.99%
Apr 12  2016,33.19,33.50,33.75,33.12,466.51K,-0.93%
Apr 11  2016,33.50,33.50,33.73,33.45,140.87K,0.00%
Apr 08  2016,33.50,33.68,33.73,33.40,378.09K,-0.42%
Apr 07  2016,33.64,33.59,33.80,33.45,210.90K,-0.09%
Apr 06  2016,33.67,33.51,33.78,33.48,194.69K,-0.24%
Apr 05  2016,33.75,33.67,33.86,33.36,233.78K,-0.47%
Apr 04  2016,33.91,33.77,34.17,33.59,186.80K,0.09%
Apr 01  2016,33.88,33.73,34.10,33.45,295.74K,-0.15%
Mar 31  2016,33.93,34.05,34.15,33.71,285.08K,-0.41%
Mar 30  2016,34.07,33.31,34.33,33.24,379.53K,2.65%
Mar 29  2016,33.19,33.39,33.53,33.15,135.11K,-0.93%
Mar 28  2016,33.50,33.26,33.53,33.20,206.77K,0.69%
Mar 24  2016,33.27,33.62,33.62,33.06,241.59K,-1.28%
Mar 23  2016,33.70,33.98,34.00,33.67,157.90K,-0.68%
Mar 22  2016,33.93,34.24,34.40,33.93,240.39K,-1.25%
Mar 21  2016,34.36,34.30,34.48,33.84,161.15K,0.23%
Mar 18  2016,34.28,34.15,34.66,33.89,680.79K,0.38%
Mar 17  2016,34.15,33.89,34.55,33.75,230.52K,0.92%
Mar 16  2016,33.84,33.50,34.07,33.50,211.98K,0.83%
Mar 15  2016,33.56,33.22,33.72,32.90,201.33K,1.15%
Mar 14  2016,33.18,32.85,33.37,32.61,180.99K,1.07%
Mar 11  2016,32.83,33.00,33.18,32.69,153.51K,-0.24%
Mar 10  2016,32.91,32.65,32.91,32.38,139.20K,0.80%
Mar 09  2016,32.65,32.54,32.74,32.36,201.39K,0.18%
Mar 08  2016,32.59,32.11,32.59,31.99,271.33K,1.62%
Mar 07  2016,32.07,32.54,32.58,32.06,216.87K,-1.57%
Mar 04  2016,32.58,33.10,33.31,32.43,210.96K,-1.57%
Mar 03  2016,33.10,32.70,33.15,32.45,165.55K,1.10%
Mar 02  2016,32.74,32.34,32.76,32.10,202.15K,1.11%
Mar 01  2016,32.38,32.29,32.52,32.10,455.83K,0.62%
Feb 29  2016,32.18,31.79,32.18,31.73,1.40M,1.23%
Feb 26  2016,31.79,31.99,32.09,31.69,300.53K,-0.34%
Feb 25  2016,31.90,32.09,32.29,31.90,117.68K,-1.02%
Feb 24  2016,32.23,31.90,32.23,31.63,152.22K,0.72%
Feb 23  2016,32.00,32.03,32.15,31.86,209.55K,-0.16%
Feb 22  2016,32.05,32.15,32.43,32.03,233.58K,-0.19%
Feb 19  2016,32.11,32.07,32.59,31.80,276.37K,-0.28%
Feb 18  2016,32.20,30.88,32.25,30.88,386.22K,4.21%
Feb 17  2016,30.90,30.08,30.97,29.94,390.60K,3.07%
Feb 16  2016,29.98,29.75,29.98,29.55,267.73K,0.91%
Feb 12  2016,29.71,29.52,29.83,28.97,623.03K,0.07%
Feb 11  2016,29.69,30.60,30.70,29.69,261.29K,-3.64%
Feb 10  2016,30.81,31.67,31.67,30.62,188.41K,-1.12%
Feb 09  2016,31.16,30.95,31.18,30.62,216.97K,0.52%
Feb 08  2016,31.00,31.55,31.55,30.99,189.14K,-1.96%
Feb 05  2016,31.62,31.60,31.65,31.29,262.90K,0.38%
Feb 04  2016,31.50,31.28,31.66,31.16,323.53K,0.77%
Feb 03  2016,31.26,30.91,31.26,30.71,228.94K,1.07%
Feb 02  2016,30.93,30.70,30.93,30.33,289.17K,0.42%
Feb 01  2016,30.80,30.95,30.95,30.40,296.45K,-0.52%
Jan 29  2016,30.96,30.74,30.96,30.41,384.57K,1.61%
Jan 28  2016,30.47,30.08,30.54,29.80,324.30K,1.91%
Jan 27  2016,29.90,29.70,30.19,29.63,365.55K,-0.13%
Jan 26  2016,29.94,29.97,30.20,29.78,217.00K,0.10%
Jan 25  2016,29.91,29.72,30.40,29.72,253.60K,0.23%
Jan 22  2016,29.84,29.59,30.05,29.48,276.21K,1.67%
Jan 21  2016,29.35,29.30,29.47,29.01,286.95K,-0.34%
Jan 20  2016,29.45,29.21,29.59,28.70,297.14K,-0.03%
Jan 19  2016,29.46,29.12,29.49,29.09,370.09K,1.41%
Jan 18  2016,29.05,29.26,29.50,28.81,163.15K,-1.59%
Jan 15  2016,29.52,28.51,29.67,28.51,595.75K,1.30%
Jan 14  2016,29.14,29.18,29.35,28.51,368.15K,-0.72%
Jan 13  2016,29.35,29.50,29.82,29.22,249.82K,-0.94%
Jan 12  2016,29.63,29.56,29.82,29.18,312.96K,0.41%
Jan 11  2016,29.51,29.43,29.80,29.20,221.42K,0.17%
Jan 08  2016,29.46,29.25,29.68,29.20,163.48K,0.14%
Jan 07  2016,29.42,29.54,29.75,29.29,296.37K,-1.61%
Jan 06  2016,29.90,29.95,30.00,29.61,197.32K,-0.13%
Jan 05  2016,29.94,30.10,30.24,29.83,163.06K,-0.53%
Jan 04  2016,30.10,30.04,30.28,29.58,407.29K,-0.30%
Dec 31  2015,30.19,30.52,30.65,30.08,144.68K,-1.50%
Dec 30  2015,30.65,30.68,30.92,30.60,298.36K,-0.36%
Dec 29  2015,30.76,30.81,31.15,30.73,302.37K,-0.13%
Dec 24  2015,30.80,30.65,30.80,30.57,86.88K,0.49%
Dec 23  2015,30.65,30.82,30.88,30.63,202.18K,-0.58%
Dec 22  2015,30.83,31.02,31.04,30.63,250.75K,-0.23%
Dec 21  2015,30.90,31.41,31.48,30.82,179.69K,-1.25%
Dec 18  2015,31.29,30.86,31.30,30.80,494.30K,1.07%
Dec 17  2015,30.96,30.80,31.05,30.67,380.35K,0.55%
Dec 16  2015,30.79,30.85,31.07,30.70,510.02K,0.06%
Dec 15  2015,30.77,30.64,30.90,30.64,489.06K,-0.26%
Dec 14  2015,30.85,30.86,31.37,30.54,238.79K,-0.23%
Dec 11  2015,30.92,30.65,31.29,30.55,254.13K,0.49%
Dec 10  2015,30.77,31.03,31.22,30.76,262.14K,-0.71%
Dec 09  2015,30.99,31.27,31.60,30.97,288.69K,-0.83%
Dec 08  2015,31.25,31.17,31.35,30.90,263.96K,0.26%
Dec 07  2015,31.17,31.57,31.69,31.04,214.38K,-1.20%
Dec 04  2015,31.55,31.70,31.70,31.20,260.47K,-0.22%
Dec 03  2015,31.62,31.91,31.91,31.38,286.10K,-0.88%
Dec 02  2015,31.90,32.00,32.16,31.54,381.78K,-0.25%
Dec 01  2015,31.98,31.98,32.23,31.80,533.72K,-0.06%
Nov 30  2015,32.00,32.20,32.27,31.77,3.13M,-0.47%
