Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,33.00,32.98,33.45,32.88,416.73K,0.06%
Apr 18  2016,32.98,32.88,33.10,32.67,750.87K,-0.69%
Apr 15  2016,33.21,32.47,33.54,32.41,897.24K,2.41%
Apr 14  2016,32.43,32.30,32.49,31.00,1.79M,-1.04%
Apr 13  2016,32.77,33.00,33.24,32.70,329.98K,-0.52%
Apr 12  2016,32.94,33.09,33.23,32.70,171.14K,-0.27%
Apr 11  2016,33.03,33.00,33.25,32.90,377.81K,0.24%
Apr 08  2016,32.95,32.88,32.98,32.53,337.68K,0.76%
Apr 07  2016,32.70,32.75,32.81,32.43,155.01K,-0.46%
Apr 06  2016,32.85,32.67,33.02,32.67,391.46K,0.71%
Apr 05  2016,32.62,32.66,33.10,32.43,221.41K,-0.88%
Apr 04  2016,32.91,32.52,33.03,32.39,343.51K,1.39%
Apr 01  2016,32.46,32.51,33.02,32.10,352.77K,-1.64%
Mar 31  2016,33.00,33.84,34.31,32.70,659.45K,-2.51%
Mar 30  2016,33.85,30.71,33.99,30.55,1.90M,5.98%
Mar 29  2016,31.94,31.09,32.08,30.97,152.94K,1.95%
Mar 28  2016,31.33,31.33,31.37,30.86,92.14K,0.00%
Mar 24  2016,31.33,31.16,31.37,30.84,205.11K,0.13%
Mar 23  2016,31.29,31.17,31.51,30.99,102.38K,-0.35%
Mar 22  2016,31.40,30.65,31.63,30.63,191.71K,2.21%
Mar 21  2016,30.72,30.80,30.87,30.55,278.74K,-0.19%
Mar 18  2016,30.78,31.89,31.94,30.48,274.00K,-3.24%
Mar 17  2016,31.81,30.55,31.90,30.45,232.39K,4.40%
Mar 16  2016,30.47,30.33,30.87,30.19,130.21K,0.73%
Mar 15  2016,30.25,30.23,30.31,30.02,117.73K,-0.40%
Mar 14  2016,30.37,30.09,30.70,30.07,126.52K,0.40%
Mar 11  2016,30.25,30.41,30.57,30.04,133.91K,0.10%
Mar 10  2016,30.22,29.95,30.49,29.79,203.90K,1.21%
Mar 09  2016,29.86,29.84,30.05,29.68,194.36K,0.57%
Mar 08  2016,29.69,30.70,30.74,29.67,205.42K,-3.76%
Mar 07  2016,30.85,30.11,31.34,30.10,412.24K,2.42%
Mar 04  2016,30.12,30.04,30.28,29.92,300.76K,0.50%
Mar 03  2016,29.97,29.00,30.05,29.00,347.87K,3.77%
Mar 02  2016,28.88,28.87,29.21,28.70,217.06K,0.07%
Mar 01  2016,28.86,28.49,28.93,28.18,522.77K,2.27%
Feb 29  2016,28.22,29.05,29.10,27.99,485.64K,-2.79%
Feb 26  2016,29.03,29.11,29.35,28.57,676.45K,-2.52%
Feb 25  2016,29.78,29.56,29.90,29.05,601.34K,-1.97%
Feb 24  2016,30.38,30.70,30.72,30.25,347.55K,-1.62%
Feb 23  2016,30.88,31.03,31.27,30.78,188.22K,-0.64%
Feb 22  2016,31.08,31.36,31.71,30.97,207.13K,0.26%
Feb 19  2016,31.00,31.32,31.35,30.76,336.68K,-1.37%
Feb 18  2016,31.43,32.22,32.22,31.21,204.07K,-1.90%
Feb 17  2016,32.04,32.03,32.26,31.77,253.68K,0.44%
Feb 16  2016,31.90,31.45,31.98,30.92,269.46K,2.84%
Feb 12  2016,31.02,31.66,31.81,30.97,159.24K,-0.96%
Feb 11  2016,31.32,30.13,31.41,30.13,237.35K,0.19%
Feb 10  2016,31.26,31.97,32.15,31.10,166.26K,-1.82%
Feb 09  2016,31.84,32.10,32.23,31.54,187.10K,-1.67%
Feb 08  2016,32.38,33.23,33.25,31.96,136.22K,-3.23%
Feb 05  2016,33.46,33.73,33.73,32.95,212.62K,0.84%
Feb 04  2016,33.18,32.39,33.42,32.14,317.19K,2.44%
Feb 03  2016,32.39,32.20,32.55,31.63,338.49K,1.60%
Feb 02  2016,31.88,33.71,33.74,31.53,380.56K,-6.65%
Feb 01  2016,34.15,33.26,34.16,32.82,535.32K,0.03%
Jan 29  2016,34.14,33.57,34.26,33.51,200.71K,1.94%
Jan 28  2016,33.49,33.13,33.83,32.85,254.86K,2.13%
Jan 27  2016,32.79,32.74,33.10,32.18,198.97K,0.24%
Jan 26  2016,32.71,32.19,32.75,32.03,472.32K,2.19%
Jan 25  2016,32.01,32.94,33.02,32.01,166.95K,-3.32%
Jan 22  2016,33.11,32.26,33.34,32.18,186.56K,4.12%
Jan 21  2016,31.80,31.75,31.90,31.09,226.55K,0.00%
Jan 20  2016,31.80,31.97,31.98,30.75,324.32K,-0.53%
Jan 19  2016,31.97,32.02,32.53,31.96,219.86K,0.03%
Jan 18  2016,31.96,31.60,32.19,31.60,192.76K,1.14%
Jan 15  2016,31.60,31.52,31.81,31.12,295.05K,-1.53%
Jan 14  2016,32.09,31.53,32.19,31.10,216.46K,1.91%
Jan 13  2016,31.49,32.10,32.15,31.09,545.40K,-1.72%
Jan 12  2016,32.04,31.67,32.17,31.39,1.04M,1.65%
Jan 11  2016,31.52,32.13,32.22,31.24,276.00K,-1.65%
Jan 08  2016,32.05,32.15,32.68,31.98,180.81K,-0.31%
Jan 07  2016,32.15,32.49,32.49,31.92,194.22K,-1.86%
Jan 06  2016,32.76,33.06,33.10,32.29,297.60K,-1.12%
Jan 05  2016,33.13,33.68,33.79,33.11,164.72K,-1.66%
Jan 04  2016,33.69,33.42,33.87,33.07,139.77K,-1.84%
Dec 31  2015,34.32,34.75,34.89,34.11,115.07K,-1.61%
Dec 30  2015,34.88,34.86,35.00,34.62,103.04K,-0.06%
Dec 29  2015,34.90,35.14,35.14,34.67,147.35K,-0.29%
Dec 24  2015,35.00,34.90,35.22,34.80,95.84K,0.29%
Dec 23  2015,34.90,35.00,35.14,34.57,86.35K,-0.29%
Dec 22  2015,35.00,34.93,35.11,34.59,190.14K,0.32%
Dec 21  2015,34.89,34.51,34.99,34.19,173.86K,1.66%
Dec 18  2015,34.32,34.78,34.99,34.06,475.09K,-1.75%
Dec 17  2015,34.93,34.80,35.02,34.69,188.07K,0.40%
Dec 16  2015,34.79,34.38,35.00,33.75,424.86K,1.61%
Dec 15  2015,34.24,34.01,34.53,33.48,243.06K,1.21%
Dec 14  2015,33.83,34.19,34.30,33.70,246.42K,-1.05%
Dec 11  2015,34.19,34.45,34.87,34.00,163.08K,-2.29%
Dec 10  2015,34.99,34.41,35.05,34.30,294.14K,1.77%
Dec 09  2015,34.38,34.51,34.58,33.72,204.23K,-0.46%
Dec 08  2015,34.54,34.74,34.74,33.91,464.07K,-1.29%
Dec 07  2015,34.99,34.90,35.11,34.23,531.65K,0.32%
Dec 04  2015,34.88,34.98,35.17,34.51,493.99K,-0.29%
Dec 03  2015,34.98,35.00,35.18,34.51,190.92K,-0.09%
Dec 02  2015,35.01,35.30,35.38,34.71,287.05K,-0.74%
Dec 01  2015,35.27,34.66,35.57,34.48,191.51K,1.97%
Nov 30  2015,34.59,34.51,35.16,34.50,177.63K,0.32%
Nov 27  2015,34.48,34.33,34.69,34.20,61.93K,0.44%
Nov 26  2015,34.33,34.03,34.38,34.03,51.83K,0.41%
Nov 25  2015,34.19,33.74,34.39,33.74,262.50K,1.27%
Nov 24  2015,33.76,33.40,33.97,33.27,157.22K,0.99%
Nov 23  2015,33.43,33.07,33.64,33.07,88.66K,1.09%
Nov 20  2015,33.07,33.47,33.48,32.99,90.61K,-0.99%
Nov 19  2015,33.40,33.05,33.45,33.00,94.64K,0.81%
Nov 18  2015,33.13,33.25,33.47,32.98,131.41K,-0.21%
Nov 17  2015,33.20,33.24,33.37,32.96,87.24K,-0.18%
Nov 16  2015,33.26,32.51,33.31,32.41,126.06K,2.09%
Nov 13  2015,32.58,32.65,32.85,32.35,191.33K,-0.52%
Nov 12  2015,32.75,33.23,33.24,32.51,339.88K,-1.83%
Nov 11  2015,33.36,33.51,33.62,33.05,150.98K,-0.27%
Nov 10  2015,33.45,33.09,33.51,32.91,211.03K,0.84%
Nov 09  2015,33.17,33.25,33.42,32.94,142.91K,-0.54%
Nov 06  2015,33.35,33.13,33.46,32.64,280.53K,1.15%
Nov 05  2015,32.97,32.99,33.13,32.40,223.80K,0.61%
Nov 04  2015,32.77,32.81,32.90,32.33,379.33K,-0.30%
Nov 03  2015,32.87,32.78,32.95,32.51,354.02K,0.34%
Nov 02  2015,32.76,32.87,32.95,32.14,294.34K,-0.18%
Oct 30  2015,32.82,32.82,32.94,32.58,143.28K,0.18%
Oct 29  2015,32.76,33.17,33.20,32.68,158.42K,-1.18%
Oct 28  2015,33.15,32.26,33.21,32.25,137.31K,2.82%
Oct 27  2015,32.24,32.75,32.80,32.05,259.97K,-2.24%
Oct 26  2015,32.98,33.85,33.85,32.94,249.55K,-1.90%
Oct 23  2015,33.62,33.49,33.86,33.21,228.60K,0.84%
Oct 22  2015,33.34,32.93,33.48,32.75,332.62K,1.71%
Oct 21  2015,32.78,33.00,33.34,32.73,155.32K,-0.49%
Oct 20  2015,32.94,32.14,33.08,32.07,321.36K,2.84%
Oct 19  2015,32.03,31.72,32.19,31.50,154.82K,0.98%
Oct 16  2015,31.72,32.06,32.39,31.68,195.26K,-0.78%
Oct 15  2015,31.97,31.72,32.20,31.72,270.32K,0.44%
Oct 14  2015,31.83,32.25,32.48,31.78,203.33K,-1.24%
Oct 13  2015,32.23,32.51,32.52,31.98,196.46K,-1.13%
Oct 09  2015,32.60,32.70,33.00,32.29,248.15K,0.12%
Oct 08  2015,32.56,31.37,32.60,31.30,326.43K,3.79%
Oct 07  2015,31.37,30.60,31.53,30.60,592.73K,2.95%
Oct 06  2015,30.47,30.09,30.51,29.96,146.84K,1.53%
Oct 05  2015,30.01,29.47,30.07,29.39,410.02K,2.56%
Oct 02  2015,29.26,29.12,29.57,28.87,352.77K,-0.10%
Oct 01  2015,29.29,29.30,29.76,29.01,242.33K,0.38%
Sep 30  2015,29.18,29.49,29.55,28.77,270.14K,0.10%
Sep 29  2015,29.15,29.66,29.66,29.01,195.98K,-1.12%
Sep 28  2015,29.48,30.39,30.40,29.40,160.07K,-3.44%
Sep 25  2015,30.53,30.48,30.77,30.19,190.28K,0.83%
Sep 24  2015,30.28,30.80,30.81,29.83,328.48K,-2.32%
Sep 23  2015,31.00,31.00,31.15,30.77,268.71K,0.10%
Sep 22  2015,30.97,30.21,31.00,30.05,209.74K,1.74%
Sep 21  2015,30.44,30.43,30.65,30.01,137.41K,0.69%
Sep 18  2015,30.23,30.04,30.47,29.89,195.01K,-0.46%
Sep 17  2015,30.37,31.41,31.93,30.05,381.49K,-3.59%
Sep 16  2015,31.50,30.23,31.51,30.22,234.73K,4.34%
Sep 15  2015,30.19,30.45,30.46,29.90,86.55K,-0.40%
Sep 14  2015,30.31,30.03,30.39,29.66,178.10K,1.61%
Sep 11  2015,29.83,30.34,30.47,29.79,140.77K,-1.84%
Sep 10  2015,30.39,30.12,30.56,30.11,143.21K,0.46%
Sep 09  2015,30.25,30.82,31.03,30.15,270.17K,-1.08%
Sep 08  2015,30.58,30.37,31.09,30.37,246.48K,3.17%
Sep 04  2015,29.64,29.56,29.84,29.27,217.65K,-0.10%
Sep 03  2015,29.67,29.63,30.29,29.21,449.53K,-0.07%
Sep 02  2015,29.69,30.58,30.71,29.39,229.34K,-2.17%
Sep 01  2015,30.35,30.53,30.92,30.07,184.14K,-1.59%
Aug 31  2015,30.84,31.09,31.09,30.17,230.95K,-0.87%
Aug 28  2015,31.11,31.20,31.49,30.88,98.80K,-0.26%
Aug 27  2015,31.19,31.08,31.55,30.76,228.38K,1.56%
Aug 26  2015,30.71,30.86,30.86,30.00,186.94K,1.22%
Aug 25  2015,30.34,31.15,31.36,30.25,388.79K,-0.43%
Aug 24  2015,30.47,29.15,31.44,29.04,316.36K,-1.39%
Aug 21  2015,30.90,30.86,31.38,30.47,257.00K,-0.93%
Aug 20  2015,31.19,31.74,31.80,31.10,185.01K,-2.13%
Aug 19  2015,31.87,32.50,32.51,31.72,252.77K,-1.97%
Aug 18  2015,32.51,33.04,33.11,32.43,139.42K,-1.34%
Aug 17  2015,32.95,33.32,33.34,32.81,103.10K,-1.58%
Aug 14  2015,33.48,33.24,33.59,33.03,167.79K,0.93%
Aug 13  2015,33.17,33.00,33.42,32.99,152.97K,-0.06%
Aug 12  2015,33.19,33.43,33.43,32.82,360.33K,-0.81%
Aug 11  2015,33.46,33.51,33.67,33.26,447.04K,-0.62%
Aug 10  2015,33.67,33.68,33.99,33.52,300.60K,-0.03%
Aug 07  2015,33.68,32.50,33.75,32.50,603.91K,4.14%
Aug 06  2015,32.34,35.39,35.43,31.92,763.68K,-11.40%
Aug 05  2015,36.50,36.62,36.80,36.30,205.99K,0.00%
Aug 04  2015,36.50,36.80,36.85,36.28,210.71K,0.36%
Jul 31  2015,36.37,36.99,37.26,36.31,265.67K,-1.30%
Jul 30  2015,36.85,36.67,36.87,36.37,237.49K,0.24%
Jul 29  2015,36.76,36.37,37.18,36.37,159.20K,0.68%
Jul 28  2015,36.51,35.78,36.71,35.46,323.82K,2.24%
Jul 27  2015,35.71,36.00,36.42,35.43,274.22K,-1.11%
Jul 24  2015,36.11,36.35,36.66,36.08,213.95K,-0.47%
Jul 23  2015,36.28,36.48,36.64,36.14,701.95K,-0.68%
Jul 22  2015,36.53,36.65,36.65,35.63,383.57K,-2.30%
Jul 21  2015,37.39,37.96,37.96,37.25,157.67K,-0.85%
Jul 20  2015,37.71,37.61,38.09,37.61,192.42K,-0.13%
Jul 17  2015,37.76,37.41,37.90,37.34,198.48K,0.51%
Jul 16  2015,37.57,37.42,37.72,37.08,154.20K,0.40%
Jul 15  2015,37.42,37.63,37.75,37.38,406.18K,-0.21%
Jul 14  2015,37.50,37.10,37.56,37.00,231.32K,0.89%
Jul 13  2015,37.17,35.88,37.27,35.88,281.06K,3.05%
Jul 10  2015,36.07,35.52,36.14,35.52,316.10K,1.98%
Jul 09  2015,35.37,36.05,36.24,35.33,208.49K,-0.76%
Jul 08  2015,35.64,35.93,36.08,35.28,292.28K,-1.14%
Jul 07  2015,36.05,36.07,36.27,36.00,306.97K,-0.22%
Jul 06  2015,36.13,35.87,36.22,35.87,245.70K,-0.74%
Jul 03  2015,36.40,36.48,36.67,36.20,27.93K,-0.25%
Jul 02  2015,36.49,36.61,36.78,36.04,302.24K,-0.03%
Jun 30  2015,36.50,36.29,36.51,35.76,164.18K,1.16%
Jun 29  2015,36.08,36.20,36.22,36.01,189.37K,-1.07%
Jun 26  2015,36.47,36.64,36.64,36.07,215.31K,-0.05%
Jun 25  2015,36.49,36.71,37.11,36.41,225.61K,-0.16%
Jun 24  2015,36.55,36.03,36.89,36.03,319.61K,1.75%
Jun 23  2015,35.92,35.66,35.97,35.66,142.62K,0.93%
Jun 22  2015,35.59,35.22,35.60,35.19,68.28K,1.60%
Jun 19  2015,35.03,35.15,35.27,34.97,190.24K,-0.45%
Jun 18  2015,35.19,34.90,35.26,34.85,121.15K,0.98%
Jun 17  2015,34.85,34.79,34.96,34.79,143.37K,0.03%
Jun 16  2015,34.84,34.66,34.88,34.66,69.74K,-0.03%
Jun 15  2015,34.85,34.60,34.90,34.58,141.17K,-0.17%
Jun 12  2015,34.91,34.90,35.04,34.72,144.41K,-0.26%
