Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,48.21,47.93,49.20,47.51,154.58K,1.49%
Apr 18  2016,47.50,47.25,47.95,47.10,94.16K,0.42%
Apr 15  2016,47.30,47.23,47.60,47.00,92.27K,0.17%
Apr 14  2016,47.22,47.27,47.27,46.69,66.91K,-0.11%
Apr 13  2016,47.27,46.85,47.33,46.40,86.06K,1.09%
Apr 12  2016,46.76,46.95,47.25,46.52,60.44K,-0.13%
Apr 11  2016,46.82,46.53,46.95,46.20,44.72K,0.80%
Apr 08  2016,46.45,47.23,47.23,45.95,79.84K,-1.11%
Apr 07  2016,46.97,47.47,47.47,45.73,129.70K,-1.36%
Apr 06  2016,47.62,47.80,47.89,46.96,104.89K,-0.38%
Apr 05  2016,47.80,48.20,48.25,47.47,93.29K,-1.16%
Apr 04  2016,48.36,47.73,48.54,47.54,91.60K,1.60%
Apr 01  2016,47.60,46.39,47.61,46.29,78.71K,2.37%
Mar 31  2016,46.50,46.68,46.71,45.75,105.87K,-0.49%
Mar 30  2016,46.73,47.81,47.81,46.04,145.08K,-0.06%
Mar 29  2016,46.76,45.70,46.85,45.70,79.73K,2.41%
Mar 28  2016,45.66,45.73,45.96,45.29,47.92K,-0.15%
Mar 24  2016,45.73,46.00,46.34,45.56,74.33K,-1.02%
Mar 23  2016,46.20,45.99,46.43,45.90,97.45K,0.04%
Mar 22  2016,46.18,45.72,46.31,45.65,136.31K,0.52%
Mar 21  2016,45.94,45.71,46.05,44.74,149.93K,0.50%
Mar 18  2016,45.71,45.87,46.75,45.65,216.55K,-0.63%
Mar 17  2016,46.00,48.15,48.16,45.50,370.62K,-4.78%
Mar 16  2016,48.31,51.54,51.55,47.81,178.85K,-1.73%
Mar 15  2016,49.16,49.49,49.49,48.15,71.98K,-0.71%
Mar 14  2016,49.51,50.88,51.13,49.21,134.44K,-1.98%
Mar 11  2016,50.51,48.97,50.64,48.90,109.33K,3.95%
Mar 10  2016,48.59,48.49,49.05,48.00,48.63K,0.43%
Mar 09  2016,48.38,48.83,48.83,48.01,84.43K,0.39%
Mar 08  2016,48.19,47.30,48.84,47.25,99.13K,1.65%
Mar 07  2016,47.41,46.75,47.73,46.73,102.19K,1.41%
Mar 04  2016,46.75,48.80,48.95,46.47,147.23K,-3.79%
Mar 03  2016,48.59,48.50,49.37,48.16,74.13K,0.60%
Mar 02  2016,48.30,48.25,48.40,47.31,154.42K,0.73%
Mar 01  2016,47.95,48.29,48.33,47.47,162.38K,0.29%
Feb 29  2016,47.81,47.33,48.20,47.24,66.01K,1.96%
Feb 26  2016,46.89,47.31,47.31,46.89,97.45K,-0.34%
Feb 25  2016,47.05,46.60,47.38,46.49,49.42K,0.97%
Feb 24  2016,46.60,46.57,46.93,46.15,104.84K,-0.41%
Feb 23  2016,46.79,46.85,47.03,46.49,61.40K,0.00%
Feb 22  2016,46.79,47.42,47.68,46.72,146.84K,-0.21%
Feb 19  2016,46.89,47.25,47.25,46.73,119.51K,-0.91%
Feb 18  2016,47.32,47.51,47.61,46.96,212.25K,0.19%
Feb 17  2016,47.23,46.98,47.65,46.73,222.87K,1.61%
Feb 16  2016,46.48,46.31,46.73,45.60,161.58K,2.49%
Feb 12  2016,45.35,43.75,45.79,43.46,174.19K,4.59%
Feb 11  2016,43.36,42.87,43.64,42.60,143.40K,0.23%
Feb 10  2016,43.26,42.58,43.85,42.34,260.54K,2.29%
Feb 09  2016,42.29,42.45,42.84,41.38,235.33K,-0.40%
Feb 08  2016,42.46,43.11,43.72,42.07,233.96K,-3.94%
Feb 05  2016,44.20,45.58,45.85,44.08,208.86K,-2.17%
Feb 04  2016,45.18,42.63,45.55,42.51,245.21K,7.93%
Feb 03  2016,41.86,39.00,42.20,39.00,492.17K,3.69%
Feb 02  2016,40.37,41.33,41.80,39.19,190.92K,-3.24%
Feb 01  2016,41.72,41.97,42.13,41.46,136.12K,-1.44%
Jan 29  2016,42.33,41.73,42.89,41.72,207.99K,1.41%
Jan 28  2016,41.74,42.23,42.23,41.25,95.39K,-0.17%
Jan 27  2016,41.81,41.60,42.82,41.45,174.49K,0.60%
Jan 26  2016,41.56,42.02,42.81,41.42,128.20K,-1.35%
Jan 25  2016,42.13,43.95,43.98,42.03,94.60K,-4.25%
Jan 22  2016,44.00,43.79,45.50,43.39,137.99K,1.97%
Jan 21  2016,43.15,43.44,43.82,42.25,175.85K,-0.12%
Jan 20  2016,43.20,43.04,43.65,41.36,241.28K,-1.53%
Jan 19  2016,43.87,44.33,45.68,43.20,308.54K,-0.07%
Jan 18  2016,43.90,46.01,46.14,43.28,300.08K,-5.89%
Jan 15  2016,46.65,46.51,47.28,46.23,108.84K,-2.81%
Jan 14  2016,48.00,47.81,48.20,46.80,238.84K,-0.76%
Jan 13  2016,48.37,49.92,50.31,48.01,110.84K,-1.69%
Jan 12  2016,49.20,47.55,49.62,47.55,162.49K,3.97%
Jan 11  2016,47.32,48.75,48.78,46.47,217.59K,-3.70%
Jan 08  2016,49.14,49.34,50.31,49.06,109.09K,-0.30%
Jan 07  2016,49.29,51.27,51.27,49.01,122.39K,-4.61%
Jan 06  2016,51.67,51.98,52.29,51.55,127.07K,-0.54%
Jan 05  2016,51.95,52.28,52.79,51.75,52.25K,0.17%
Jan 04  2016,51.86,52.32,52.47,50.18,86.40K,-1.24%
Dec 31  2015,52.51,53.24,53.30,52.43,37.61K,-1.43%
Dec 30  2015,53.27,53.49,53.64,53.22,22.25K,-0.36%
Dec 29  2015,53.46,53.24,53.72,53.12,68.53K,0.53%
Dec 24  2015,53.18,53.05,53.18,52.58,18.58K,0.21%
Dec 23  2015,53.07,53.48,53.68,52.97,74.27K,0.28%
Dec 22  2015,52.92,51.97,53.11,51.75,117.15K,2.68%
Dec 21  2015,51.54,53.39,54.00,51.50,140.13K,-2.90%
