Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,42.89,42.42,42.91,42.42,1.36M,0.54%
Apr 18  2016,42.66,42.11,42.81,42.06,2.05M,0.57%
Apr 15  2016,42.42,42.10,42.43,42.07,738.40K,-0.05%
Apr 14  2016,42.44,42.27,42.90,42.07,1.07M,0.62%
Apr 13  2016,42.18,41.88,42.43,41.71,1.51M,1.20%
Apr 12  2016,41.68,41.41,41.82,41.15,1.09M,1.02%
Apr 11  2016,41.26,41.40,41.84,41.24,791.70K,-0.12%
Apr 08  2016,41.31,41.07,41.64,41.05,1.29M,1.15%
Apr 07  2016,40.84,41.64,41.64,40.82,1.22M,-2.09%
Apr 06  2016,41.71,41.52,41.71,41.13,1.46M,0.65%
Apr 05  2016,41.44,41.44,41.60,40.89,892.33K,-1.00%
Apr 04  2016,41.86,41.85,42.05,41.70,1.03M,0.02%
Apr 01  2016,41.85,41.67,42.02,41.47,871.70K,-0.12%
Mar 31  2016,41.90,41.51,42.17,41.51,1.19M,0.60%
Mar 30  2016,41.65,41.54,42.00,41.45,800.17K,0.87%
Mar 29  2016,41.29,41.66,41.68,41.04,940.88K,-1.50%
Mar 28  2016,41.92,41.66,42.10,41.52,1.06M,1.01%
Mar 24  2016,41.50,41.49,41.57,41.05,730.15K,-0.31%
Mar 23  2016,41.63,42.31,42.32,41.53,876.36K,-0.14%
Mar 22  2016,41.69,41.63,42.07,41.33,792.90K,-0.50%
Mar 21  2016,41.90,41.85,42.36,41.64,646.04K,-0.12%
Mar 18  2016,41.95,42.00,42.64,41.80,2.85M,-0.45%
Mar 17  2016,42.14,41.37,42.24,41.19,1.55M,1.86%
Mar 16  2016,41.37,41.53,41.87,41.21,1.05M,-0.12%
Mar 15  2016,41.42,41.18,41.71,41.08,1.20M,0.24%
Mar 14  2016,41.32,41.43,41.74,41.24,835.96K,-0.70%
Mar 11  2016,41.61,40.98,41.71,40.60,1.18M,2.49%
Mar 10  2016,40.60,41.34,41.47,40.38,1.39M,-0.98%
Mar 09  2016,41.00,41.31,41.42,40.95,1.18M,0.07%
Mar 08  2016,40.97,40.58,41.29,40.38,1.69M,1.01%
Mar 07  2016,40.56,40.45,40.97,40.24,1.23M,0.05%
Mar 04  2016,40.54,40.77,40.78,40.28,1.05M,-0.17%
Mar 03  2016,40.61,40.63,40.96,40.41,1.08M,0.10%
Mar 02  2016,40.57,41.03,41.47,40.15,1.41M,-1.29%
Mar 01  2016,41.10,40.60,41.30,40.40,1.34M,1.88%
Feb 29  2016,40.34,40.36,40.53,39.63,1.80M,-0.76%
Feb 26  2016,40.65,40.65,40.98,40.36,1.13M,0.79%
Feb 25  2016,40.33,39.68,40.33,39.56,1.30M,1.77%
Feb 24  2016,39.63,39.79,39.79,38.56,1.47M,-1.32%
Feb 23  2016,40.16,40.28,40.86,39.98,1.24M,-0.25%
Feb 22  2016,40.26,40.84,41.22,40.22,1.64M,-0.47%
Feb 19  2016,40.45,40.60,40.72,40.06,1.44M,-1.27%
Feb 18  2016,40.97,41.17,41.30,40.51,1.18M,-0.19%
Feb 17  2016,41.05,39.98,41.20,39.97,1.77M,3.66%
Feb 16  2016,39.60,39.48,39.67,38.82,1.46M,1.90%
Feb 12  2016,38.86,37.55,39.04,37.40,1.58M,4.35%
Feb 11  2016,37.24,38.03,38.16,36.64,2.28M,-1.82%
Feb 10  2016,37.93,38.15,38.57,37.85,1.37M,-0.03%
Feb 09  2016,37.94,38.09,38.25,37.30,1.76M,-1.38%
Feb 08  2016,38.47,38.80,38.90,38.11,1.06M,-2.11%
Feb 05  2016,39.30,39.72,39.72,39.15,921.53K,-0.05%
Feb 04  2016,39.32,38.59,39.42,38.38,1.23M,2.29%
Feb 03  2016,38.44,38.74,38.75,38.05,1.09M,-0.10%
Feb 02  2016,38.48,38.84,38.89,38.17,1.17M,-2.48%
Feb 01  2016,39.46,40.05,40.05,38.83,988.40K,-1.79%
Jan 29  2016,40.18,39.77,40.18,38.80,1.64M,1.64%
Jan 28  2016,39.53,39.33,39.74,38.78,1.20M,1.70%
Jan 27  2016,38.87,38.40,39.26,38.21,1.03M,1.36%
Jan 26  2016,38.35,38.32,38.80,38.14,802.02K,0.39%
Jan 25  2016,38.20,39.23,39.23,38.10,726.21K,-2.63%
Jan 22  2016,39.23,39.06,39.30,38.93,1.13M,2.51%
Jan 21  2016,38.27,37.92,38.63,37.90,1.38M,1.06%
Jan 20  2016,37.87,37.76,38.20,36.92,1.61M,-0.81%
Jan 19  2016,38.18,38.56,38.76,37.85,1.24M,0.21%
Jan 18  2016,38.10,38.24,38.65,37.64,832.65K,-0.91%
Jan 15  2016,38.45,38.49,38.87,38.11,2.47M,-3.54%
Jan 14  2016,39.86,39.31,39.99,38.70,1.07M,1.55%
Jan 13  2016,39.25,40.18,40.49,39.15,849.86K,-1.95%
Jan 12  2016,40.03,40.00,40.38,39.32,1.50M,0.60%
Jan 11  2016,39.79,40.47,40.48,39.28,930.79K,-0.70%
Jan 08  2016,40.07,40.16,40.66,40.02,1.23M,0.58%
Jan 07  2016,39.84,41.00,41.12,39.77,1.82M,-4.62%
Jan 06  2016,41.77,41.65,42.03,41.40,1.20M,-1.28%
Jan 05  2016,42.31,42.63,42.83,42.01,822.25K,-0.70%
Jan 04  2016,42.61,42.50,42.67,41.68,1.09M,-1.25%
Dec 31  2015,43.15,43.66,43.80,43.00,679.00K,-1.84%
Dec 30  2015,43.96,44.49,44.73,43.77,542.89K,-1.19%
