Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,37.14,36.11,37.18,35.78,3.09M,2.54%
Apr 18  2016,36.22,34.96,36.36,34.96,2.67M,0.84%
Apr 15  2016,35.92,36.22,36.46,35.81,2.48M,-2.68%
Apr 14  2016,36.91,37.02,37.12,36.62,4.24M,-0.38%
Apr 13  2016,37.05,37.05,37.29,36.70,2.21M,0.43%
Apr 12  2016,36.89,35.82,37.19,35.60,3.44M,3.71%
Apr 11  2016,35.57,35.90,36.32,35.57,1.77M,-0.70%
Apr 08  2016,35.82,36.00,36.01,35.64,2.46M,1.22%
Apr 07  2016,35.39,35.55,35.80,35.16,2.00M,-0.95%
Apr 06  2016,35.73,35.30,35.73,34.97,2.35M,1.88%
Apr 05  2016,35.07,35.11,35.41,34.98,2.37M,-0.74%
Apr 04  2016,35.33,36.11,36.13,35.19,2.34M,-1.94%
Apr 01  2016,36.03,35.50,36.12,35.42,2.58M,-0.39%
Mar 31  2016,36.17,35.30,36.23,35.30,2.96M,1.46%
Mar 30  2016,35.65,35.80,36.08,35.58,2.22M,0.39%
Mar 29  2016,35.51,35.30,35.65,34.99,3.10M,-0.81%
Mar 28  2016,35.80,35.88,35.89,35.20,1.69M,-0.17%
Mar 24  2016,35.86,34.98,35.95,34.86,3.93M,0.82%
Mar 23  2016,35.57,36.21,36.44,35.52,2.37M,-1.96%
Mar 22  2016,36.28,36.00,36.84,35.85,3.67M,-0.08%
Mar 21  2016,36.31,35.86,36.34,35.81,2.23M,0.86%
Mar 18  2016,36.00,36.49,36.72,35.86,7.60M,-1.53%
Mar 17  2016,36.56,36.44,36.70,36.02,3.06M,1.22%
Mar 16  2016,36.12,36.00,36.44,35.65,4.68M,1.01%
Mar 15  2016,35.76,34.45,35.76,34.42,3.83M,2.82%
Mar 14  2016,34.78,34.18,34.90,33.96,3.18M,0.46%
Mar 11  2016,34.62,34.51,34.85,34.30,4.01M,0.99%
Mar 10  2016,34.28,34.36,34.60,33.74,3.50M,-0.67%
Mar 09  2016,34.51,34.95,35.23,34.31,5.35M,0.55%
Mar 08  2016,34.32,34.45,34.51,33.89,3.50M,-0.75%
Mar 07  2016,34.58,33.69,34.97,33.65,4.06M,2.46%
Mar 04  2016,33.75,33.78,34.00,33.39,3.29M,1.02%
Mar 03  2016,33.41,33.41,33.79,33.15,4.71M,0.06%
Mar 02  2016,33.39,33.36,33.44,32.49,3.70M,-0.68%
Mar 01  2016,33.62,33.36,33.77,33.27,3.35M,1.63%
Feb 29  2016,33.08,33.22,33.82,32.93,7.51M,0.58%
Feb 26  2016,32.89,33.94,34.13,32.72,4.73M,-1.44%
Feb 25  2016,33.37,32.89,33.57,32.70,3.52M,1.06%
Feb 24  2016,33.02,32.00,33.24,31.95,4.24M,0.89%
Feb 23  2016,32.73,33.32,33.54,32.52,4.18M,-3.42%
Feb 22  2016,33.89,33.47,33.89,33.39,7.43M,3.13%
Feb 19  2016,32.86,32.25,33.04,32.16,3.06M,-0.42%
Feb 18  2016,33.00,33.37,33.45,32.56,4.57M,0.33%
Feb 17  2016,32.89,31.35,33.06,31.02,5.28M,6.06%
Feb 16  2016,31.01,31.29,31.35,30.22,4.17M,1.44%
Feb 12  2016,30.57,30.50,31.09,29.90,4.48M,3.87%
Feb 11  2016,29.43,28.88,29.58,28.40,5.58M,-0.37%
Feb 10  2016,29.54,29.95,30.34,29.43,4.12M,-1.37%
Feb 09  2016,29.95,30.87,30.87,29.63,4.99M,-4.53%
Feb 08  2016,31.37,31.50,31.95,30.86,3.19M,-1.60%
Feb 05  2016,31.88,31.91,32.06,31.28,2.89M,0.19%
Feb 04  2016,31.82,31.01,32.77,31.00,4.81M,0.86%
Feb 03  2016,31.55,31.75,31.78,30.60,3.55M,1.19%
Feb 02  2016,31.18,31.21,31.24,30.34,3.61M,-2.04%
Feb 01  2016,31.83,32.51,32.51,31.51,3.17M,-4.07%
Jan 29  2016,33.18,33.03,33.18,32.23,5.28M,1.07%
Jan 28  2016,32.83,32.50,32.94,31.93,4.37M,4.52%
Jan 27  2016,31.41,30.56,31.84,30.56,4.85M,1.32%
Jan 26  2016,31.00,30.18,31.23,30.13,4.57M,3.54%
Jan 25  2016,29.94,30.93,31.19,29.82,4.14M,-4.44%
Jan 22  2016,31.33,30.77,31.54,30.75,7.27M,5.28%
Jan 21  2016,29.76,28.37,30.16,28.22,5.34M,4.68%
Jan 20  2016,28.43,28.52,28.90,27.32,7.66M,-2.27%
Jan 19  2016,29.09,30.20,30.78,28.67,6.25M,-2.28%
Jan 18  2016,29.77,30.77,30.85,29.35,3.20M,-4.64%
Jan 15  2016,31.22,30.83,32.06,30.72,3.47M,-3.61%
Jan 14  2016,32.39,31.42,32.48,31.02,3.79M,3.38%
Jan 13  2016,31.33,32.75,32.76,31.21,3.11M,-3.36%
Jan 12  2016,32.42,32.22,32.42,31.40,3.13M,1.57%
Jan 11  2016,31.92,33.20,33.30,31.77,3.59M,-4.00%
Jan 08  2016,33.25,33.97,33.99,33.12,3.17M,-0.15%
Jan 07  2016,33.30,33.51,33.67,33.00,3.85M,-2.35%
Jan 06  2016,34.10,34.90,34.90,34.03,4.45M,-3.67%
Jan 05  2016,35.40,35.28,35.55,34.63,2.92M,0.34%
Jan 04  2016,35.28,35.42,35.90,34.89,2.98M,-1.23%
Dec 31  2015,35.72,35.35,35.94,35.35,1.85M,-0.17%
Dec 30  2015,35.78,36.26,36.64,35.63,1.59M,-1.87%
Dec 29  2015,36.46,37.04,37.28,36.34,1.60M,-1.17%
Dec 24  2015,36.89,37.14,37.30,36.75,783.59K,-0.81%
Dec 23  2015,37.19,36.24,37.20,36.24,3.07M,3.42%
Dec 22  2015,35.96,35.80,35.97,35.30,2.25M,0.33%
Dec 21  2015,35.84,36.25,36.66,35.65,2.30M,-0.42%
Dec 18  2015,35.99,35.15,36.24,35.11,7.62M,1.55%
Dec 17  2015,35.44,35.21,35.60,34.91,2.96M,0.57%
Dec 16  2015,35.24,35.13,35.49,34.73,3.18M,0.31%
Dec 15  2015,35.13,34.82,35.32,34.82,3.11M,1.68%
Dec 14  2015,34.55,34.97,35.03,34.30,5.01M,-1.90%
Dec 11  2015,35.22,35.30,35.38,34.73,2.86M,-1.26%
Dec 10  2015,35.67,35.01,36.23,34.88,2.81M,0.82%
Dec 09  2015,35.38,35.12,36.22,34.96,3.42M,1.23%
Dec 08  2015,34.95,34.27,35.40,34.03,3.56M,0.52%
Dec 07  2015,34.77,35.52,35.55,34.51,3.48M,-3.50%
Dec 04  2015,36.03,36.30,36.40,35.62,2.95M,-1.96%
Dec 03  2015,36.75,37.05,37.20,36.50,1.90M,-0.05%
Dec 02  2015,36.77,37.60,37.60,36.62,2.75M,-2.70%
Dec 01  2015,37.79,37.02,37.80,36.94,3.03M,2.41%
Nov 30  2015,36.90,36.22,36.92,36.22,3.39M,1.71%
Nov 27  2015,36.28,36.43,36.67,36.28,2.04M,-0.38%
Nov 26  2015,36.42,36.73,36.95,36.42,855.75K,-0.49%
Nov 25  2015,36.60,36.91,37.16,36.45,2.89M,-1.08%
Nov 24  2015,37.00,36.96,37.29,36.83,3.43M,0.90%
Nov 23  2015,36.67,36.71,37.09,36.47,2.07M,0.19%
Nov 20  2015,36.60,37.23,37.25,36.58,2.93M,-1.37%
Nov 19  2015,37.11,37.25,37.64,36.95,2.98M,-0.99%
Nov 18  2015,37.48,37.81,38.02,36.58,6.67M,-2.83%
Nov 17  2015,38.57,38.20,38.81,37.98,2.48M,0.65%
Nov 16  2015,38.32,37.05,38.32,36.95,2.52M,3.76%
Nov 13  2015,36.93,37.00,37.73,36.91,3.43M,-0.97%
Nov 12  2015,37.29,37.65,38.33,37.29,3.34M,-2.36%
Nov 11  2015,38.19,38.92,39.12,38.09,2.96M,-2.35%
Nov 10  2015,39.11,38.84,39.34,38.51,2.97M,0.36%
Nov 09  2015,38.97,39.45,39.81,38.76,1.93M,-1.27%
Nov 06  2015,39.47,38.91,39.49,38.77,1.96M,0.36%
Nov 05  2015,39.33,39.65,40.35,39.20,3.38M,-1.23%
Nov 04  2015,39.82,39.38,40.04,39.24,4.17M,0.84%
Nov 03  2015,39.49,39.25,40.07,39.25,3.89M,0.82%
Nov 02  2015,39.17,38.82,39.24,38.52,3.20M,0.67%
Oct 30  2015,38.91,38.92,39.17,38.63,4.77M,0.26%
Oct 29  2015,38.81,37.61,38.97,37.45,4.65M,3.41%
Oct 28  2015,37.53,36.86,37.69,36.47,3.44M,2.23%
Oct 27  2015,36.71,36.67,36.85,36.26,2.86M,-0.92%
Oct 26  2015,37.05,37.40,37.55,36.91,2.43M,-1.20%
Oct 23  2015,37.50,37.99,38.02,37.16,3.62M,-1.60%
Oct 22  2015,38.11,37.13,38.19,37.13,4.48M,2.94%
Oct 21  2015,37.02,36.65,37.09,36.41,2.97M,0.49%
Oct 20  2015,36.84,36.42,37.07,36.31,1.89M,1.32%
Oct 19  2015,36.36,36.48,36.72,36.06,2.29M,-1.36%
Oct 16  2015,36.86,37.00,37.10,36.75,2.63M,0.30%
Oct 15  2015,36.75,36.91,37.05,36.40,2.86M,-0.70%
Oct 14  2015,37.01,36.35,37.13,36.35,2.86M,1.40%
Oct 13  2015,36.50,36.35,37.01,36.15,2.90M,-0.46%
Oct 09  2015,36.67,37.30,37.31,36.62,3.13M,-1.32%
Oct 08  2015,37.16,35.57,37.39,35.49,4.59M,4.82%
Oct 07  2015,35.45,35.49,35.74,35.08,7.41M,1.66%
Oct 06  2015,34.87,34.79,35.17,34.53,6.34M,0.78%
Oct 05  2015,34.60,34.76,35.03,34.40,8.86M,-2.18%
Oct 02  2015,35.37,35.03,35.53,34.80,3.77M,0.34%
Oct 01  2015,35.25,36.09,36.59,35.09,4.87M,-1.23%
Sep 30  2015,35.69,35.68,36.04,34.79,4.34M,0.54%
Sep 29  2015,35.50,34.62,35.66,34.52,3.34M,2.60%
Sep 28  2015,34.60,34.84,35.01,34.55,2.99M,-1.34%
Sep 25  2015,35.07,34.88,35.19,34.60,4.31M,1.71%
Sep 24  2015,34.48,34.05,34.83,33.95,3.29M,1.17%
Sep 23  2015,34.08,34.69,34.85,34.08,3.44M,-1.36%
Sep 22  2015,34.55,34.23,34.79,34.05,2.33M,-0.72%
Sep 21  2015,34.80,34.42,34.96,34.24,2.76M,2.20%
Sep 18  2015,34.05,34.33,34.45,34.04,11.72M,-3.07%
Sep 17  2015,35.13,34.80,35.59,34.33,3.45M,0.92%
Sep 16  2015,34.81,33.69,34.86,33.59,5.43M,4.16%
Sep 15  2015,33.42,33.54,34.08,33.16,3.35M,-0.51%
Sep 14  2015,33.59,34.01,34.02,33.51,2.17M,-1.44%
Sep 11  2015,34.08,34.50,34.64,33.98,2.10M,-2.71%
Sep 10  2015,35.03,34.52,35.34,34.52,2.40M,0.75%
