Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,10.48,10.32,10.50,10.30,282.08K,1.75%
Apr 18  2016,10.30,10.02,10.32,10.00,213.60K,2.18%
Apr 15  2016,10.08,10.08,10.09,9.90,192.43K,-0.10%
Apr 14  2016,10.09,9.85,10.12,9.84,476.41K,2.44%
Apr 13  2016,9.85,9.35,9.85,9.35,611.92K,5.57%
Apr 12  2016,9.33,9.16,9.35,9.13,323.30K,1.97%
Apr 11  2016,9.15,9.05,9.21,9.00,367.65K,0.99%
Apr 08  2016,9.06,9.17,9.21,9.06,327.22K,0.00%
Apr 07  2016,9.06,8.89,9.08,8.89,305.82K,1.68%
Apr 06  2016,8.91,8.89,8.96,8.78,237.90K,0.91%
Apr 05  2016,8.83,9.01,9.01,8.82,428.08K,-2.65%
Apr 04  2016,9.07,9.24,9.24,9.04,296.18K,-1.63%
Apr 01  2016,9.22,9.16,9.26,9.11,400.02K,-0.22%
Mar 31  2016,9.24,9.11,9.34,9.08,749.54K,1.99%
Mar 30  2016,9.06,9.23,9.26,9.05,576.15K,-1.84%
Mar 29  2016,9.23,8.98,9.26,8.89,501.64K,1.99%
Mar 28  2016,9.05,9.14,9.14,8.95,343.16K,-0.98%
Mar 24  2016,9.14,9.18,9.27,9.06,502.11K,-1.08%
Mar 23  2016,9.24,9.30,9.37,9.19,544.70K,-2.12%
Mar 22  2016,9.44,9.45,9.48,9.33,677.37K,-0.21%
Mar 21  2016,9.46,9.58,9.62,9.46,357.13K,-1.05%
Mar 18  2016,9.56,9.66,9.80,9.50,921.75K,0.42%
Mar 17  2016,9.52,9.39,9.58,9.31,655.12K,1.93%
Mar 16  2016,9.34,9.22,9.40,9.20,463.64K,1.30%
Mar 15  2016,9.22,9.25,9.43,9.20,272.81K,-0.65%
Mar 14  2016,9.28,9.22,9.34,9.14,423.93K,0.65%
Mar 11  2016,9.22,9.34,9.41,9.21,387.00K,0.00%
Mar 10  2016,9.22,9.32,9.35,9.04,316.00K,-0.75%
Mar 09  2016,9.29,9.40,9.46,9.27,294.19K,-0.43%
Mar 08  2016,9.33,9.35,9.44,9.20,299.07K,-0.21%
Mar 07  2016,9.35,9.43,9.50,9.30,325.77K,0.11%
Mar 04  2016,9.34,9.09,9.50,9.09,502.70K,3.55%
Mar 03  2016,9.02,9.21,9.28,9.01,246.03K,-2.17%
Mar 02  2016,9.22,9.05,9.25,8.95,438.48K,1.88%
Mar 01  2016,9.05,8.82,9.18,8.79,824.02K,4.38%
Feb 29  2016,8.67,8.59,8.73,8.50,581.20K,1.05%
Feb 26  2016,8.58,8.57,8.75,8.53,266.99K,0.70%
Feb 25  2016,8.52,8.65,8.69,8.42,606.25K,-2.07%
Feb 24  2016,8.70,8.88,8.88,8.62,409.46K,-2.03%
Feb 23  2016,8.88,9.07,9.09,8.87,426.53K,-2.52%
Feb 22  2016,9.11,9.15,9.30,9.03,739.15K,0.55%
Feb 19  2016,9.06,9.39,9.39,8.83,1.77M,-6.31%
Feb 18  2016,9.67,9.97,9.98,9.64,562.80K,-1.43%
Feb 17  2016,9.81,9.65,9.88,9.60,321.14K,2.29%
Feb 16  2016,9.59,9.57,9.60,9.34,271.99K,1.80%
Feb 12  2016,9.42,9.48,9.52,9.32,205.74K,1.29%
Feb 11  2016,9.30,9.32,9.33,9.16,325.95K,-0.85%
Feb 10  2016,9.38,9.57,9.63,9.35,293.08K,-0.95%
Feb 09  2016,9.47,9.90,9.92,9.33,560.26K,-4.34%
Feb 08  2016,9.90,10.06,10.09,9.87,328.77K,-2.46%
Feb 05  2016,10.15,10.23,10.30,10.13,266.73K,-0.78%
Feb 04  2016,10.23,10.15,10.23,10.12,331.45K,0.49%
Feb 03  2016,10.18,10.08,10.23,9.92,247.43K,2.11%
Feb 02  2016,9.97,10.07,10.12,9.83,429.30K,-2.16%
Feb 01  2016,10.19,10.37,10.38,10.13,289.54K,-2.30%
Jan 29  2016,10.43,10.40,10.58,10.36,471.25K,0.29%
Jan 28  2016,10.40,10.22,10.40,10.19,300.68K,2.36%
Jan 27  2016,10.16,10.00,10.22,9.94,394.28K,0.99%
Jan 26  2016,10.06,9.90,10.09,9.86,307.83K,2.34%
Jan 25  2016,9.83,10.28,10.28,9.78,320.99K,-4.00%
Jan 22  2016,10.24,10.17,10.30,10.07,345.38K,3.12%
Jan 21  2016,9.93,9.75,10.07,9.66,454.57K,2.16%
Jan 20  2016,9.72,9.26,9.77,9.20,500.52K,2.97%
Jan 19  2016,9.44,9.62,9.73,9.35,728.29K,0.00%
Jan 18  2016,9.44,9.79,9.83,9.41,174.51K,-3.87%
Jan 15  2016,9.82,9.99,9.99,9.71,331.21K,-2.77%
Jan 14  2016,10.10,9.90,10.20,9.72,643.91K,1.81%
Jan 13  2016,9.92,10.31,10.44,9.88,365.28K,-2.94%
Jan 12  2016,10.22,10.19,10.37,10.00,333.82K,0.79%
Jan 11  2016,10.14,10.22,10.39,10.08,262.35K,-0.98%
Jan 08  2016,10.24,10.21,10.37,10.16,267.61K,1.09%
Jan 07  2016,10.13,10.46,10.53,10.08,435.52K,-4.61%
Jan 06  2016,10.62,10.62,10.80,10.55,205.62K,-1.12%
Jan 05  2016,10.74,10.83,10.99,10.67,351.44K,-1.01%
Jan 04  2016,10.85,10.61,10.87,10.47,338.47K,0.84%
Dec 31  2015,10.76,11.02,11.02,10.71,275.10K,-2.71%
Dec 30  2015,11.06,11.02,11.13,11.00,112.16K,0.64%
Dec 29  2015,10.99,11.14,11.14,10.87,308.58K,-1.17%
Dec 24  2015,11.12,10.73,11.14,10.70,275.76K,3.93%
Dec 23  2015,10.70,10.60,10.75,10.59,303.25K,1.23%
Dec 22  2015,10.57,10.50,10.61,10.46,190.57K,0.67%
Dec 21  2015,10.50,10.55,10.60,10.42,342.20K,-0.38%
Dec 18  2015,10.54,10.34,10.63,10.32,2.32M,1.64%
Dec 17  2015,10.37,10.19,10.44,10.18,617.38K,1.17%
Dec 16  2015,10.25,9.76,10.28,9.64,1.70M,4.81%
Dec 15  2015,9.78,9.60,9.86,9.59,209.75K,2.19%
