Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,2.390,2.260,2.390,2.220,3.56M,9.63%
Apr 18  2016,2.180,2.090,2.250,2.080,1.57M,-0.91%
Apr 15  2016,2.200,2.220,2.235,2.170,1.61M,-3.08%
Apr 14  2016,2.270,2.360,2.370,2.250,5.23M,-3.81%
Apr 13  2016,2.360,2.280,2.380,2.250,4.25M,3.51%
Apr 12  2016,2.280,2.220,2.300,2.170,4.73M,4.11%
Apr 11  2016,2.190,2.230,2.230,2.150,2.91M,2.34%
Apr 08  2016,2.140,2.220,2.260,2.120,7.19M,0.94%
Apr 07  2016,2.120,2.160,2.180,2.060,2.65M,-3.64%
Apr 06  2016,2.200,2.040,2.200,1.980,7.61M,13.40%
Apr 05  2016,1.940,1.960,2.020,1.920,1.79M,-1.52%
Apr 04  2016,1.970,2.050,2.070,1.960,1.93M,-4.37%
Apr 01  2016,2.060,2.040,2.085,2.010,1.79M,0.00%
Mar 31  2016,2.060,2.110,2.160,2.060,3.13M,-2.37%
Mar 30  2016,2.110,2.210,2.250,2.100,1.78M,-0.94%
Mar 29  2016,2.130,2.050,2.160,2.020,1.58M,0.47%
Mar 28  2016,2.120,2.260,2.260,2.100,3.15M,-5.78%
Mar 24  2016,2.250,2.110,2.250,2.070,1.62M,3.21%
Mar 23  2016,2.180,2.330,2.330,2.140,2.42M,-7.23%
Mar 22  2016,2.350,2.400,2.410,2.340,1.26M,-2.49%
Mar 21  2016,2.410,2.350,2.410,2.330,1.56M,1.69%
Mar 18  2016,2.370,2.450,2.480,2.320,4.57M,-1.25%
Mar 17  2016,2.400,2.480,2.480,2.310,6.37M,-4.38%
Mar 16  2016,2.510,2.480,2.540,2.460,2.63M,3.29%
Mar 15  2016,2.430,2.530,2.540,2.410,1.93M,-5.08%
Mar 14  2016,2.560,2.500,2.620,2.490,1.18M,-1.16%
Mar 11  2016,2.590,2.650,2.680,2.570,1.65M,-0.77%
Mar 10  2016,2.610,2.600,2.640,2.490,1.99M,0.00%
Mar 09  2016,2.610,2.660,2.680,2.590,2.28M,0.77%
Mar 08  2016,2.590,2.640,2.650,2.530,4.45M,-3.72%
Mar 07  2016,2.690,2.730,2.790,2.650,3.51M,1.51%
Mar 04  2016,2.650,2.650,2.690,2.580,3.44M,2.71%
Mar 03  2016,2.580,2.470,2.620,2.420,4.11M,4.88%
Mar 02  2016,2.460,2.270,2.470,2.240,4.76M,6.49%
Mar 01  2016,2.310,2.170,2.330,2.100,5.20M,7.94%
Feb 29  2016,2.140,2.090,2.140,2.070,3.99M,4.90%
Feb 26  2016,2.040,2.100,2.130,2.010,1.75M,0.49%
Feb 25  2016,2.030,2.060,2.090,1.980,4.65M,-3.33%
Feb 24  2016,2.100,1.990,2.100,1.960,2.46M,0.96%
Feb 23  2016,2.080,2.120,2.150,2.030,2.33M,-2.80%
Feb 22  2016,2.140,2.120,2.150,2.080,3.09M,7.00%
