Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,40.25,40.76,40.76,40.18,1.68M,-1.15%
Apr 18  2016,40.72,40.34,40.82,40.33,3.36M,0.87%
Apr 15  2016,40.37,40.82,40.98,40.25,1.12M,-1.13%
Apr 14  2016,40.83,40.80,41.12,40.55,840.96K,0.29%
Apr 13  2016,40.71,41.33,41.48,40.65,1.26M,-0.61%
Apr 12  2016,40.96,41.16,41.37,40.95,1.08M,-0.51%
Apr 11  2016,41.17,41.35,41.68,41.15,1.99M,-0.46%
Apr 08  2016,41.36,41.47,41.80,41.25,1.90M,-0.55%
Apr 07  2016,41.59,41.62,41.63,41.15,1.85M,-0.88%
Apr 06  2016,41.96,41.97,42.20,41.66,847.24K,-0.21%
Apr 05  2016,42.05,41.86,42.33,41.84,938.76K,-0.05%
Apr 04  2016,42.07,42.09,42.33,41.92,891.56K,-0.14%
Apr 01  2016,42.13,42.16,42.38,42.08,983.21K,-0.35%
Mar 31  2016,42.28,42.45,42.50,42.17,1.11M,-0.49%
Mar 30  2016,42.49,42.12,42.59,42.06,672.70K,0.88%
Mar 29  2016,42.12,42.00,42.22,41.74,769.23K,0.29%
Mar 28  2016,42.00,41.49,42.05,41.40,740.20K,0.84%
Mar 24  2016,41.65,41.31,41.67,41.12,716.89K,0.22%
Mar 23  2016,41.56,41.14,41.59,41.08,1.31M,0.14%
Mar 22  2016,41.50,41.37,41.63,41.31,758.12K,-0.38%
Mar 21  2016,41.66,40.81,41.69,40.81,674.40K,1.51%
Mar 18  2016,41.04,41.37,41.47,40.82,4.27M,-1.30%
Mar 17  2016,41.58,40.98,41.64,40.89,1.16M,1.74%
Mar 16  2016,40.87,41.04,41.32,40.75,1.42M,-0.70%
Mar 15  2016,41.16,40.81,41.25,40.73,1.07M,0.86%
Mar 14  2016,40.81,40.63,40.89,40.36,1.17M,-0.07%
Mar 11  2016,40.84,40.50,40.89,40.44,1.11M,1.04%
Mar 10  2016,40.42,40.30,40.55,40.27,1.37M,0.15%
Mar 09  2016,40.36,39.92,40.37,39.70,1.55M,0.52%
Mar 08  2016,40.15,39.52,40.18,39.46,1.52M,1.75%
Mar 07  2016,39.46,39.10,39.86,39.02,1.53M,0.69%
Mar 04  2016,39.19,39.29,39.38,38.88,1.17M,-0.03%
Mar 03  2016,39.20,39.06,39.35,38.90,1.05M,0.18%
Mar 02  2016,39.13,39.70,39.70,39.04,1.36M,-1.34%
Mar 01  2016,39.66,39.31,39.68,39.00,1.65M,0.63%
Feb 29  2016,39.41,39.08,39.48,38.83,1.17M,0.64%
Feb 26  2016,39.16,39.60,39.67,39.13,950.73K,-0.71%
Feb 25  2016,39.44,39.77,40.08,39.35,1.57M,-1.50%
Feb 24  2016,40.04,39.43,40.05,39.21,1.43M,0.70%
Feb 23  2016,39.76,39.52,39.93,39.52,2.90M,0.45%
Feb 22  2016,39.58,39.91,39.99,39.51,1.58M,0.48%
Feb 19  2016,39.39,39.28,39.85,39.12,1.42M,0.43%
Feb 18  2016,39.22,38.44,39.30,38.44,1.91M,2.03%
Feb 17  2016,38.44,38.94,38.94,38.08,2.56M,-0.93%
Feb 16  2016,38.80,39.42,39.50,38.54,2.06M,-1.65%
Feb 12  2016,39.45,39.49,39.62,38.59,2.32M,-0.60%
Feb 11  2016,39.69,38.89,39.75,38.30,2.44M,-0.38%
Feb 10  2016,39.84,39.55,40.20,39.55,1.29M,0.43%
Feb 09  2016,39.67,39.78,40.18,39.34,1.80M,-1.22%
Feb 08  2016,40.16,40.07,40.56,39.93,1.29M,-0.72%
Feb 05  2016,40.45,40.00,40.48,39.91,1.08M,1.07%
Feb 04  2016,40.02,39.73,40.22,39.56,1.35M,0.78%
Feb 03  2016,39.71,39.20,39.80,39.20,1.50M,1.25%
Feb 02  2016,39.22,38.65,39.24,38.50,1.71M,0.67%
Feb 01  2016,38.96,38.90,39.30,38.55,1.29M,-0.03%
Jan 29  2016,38.97,38.79,39.44,38.63,2.20M,0.93%
Jan 28  2016,38.61,37.62,38.75,37.38,1.80M,3.57%
Jan 27  2016,37.28,37.11,37.96,36.95,2.21M,-0.96%
Jan 26  2016,37.64,37.18,37.98,37.06,3.38M,1.84%
Jan 25  2016,36.96,37.51,37.51,36.92,1.16M,-1.52%
Jan 22  2016,37.53,37.22,37.64,36.95,1.52M,2.01%
Jan 21  2016,36.79,36.21,36.93,36.06,1.81M,1.18%
Jan 20  2016,36.36,36.50,36.58,35.51,1.62M,-1.22%
Jan 19  2016,36.81,36.55,37.48,36.55,1.22M,1.27%
Jan 18  2016,36.35,36.00,36.75,36.00,740.47K,0.00%
Jan 15  2016,36.35,36.75,36.80,36.30,1.94M,-2.36%
Jan 14  2016,37.23,37.11,37.38,36.93,1.22M,0.35%
Jan 13  2016,37.10,37.88,37.88,37.06,1.07M,-1.85%
Jan 12  2016,37.80,37.40,37.95,37.26,1.23M,1.07%
Jan 11  2016,37.40,37.46,37.76,37.35,958.63K,-0.05%
Jan 08  2016,37.42,37.76,37.76,37.30,915.71K,-0.80%
Jan 07  2016,37.72,37.30,37.85,37.16,1.73M,0.05%
Jan 06  2016,37.70,37.95,38.11,37.62,1.52M,-1.18%
Jan 05  2016,38.15,37.89,38.37,37.61,1.59M,0.45%
Jan 04  2016,37.98,37.94,38.23,37.44,1.64M,-0.73%
Dec 31  2015,38.26,38.81,38.82,38.14,812.73K,-1.67%
Dec 30  2015,38.91,39.23,39.26,38.87,470.93K,-0.69%
Dec 29  2015,39.18,39.01,39.37,39.00,625.79K,0.28%
Dec 24  2015,39.07,39.00,39.24,38.97,402.16K,0.31%
Dec 23  2015,38.95,38.90,39.17,38.80,727.19K,0.72%
Dec 22  2015,38.67,38.62,38.89,38.25,968.72K,0.57%
Dec 21  2015,38.45,38.74,38.75,38.28,1.13M,0.05%
Dec 18  2015,38.43,37.54,38.67,37.52,4.05M,1.34%
Dec 17  2015,37.92,38.77,38.86,36.74,11.00M,-6.65%
Dec 16  2015,40.62,39.91,40.80,39.81,1.50M,1.91%
Dec 15  2015,39.86,40.00,40.00,39.55,1.84M,0.10%
Dec 14  2015,39.82,39.16,39.91,39.02,2.13M,1.87%
Dec 11  2015,39.09,39.75,39.80,38.94,1.99M,-1.96%
Dec 10  2015,39.87,39.79,40.19,39.67,1.94M,0.50%
Dec 09  2015,39.67,40.31,40.50,39.56,2.16M,-2.70%
Dec 08  2015,40.77,41.27,41.39,40.53,1.65M,-1.50%
Dec 07  2015,41.39,41.78,41.94,41.20,1.47M,-1.22%
Dec 04  2015,41.90,41.76,42.00,41.52,1.27M,0.12%
Dec 03  2015,41.85,42.29,42.30,41.66,1.21M,-0.83%
Dec 02  2015,42.20,42.53,42.62,42.14,1.52M,-0.61%
Dec 01  2015,42.46,42.55,42.82,42.35,1.25M,0.05%
Nov 30  2015,42.44,42.09,42.65,42.00,1.87M,1.12%
Nov 27  2015,41.97,41.92,42.08,41.82,485.95K,0.43%
Nov 26  2015,41.79,41.54,42.10,41.53,482.16K,0.80%
Nov 25  2015,41.46,41.49,41.62,41.33,850.32K,0.31%
Nov 24  2015,41.33,41.25,41.80,41.12,1.42M,-0.14%
Nov 23  2015,41.39,41.79,41.86,41.33,695.89K,-0.91%
Nov 20  2015,41.77,42.00,42.00,41.65,913.57K,-0.19%
Nov 19  2015,41.85,41.58,41.93,41.51,760.76K,0.75%
Nov 18  2015,41.54,41.24,41.62,41.01,1.28M,0.92%
Nov 17  2015,41.16,41.12,41.35,40.91,894.86K,0.19%
Nov 16  2015,41.08,40.34,41.19,40.15,1.19M,2.32%
Nov 13  2015,40.15,40.71,40.86,40.09,1.51M,-1.54%
Nov 12  2015,40.78,41.17,41.18,40.68,1.51M,-1.02%
Nov 11  2015,41.20,41.15,41.51,40.83,1.52M,0.44%
Nov 10  2015,41.02,41.18,41.28,40.81,1.01M,-0.53%
Nov 09  2015,41.24,41.64,41.64,41.03,1.28M,-0.65%
Nov 06  2015,41.51,42.13,42.13,41.31,1.67M,-0.95%
Nov 05  2015,41.91,42.90,43.12,41.82,3.18M,-4.12%
Nov 04  2015,43.71,43.65,44.01,43.56,879.82K,0.21%
Nov 03  2015,43.62,43.47,43.74,43.05,812.93K,0.14%
Nov 02  2015,43.56,43.76,43.80,43.25,855.96K,-0.18%
Oct 30  2015,43.64,44.01,44.36,43.35,1.29M,-0.98%
Oct 29  2015,44.07,44.05,44.19,43.77,856.92K,-0.27%
Oct 28  2015,44.19,44.19,44.33,43.89,915.99K,0.23%
Oct 27  2015,44.09,44.12,44.40,43.99,910.01K,-0.23%
Oct 26  2015,44.19,44.43,44.48,43.96,804.99K,-0.05%
Oct 23  2015,44.21,44.50,44.51,44.07,952.09K,-0.11%
Oct 22  2015,44.26,43.65,44.35,43.65,994.74K,1.82%
Oct 21  2015,43.47,43.08,43.68,43.04,1.22M,1.28%
Oct 20  2015,42.92,42.34,43.04,42.28,848.74K,1.47%
Oct 19  2015,42.30,42.20,42.52,42.16,986.29K,0.24%
Oct 16  2015,42.20,42.41,42.53,42.07,1.21M,-0.40%
Oct 15  2015,42.37,42.31,42.75,42.27,1.87M,0.28%
Oct 14  2015,42.25,42.61,43.03,42.20,1.36M,-1.29%
Oct 13  2015,42.80,42.73,43.19,42.53,1.23M,0.56%
Oct 09  2015,42.56,42.70,42.96,42.39,1.33M,-0.37%
Oct 08  2015,42.72,42.30,42.74,42.07,870.68K,1.14%
Oct 07  2015,42.24,42.02,42.29,41.52,1.95M,0.98%
Oct 06  2015,41.83,42.62,42.72,41.64,1.77M,-1.85%
Oct 05  2015,42.62,42.70,42.90,42.56,1.16M,0.35%
Oct 02  2015,42.47,41.52,42.48,41.31,1.56M,2.17%
Oct 01  2015,41.57,42.18,42.19,41.47,1.51M,-1.14%
Sep 30  2015,42.05,42.79,42.84,42.02,1.01M,-0.99%
Sep 29  2015,42.47,42.60,42.90,42.47,859.68K,-0.31%
Sep 28  2015,42.60,42.71,43.17,42.57,1.28M,-0.21%
Sep 25  2015,42.69,42.92,42.95,42.48,801.00K,0.57%
Sep 24  2015,42.45,42.30,42.70,42.15,817.46K,-0.07%
Sep 23  2015,42.48,42.77,42.90,42.28,650.52K,-0.49%
Sep 22  2015,42.69,42.65,43.02,42.47,740.92K,-0.91%
Sep 21  2015,43.08,42.63,43.09,42.54,2.48M,1.08%
Sep 18  2015,42.62,41.70,42.62,41.61,5.24M,1.14%
Sep 17  2015,42.14,42.17,42.32,41.77,631.74K,-0.09%
Sep 16  2015,42.18,41.95,42.30,41.74,1.40M,0.96%
Sep 15  2015,41.78,41.45,41.85,41.09,1.12M,0.84%
Sep 14  2015,41.43,41.97,42.04,41.41,777.09K,-1.12%
Sep 11  2015,41.90,42.23,42.45,41.81,707.36K,-1.09%
Sep 10  2015,42.36,42.26,42.89,42.23,621.93K,-0.19%
Sep 09  2015,42.44,42.51,42.96,42.33,750.80K,-0.14%
Sep 08  2015,42.50,42.66,42.98,42.34,1.19M,-1.00%
Sep 04  2015,42.93,42.71,43.39,42.64,614.91K,-0.53%
Sep 03  2015,43.16,42.55,43.28,42.46,777.59K,1.77%
Sep 02  2015,42.41,42.32,42.72,42.24,767.64K,0.86%
Sep 01  2015,42.05,42.49,42.53,41.76,1.38M,-2.30%
Aug 31  2015,43.04,42.88,43.22,42.72,1.25M,-0.37%
Aug 28  2015,43.20,43.21,43.51,42.73,540.86K,-0.28%
Aug 27  2015,43.32,43.04,43.57,42.68,1.16M,1.19%
Aug 26  2015,42.81,42.40,42.98,41.80,950.71K,2.17%
Aug 25  2015,41.90,43.05,43.43,41.71,1.39M,-1.60%
Aug 24  2015,42.58,42.05,43.54,42.00,1.76M,-3.27%
Aug 21  2015,44.02,43.45,44.50,43.45,1.44M,0.07%
Aug 20  2015,43.99,44.32,44.36,43.87,836.34K,-1.30%
Aug 19  2015,44.57,44.60,44.90,44.37,812.26K,-0.40%
Aug 18  2015,44.75,44.50,44.75,44.30,773.75K,0.67%
Aug 17  2015,44.45,44.32,44.54,44.23,829.55K,-0.09%
Aug 14  2015,44.49,44.44,44.69,44.25,1.12M,0.00%
Aug 13  2015,44.49,44.11,44.67,44.03,1.32M,0.88%
Aug 12  2015,44.10,43.51,44.14,43.30,1.49M,0.68%
Aug 11  2015,43.80,43.75,44.01,43.30,1.24M,-0.27%
Aug 10  2015,43.92,44.22,44.50,43.82,1.21M,-1.46%
Aug 07  2015,44.57,44.67,45.10,44.50,721.95K,-0.54%
Aug 06  2015,44.81,44.36,45.19,44.36,1.11M,0.65%
Aug 05  2015,44.52,44.15,44.59,44.00,774.22K,0.84%
Aug 04  2015,44.15,44.56,44.93,43.85,961.46K,-1.12%
Jul 31  2015,44.65,44.57,45.00,44.42,912.33K,0.22%
Jul 30  2015,44.55,44.19,44.64,44.00,543.18K,0.75%
Jul 29  2015,44.22,44.04,44.70,43.88,822.26K,0.07%
Jul 28  2015,44.19,44.00,44.30,43.58,776.57K,0.52%
Jul 27  2015,43.96,43.93,44.37,43.82,647.90K,-0.48%
Jul 24  2015,44.17,43.49,44.32,43.49,852.58K,0.78%
Jul 23  2015,43.83,43.22,44.08,43.19,1.13M,0.34%
Jul 22  2015,43.68,43.90,44.12,43.43,552.81K,-0.77%
Jul 21  2015,44.02,44.87,44.97,43.87,971.81K,-1.89%
Jul 20  2015,44.87,44.95,45.02,44.66,468.94K,-0.29%
Jul 17  2015,45.00,44.93,45.10,44.82,490.32K,0.07%
Jul 16  2015,44.97,44.90,45.00,44.78,489.73K,0.45%
Jul 15  2015,44.77,44.47,44.83,44.13,852.79K,0.95%
Jul 14  2015,44.35,44.15,44.48,43.73,599.78K,0.41%
Jul 13  2015,44.17,44.10,44.48,44.07,670.60K,0.43%
Jul 10  2015,43.98,43.69,44.09,43.67,927.17K,1.10%
Jul 09  2015,43.50,43.59,43.95,43.41,1.51M,-0.39%
Jul 08  2015,43.67,43.77,44.15,43.59,1.53M,-0.70%
Jul 07  2015,43.98,43.83,43.98,43.64,1.07M,0.55%
Jul 06  2015,43.74,43.51,43.91,43.50,1.67M,-0.23%
Jul 03  2015,43.84,43.50,43.96,43.50,360.40K,0.50%
Jul 02  2015,43.62,43.00,43.74,42.98,3.73M,1.37%
Jun 30  2015,43.03,42.46,43.23,42.38,2.32M,1.37%
Jun 29  2015,42.45,42.48,42.88,42.42,1.78M,-1.39%
Jun 26  2015,43.05,42.97,43.18,42.77,2.20M,0.19%
Jun 25  2015,42.97,42.74,43.15,42.58,1.59M,0.26%
Jun 24  2015,42.86,42.19,43.03,42.16,1.67M,1.35%
Jun 23  2015,42.29,42.51,42.90,42.24,1.02M,-0.75%
Jun 22  2015,42.61,41.81,42.70,41.59,1.57M,1.02%
Jun 19  2015,42.18,40.75,42.18,40.75,5.42M,2.28%
Jun 18  2015,41.24,40.72,41.26,40.64,857.96K,1.15%
Jun 17  2015,40.77,41.18,41.35,40.69,818.87K,-0.92%
Jun 16  2015,41.15,40.77,41.30,40.75,723.31K,0.17%
Jun 15  2015,41.08,40.84,41.18,40.66,625.05K,0.51%
Jun 12  2015,40.87,41.05,41.32,40.82,871.49K,-0.56%
Jun 11  2015,41.10,41.45,41.56,40.99,1.22M,-0.53%
Jun 10  2015,41.32,41.45,41.59,41.25,706.16K,-0.58%
Jun 09  2015,41.56,41.40,41.61,40.97,1.01M,-0.05%
Jun 08  2015,41.58,41.88,42.01,41.50,961.24K,-1.66%
Jun 05  2015,42.28,42.50,42.60,42.17,733.06K,-0.77%
Jun 04  2015,42.61,42.43,42.84,42.42,579.76K,-0.12%
Jun 03  2015,42.66,42.51,42.78,42.40,700.36K,0.45%
Jun 02  2015,42.47,42.48,42.65,42.40,571.71K,-0.21%
Jun 01  2015,42.56,42.38,42.67,42.24,547.89K,0.52%
May 29  2015,42.34,42.45,42.60,42.00,1.08M,-0.47%
May 28  2015,42.54,42.35,42.73,42.31,1.02M,0.19%
May 27  2015,42.46,42.44,42.79,42.16,938.76K,0.26%
May 26  2015,42.35,42.49,42.56,42.16,719.19K,0.12%
May 25  2015,42.30,42.25,42.47,42.25,268.75K,0.50%
