Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,51.21,49.90,51.62,49.90,49.86K,2.05%
Apr 18  2016,50.18,49.39,50.55,49.02,57.25K,1.19%
Apr 15  2016,49.59,49.44,49.90,49.11,48.80K,0.18%
Apr 14  2016,49.50,49.78,49.90,49.27,42.90K,-0.28%
Apr 13  2016,49.64,48.92,49.94,48.64,40.57K,1.72%
Apr 12  2016,48.80,47.47,49.00,47.31,53.68K,2.80%
Apr 11  2016,47.47,47.90,48.20,47.30,37.79K,-0.57%
Apr 08  2016,47.74,47.00,47.84,46.49,36.20K,2.01%
Apr 07  2016,46.80,46.02,47.00,46.02,44.21K,1.08%
Apr 06  2016,46.30,46.20,46.46,45.93,15.18K,0.33%
Apr 05  2016,46.15,46.34,46.41,45.90,15.43K,-0.73%
Apr 04  2016,46.49,46.28,46.75,46.06,38.27K,-1.63%
Apr 01  2016,47.26,46.78,47.50,46.52,11.91K,0.77%
Mar 31  2016,46.90,47.01,47.81,46.77,40.25K,-0.23%
Mar 30  2016,47.01,46.60,47.51,46.60,32.57K,0.66%
Mar 29  2016,46.70,45.99,46.73,45.70,30.57K,1.54%
Mar 28  2016,45.99,46.30,46.40,45.74,19.77K,-1.25%
Mar 24  2016,46.57,45.99,46.75,45.62,36.00K,0.80%
Mar 23  2016,46.20,46.43,46.50,45.90,18.38K,-0.84%
Mar 22  2016,46.59,46.63,46.94,46.30,36.13K,-0.13%
Mar 21  2016,46.65,45.88,46.78,45.88,42.46K,1.24%
Mar 18  2016,46.08,46.14,46.79,45.79,72.49K,-0.02%
Mar 17  2016,46.09,45.33,46.27,45.33,41.17K,1.41%
Mar 16  2016,45.45,45.55,46.16,45.36,52.09K,0.20%
Mar 15  2016,45.36,44.55,45.96,44.30,68.79K,0.96%
Mar 14  2016,44.93,45.06,45.25,44.26,36.43K,-0.35%
Mar 11  2016,45.09,42.95,45.24,42.80,77.26K,5.99%
Mar 10  2016,42.54,43.55,43.83,42.13,46.04K,-2.21%
Mar 09  2016,43.50,43.35,43.92,43.35,34.88K,0.46%
Mar 08  2016,43.30,43.71,43.99,43.27,46.46K,-0.82%
Mar 07  2016,43.66,43.57,44.19,43.53,69.35K,0.05%
Mar 04  2016,43.64,42.42,44.35,42.42,88.99K,3.17%
Mar 03  2016,42.30,41.45,42.51,41.28,66.72K,2.30%
Mar 02  2016,41.35,41.49,41.58,40.39,47.60K,0.15%
Mar 01  2016,41.29,40.50,41.65,40.20,62.51K,2.33%
Feb 29  2016,40.35,39.36,40.50,38.93,38.01K,2.88%
Feb 26  2016,39.22,39.48,39.60,39.08,48.21K,0.10%
Feb 25  2016,39.18,39.75,39.75,38.65,58.99K,-1.38%
Feb 24  2016,39.73,39.52,39.79,38.83,42.15K,-0.77%
Feb 23  2016,40.04,40.36,40.65,39.65,39.45K,-0.92%
Feb 22  2016,40.41,40.75,41.67,39.91,82.45K,-0.20%
Feb 19  2016,40.49,41.12,41.19,40.34,52.93K,-1.91%
Feb 18  2016,41.28,40.16,41.41,39.61,85.64K,2.94%
Feb 17  2016,40.10,38.85,40.25,38.85,59.84K,3.94%
Feb 16  2016,38.58,38.26,38.80,37.95,62.81K,2.44%
Feb 12  2016,37.66,36.60,37.96,36.01,61.08K,4.26%
Feb 11  2016,36.12,36.52,36.53,35.52,83.16K,-2.88%
Feb 10  2016,37.19,38.49,38.80,37.10,50.93K,-2.97%
Feb 09  2016,38.33,38.62,38.62,37.34,45.55K,-1.41%
Feb 08  2016,38.88,39.33,39.33,37.85,41.16K,-1.89%
Feb 05  2016,39.63,40.17,40.82,39.52,33.25K,-1.59%
Feb 04  2016,40.27,40.29,41.26,40.00,28.24K,0.05%
Feb 03  2016,40.25,39.77,40.63,39.20,60.47K,1.67%
Feb 02  2016,39.59,40.58,40.62,39.13,44.48K,-3.06%
Feb 01  2016,40.84,39.54,41.18,39.54,78.78K,0.44%
Jan 29  2016,40.66,40.11,41.06,40.02,68.76K,1.65%
Jan 28  2016,40.00,39.85,40.31,39.46,71.82K,0.83%
Jan 27  2016,39.67,38.58,40.18,38.58,56.95K,2.80%
Jan 26  2016,38.59,38.05,39.16,38.01,32.74K,1.66%
Jan 25  2016,37.96,39.19,39.40,37.77,52.06K,-2.37%
Jan 22  2016,38.88,38.29,39.30,38.28,66.91K,2.97%
Jan 21  2016,37.76,36.92,38.54,36.90,62.88K,2.36%
Jan 20  2016,36.89,36.96,37.24,35.11,55.94K,-0.91%
Jan 19  2016,37.23,37.14,37.71,36.85,49.65K,1.75%
Jan 18  2016,36.59,37.36,37.36,36.44,14.46K,-1.64%
Jan 15  2016,37.20,36.52,37.39,36.25,56.55K,-0.05%
Jan 14  2016,37.22,37.35,37.61,36.74,71.34K,0.32%
Jan 13  2016,37.10,37.80,38.24,37.00,72.56K,-1.38%
Jan 12  2016,37.62,37.45,37.90,37.13,65.55K,0.78%
Jan 11  2016,37.33,37.63,37.63,37.24,63.75K,0.21%
Jan 08  2016,37.25,37.80,37.88,36.87,43.77K,-0.61%
Jan 07  2016,37.48,37.62,37.65,37.11,112.95K,-0.93%
Jan 06  2016,37.83,37.09,37.96,37.02,120.78K,0.80%
Jan 05  2016,37.53,36.43,37.62,36.43,96.67K,2.79%
Jan 04  2016,36.51,35.53,36.55,35.02,84.47K,2.01%
Dec 31  2015,35.79,36.37,36.40,35.70,57.04K,-1.59%
Dec 30  2015,36.37,36.15,36.65,36.08,28.89K,0.41%
Dec 29  2015,36.22,36.96,37.08,35.98,115.17K,-1.95%
Dec 24  2015,36.94,36.96,37.48,36.84,53.08K,0.46%
Dec 23  2015,36.77,34.33,36.93,34.33,120.55K,7.67%
Dec 22  2015,34.15,33.87,34.31,33.60,101.32K,1.01%
Dec 21  2015,33.81,33.89,34.40,33.30,121.18K,-0.21%
Dec 18  2015,33.88,36.29,36.30,33.65,214.26K,-7.18%
Dec 17  2015,36.50,37.24,37.51,36.30,105.77K,-1.99%
Dec 16  2015,37.24,37.29,37.70,37.12,92.64K,0.24%
Dec 15  2015,37.15,37.31,37.57,37.08,111.48K,-0.38%
Dec 14  2015,37.29,37.25,37.52,36.98,89.62K,0.11%
Dec 11  2015,37.25,38.77,38.92,37.10,91.46K,-4.14%
Dec 10  2015,38.86,39.72,39.72,38.71,139.26K,-2.12%
Dec 09  2015,39.70,43.02,43.18,39.53,186.82K,-10.28%
Dec 08  2015,44.25,45.00,45.05,44.00,62.11K,-2.02%
Dec 07  2015,45.16,46.00,46.00,45.01,19.79K,-1.98%
Dec 04  2015,46.07,45.85,46.15,45.85,31.69K,0.70%
Dec 03  2015,45.75,45.99,45.99,45.46,76.01K,-0.48%
Dec 02  2015,45.97,46.32,46.38,45.76,25.97K,-0.84%
