Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.89,8.75,8.94,8.51,1.51M,4.59%
Apr 18  2016,8.50,7.87,8.70,7.83,1.49M,3.66%
Apr 15  2016,8.20,8.20,8.40,8.04,1.34M,-2.50%
Apr 14  2016,8.41,8.58,8.64,8.25,3.49M,-1.41%
Apr 13  2016,8.53,8.30,8.68,8.12,5.75M,2.40%
Apr 12  2016,8.33,8.11,8.37,7.99,1.59M,4.00%
Apr 11  2016,8.01,7.74,8.07,7.74,2.01M,4.84%
Apr 08  2016,7.64,7.90,7.90,7.54,1.75M,0.26%
Apr 07  2016,7.62,7.70,7.78,7.56,1.51M,-2.43%
Apr 06  2016,7.81,7.59,7.83,7.50,1.30M,5.11%
Apr 05  2016,7.43,7.40,7.55,7.24,581.44K,-0.40%
Apr 04  2016,7.46,7.60,7.67,7.39,1.02M,-2.99%
Apr 01  2016,7.69,7.56,7.69,7.25,1.69M,-0.39%
Mar 31  2016,7.72,7.54,7.74,7.50,627.85K,2.25%
Mar 30  2016,7.55,7.53,7.69,7.40,828.12K,2.17%
Mar 29  2016,7.39,7.15,7.42,7.03,1.03M,0.41%
Mar 28  2016,7.36,7.40,7.47,7.22,632.54K,-0.81%
Mar 24  2016,7.42,7.01,7.43,6.93,1.07M,2.20%
Mar 23  2016,7.26,7.34,7.44,7.20,870.00K,-3.33%
Mar 22  2016,7.51,7.45,7.63,7.40,539.40K,-0.13%
Mar 21  2016,7.52,7.55,7.71,7.42,489.42K,-0.27%
Mar 18  2016,7.54,7.77,7.82,7.43,1.14M,-1.44%
Mar 17  2016,7.65,7.27,7.77,7.23,1.82M,7.29%
Mar 16  2016,7.13,7.07,7.22,7.01,799.61K,2.59%
Mar 15  2016,6.95,7.05,7.14,6.76,708.49K,-3.74%
Mar 14  2016,7.22,7.13,7.26,7.06,1.83M,-1.90%
Mar 11  2016,7.36,7.24,7.41,7.23,871.54K,3.52%
Mar 10  2016,7.11,6.93,7.18,6.85,1.45M,2.01%
Mar 09  2016,6.97,7.01,7.20,6.93,1.17M,0.72%
Mar 08  2016,6.92,7.13,7.15,6.88,1.73M,-3.89%
Mar 07  2016,7.20,7.30,7.37,6.98,2.27M,2.27%
Mar 04  2016,7.04,6.95,7.06,6.79,2.26M,3.07%
Mar 03  2016,6.83,6.75,6.92,6.65,1.61M,1.64%
Mar 02  2016,6.72,6.42,6.75,6.40,2.26M,4.02%
Mar 01  2016,6.46,6.20,6.51,6.10,1.97M,5.56%
Feb 29  2016,6.12,6.28,6.36,6.01,1.86M,-1.29%
Feb 26  2016,6.20,6.33,6.40,6.08,2.34M,1.47%
Feb 25  2016,6.11,6.00,6.15,5.71,2.35M,1.16%
Feb 24  2016,6.04,5.51,6.07,5.50,1.78M,5.96%
Feb 23  2016,5.70,5.73,5.88,5.62,1.91M,-3.06%
Feb 22  2016,5.88,5.76,5.94,5.73,1.64M,6.91%
Feb 19  2016,5.50,5.49,5.51,5.23,2.68M,-2.83%
Feb 18  2016,5.66,5.98,6.00,5.57,2.87M,-4.71%
Feb 17  2016,5.94,5.30,6.06,5.30,4.72M,13.58%
Feb 16  2016,5.23,5.40,5.43,5.16,560.02K,-0.38%
Feb 12  2016,5.25,5.16,5.32,5.01,1.07M,6.06%
Feb 11  2016,4.95,4.69,4.99,4.58,1.44M,3.56%
Feb 10  2016,4.78,4.84,5.03,4.68,1.90M,-0.83%
Feb 09  2016,4.82,5.03,5.07,4.75,1.22M,-5.68%
Feb 08  2016,5.11,5.26,5.35,5.00,1.31M,-5.02%
Feb 05  2016,5.38,5.15,5.59,5.10,1.92M,3.66%
Feb 04  2016,5.19,5.38,5.42,5.05,1.23M,-0.95%
Feb 03  2016,5.24,5.04,5.25,4.70,2.12M,7.16%
Feb 02  2016,4.89,5.04,5.04,4.83,1.22M,-7.21%
Feb 01  2016,5.27,5.17,5.32,5.11,777.95K,-2.77%
Jan 29  2016,5.42,5.60,5.63,5.25,1.24M,0.56%
Jan 28  2016,5.39,5.50,5.62,5.18,2.42M,4.05%
Jan 27  2016,5.18,4.83,5.28,4.75,4.09M,4.23%
Jan 26  2016,4.97,4.78,5.06,4.63,1.89M,7.58%
Jan 25  2016,4.62,4.82,5.03,4.59,1.65M,-8.51%
Jan 22  2016,5.05,5.00,5.25,4.85,3.16M,11.23%
Jan 21  2016,4.54,4.17,4.71,4.15,2.49M,7.08%
Jan 20  2016,4.24,3.89,4.37,3.71,2.45M,4.95%
Jan 19  2016,4.04,4.19,4.26,3.93,2.12M,-0.98%
Jan 18  2016,4.08,4.04,4.14,4.01,343.57K,-1.45%
Jan 15  2016,4.14,4.00,4.25,3.91,1.68M,-7.38%
Jan 14  2016,4.47,4.24,4.50,4.14,1.31M,5.67%
Jan 13  2016,4.23,4.22,4.35,3.99,2.15M,2.92%
Jan 12  2016,4.11,4.44,4.65,3.88,3.61M,-3.75%
Jan 11  2016,4.27,4.56,4.59,4.20,3.04M,-8.17%
Jan 08  2016,4.65,4.83,4.83,4.55,1.77M,-0.21%
Jan 07  2016,4.66,4.80,4.96,4.62,1.65M,-6.43%
Jan 06  2016,4.98,5.00,5.15,4.95,1.50M,-4.60%
Jan 05  2016,5.22,5.17,5.24,5.01,761.39K,0.19%
Jan 04  2016,5.21,5.22,5.36,5.05,1.14M,1.17%
Dec 31  2015,5.15,4.98,5.23,4.90,692.41K,3.41%
Dec 30  2015,4.98,5.40,5.42,4.97,973.04K,-9.12%
Dec 29  2015,5.48,5.42,5.56,5.33,489.87K,-0.18%
Dec 24  2015,5.49,5.54,5.61,5.38,470.27K,-0.72%
Dec 23  2015,5.53,5.20,5.54,5.20,2.34M,9.07%
Dec 22  2015,5.07,5.18,5.27,5.03,666.38K,-1.17%
Dec 21  2015,5.13,5.09,5.26,5.00,902.75K,0.98%
Dec 18  2015,5.08,4.95,5.21,4.90,1.25M,4.10%
Dec 17  2015,4.88,4.88,4.91,4.76,1.65M,0.83%
Dec 16  2015,4.84,4.95,5.09,4.77,2.42M,-1.22%
Dec 15  2015,4.90,4.70,4.93,4.63,4.81M,11.11%
