Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,16.83,16.29,16.91,16.19,2.91M,7.75%
Apr 18  2016,15.62,15.43,15.62,15.01,1.44M,2.09%
Apr 15  2016,15.30,15.10,15.41,14.92,1.61M,1.19%
Apr 14  2016,15.12,15.56,15.67,14.89,2.32M,-2.89%
Apr 13  2016,15.57,15.46,15.85,15.42,1.20M,-0.64%
Apr 12  2016,15.67,15.94,15.95,15.47,2.10M,-0.13%
Apr 11  2016,15.69,15.14,15.86,15.05,3.07M,6.37%
Apr 08  2016,14.75,14.03,14.83,13.99,3.47M,4.76%
Apr 07  2016,14.08,13.82,14.14,13.70,4.18M,4.30%
Apr 06  2016,13.50,13.39,13.57,13.28,4.23M,-0.30%
Apr 05  2016,13.54,13.20,13.68,12.88,3.65M,5.53%
Apr 04  2016,12.83,13.24,13.24,12.80,1.73M,-1.38%
Apr 01  2016,13.01,12.75,13.50,12.71,2.82M,-0.08%
Mar 31  2016,13.02,13.77,13.82,12.98,1.37M,-3.63%
Mar 30  2016,13.51,14.14,14.14,13.12,2.19M,-4.99%
Mar 29  2016,14.22,13.80,14.36,13.53,1.68M,3.12%
Mar 28  2016,13.79,14.15,14.15,13.56,1.01M,-2.13%
Mar 24  2016,14.09,13.98,14.57,13.92,816.50K,1.22%
Mar 23  2016,13.92,14.00,14.33,13.70,1.13M,-4.26%
Mar 22  2016,14.54,14.99,15.07,14.43,1.32M,-2.09%
Mar 21  2016,14.85,14.54,14.92,14.32,1.29M,2.20%
Mar 18  2016,14.53,14.30,14.73,14.23,1.45M,2.69%
Mar 17  2016,14.15,14.25,14.97,14.11,2.26M,1.43%
Mar 16  2016,13.95,12.99,14.08,12.82,1.63M,7.23%
Mar 15  2016,13.01,12.79,13.06,12.66,1.18M,0.46%
Mar 14  2016,12.95,13.42,13.58,12.89,1.09M,-2.78%
Mar 11  2016,13.32,13.69,13.78,13.26,1.88M,-2.63%
Mar 10  2016,13.68,13.08,13.69,12.99,3.53M,8.06%
Mar 09  2016,12.66,12.17,12.78,12.01,1.56M,2.26%
Mar 08  2016,12.38,13.26,13.30,12.37,1.35M,-4.84%
Mar 07  2016,13.01,12.99,13.26,12.89,1.56M,2.85%
Mar 04  2016,12.65,12.79,13.25,12.51,2.21M,-0.32%
Mar 03  2016,12.69,12.34,12.76,12.30,1.47M,3.00%
Mar 02  2016,12.32,12.05,12.34,11.88,638.40K,3.53%
Mar 01  2016,11.90,12.64,12.65,11.77,907.67K,-4.88%
Feb 29  2016,12.51,12.13,12.51,12.13,922.52K,4.08%
Feb 26  2016,12.02,12.34,12.50,11.90,1.44M,-5.06%
Feb 25  2016,12.66,12.77,12.89,12.42,854.84K,-1.48%
