Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,13.34,12.69,13.39,12.50,12.74M,8.46%
Apr 18  2016,12.30,10.41,12.82,10.41,10.94M,12.84%
Apr 15  2016,10.90,10.60,10.98,10.22,5.27M,-0.46%
Apr 14  2016,10.95,11.17,11.18,10.67,3.53M,-0.18%
Apr 13  2016,10.97,11.50,11.51,10.91,5.90M,-1.17%
Apr 12  2016,11.10,10.45,11.50,10.45,8.67M,7.66%
Apr 11  2016,10.31,9.73,10.37,9.66,6.85M,8.18%
Apr 08  2016,9.53,9.48,9.75,9.25,5.27M,4.96%
Apr 07  2016,9.08,9.85,10.06,9.05,7.60M,-10.81%
Apr 06  2016,10.18,9.85,10.29,9.57,4.46M,3.25%
Apr 05  2016,9.86,9.43,9.92,9.39,3.78M,3.25%
Apr 04  2016,9.55,10.15,10.23,9.45,4.35M,-5.45%
Apr 01  2016,10.10,9.69,10.15,9.51,6.04M,2.54%
Mar 31  2016,9.85,9.97,10.27,9.85,4.55M,-2.86%
Mar 30  2016,10.14,9.76,10.39,9.73,6.93M,5.08%
Mar 29  2016,9.65,9.36,9.75,9.05,5.31M,-1.13%
Mar 28  2016,9.76,9.85,9.96,9.16,4.32M,0.10%
Mar 24  2016,9.75,8.97,9.81,8.70,7.79M,1.04%
Mar 23  2016,9.65,10.89,11.01,9.59,7.56M,-13.38%
Mar 22  2016,11.14,10.81,11.31,10.79,3.81M,0.81%
Mar 21  2016,11.05,11.14,11.45,10.76,4.35M,-0.63%
Mar 18  2016,11.12,11.69,11.99,10.70,13.60M,-3.97%
Mar 17  2016,11.58,10.25,11.61,10.23,12.19M,17.44%
Mar 16  2016,9.86,9.26,9.98,9.19,8.00M,5.57%
Mar 15  2016,9.34,9.52,9.64,9.20,5.17M,-6.22%
Mar 14  2016,9.96,9.74,10.14,9.62,4.66M,1.53%
Mar 11  2016,9.81,10.25,10.42,9.81,5.05M,-0.51%
Mar 10  2016,9.86,10.13,10.25,9.50,6.06M,-2.57%
Mar 09  2016,10.12,10.30,10.33,9.63,6.45M,1.81%
Mar 08  2016,9.94,10.25,10.43,9.30,8.72M,-7.53%
Mar 07  2016,10.75,10.37,11.15,10.35,9.33M,4.78%
Mar 04  2016,10.26,10.23,10.95,10.02,10.16M,5.12%
Mar 03  2016,9.76,9.50,9.94,9.37,8.00M,2.63%
Mar 02  2016,9.51,8.13,9.55,8.09,11.54M,19.47%
Mar 01  2016,7.96,8.11,8.11,7.79,4.08M,1.66%
Feb 29  2016,7.83,7.83,8.00,7.60,4.77M,2.22%
Feb 26  2016,7.66,8.30,8.52,7.60,5.65M,-0.13%
Feb 25  2016,7.67,7.52,7.85,7.32,3.81M,0.00%
Feb 24  2016,7.67,7.68,7.97,7.15,10.10M,-7.48%
Feb 23  2016,8.29,9.06,9.38,8.21,7.04M,-11.15%
Feb 22  2016,9.33,8.60,9.93,8.60,14.48M,14.48%
Feb 19  2016,8.15,8.08,8.40,7.90,4.60M,-1.81%
Feb 18  2016,8.30,8.26,8.41,7.67,7.39M,-1.43%
Feb 17  2016,8.42,7.40,8.80,7.25,11.42M,18.59%
Feb 16  2016,7.10,6.55,7.10,6.16,7.16M,10.25%
