Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,52.29,52.09,52.47,52.07,519.54K,0.08%
Apr 18  2016,52.25,52.14,52.46,52.08,661.73K,0.10%
Apr 15  2016,52.20,52.19,52.39,52.14,487.55K,-0.15%
Apr 14  2016,52.28,52.28,52.45,52.18,486.32K,0.21%
Apr 13  2016,52.17,52.45,52.67,52.09,577.71K,0.08%
Apr 12  2016,52.13,52.23,52.53,52.10,422.27K,0.08%
Apr 11  2016,52.09,51.98,52.53,51.97,539.11K,0.19%
Apr 08  2016,51.99,52.31,52.51,51.63,736.85K,-0.48%
Apr 07  2016,52.24,52.33,52.61,52.01,404.87K,-0.61%
Apr 06  2016,52.56,52.68,52.91,52.35,665.42K,-0.34%
Apr 05  2016,52.74,52.60,52.99,52.45,530.02K,-0.09%
Apr 04  2016,52.79,52.91,53.28,52.71,476.32K,0.13%
Apr 01  2016,52.72,52.58,52.96,52.32,565.01K,0.19%
Mar 31  2016,52.62,52.37,53.03,52.37,612.85K,0.25%
Mar 30  2016,52.49,52.66,52.66,52.13,394.47K,-0.02%
Mar 29  2016,52.50,52.40,52.59,52.12,438.46K,-0.06%
Mar 28  2016,52.53,52.18,52.69,52.06,581.42K,0.77%
Mar 24  2016,52.13,51.91,52.24,51.89,742.56K,-0.10%
Mar 23  2016,52.18,52.10,52.23,51.60,652.56K,1.24%
Mar 22  2016,51.54,51.35,51.87,51.32,442.72K,-0.23%
Mar 21  2016,51.66,51.24,51.84,51.16,294.69K,1.18%
Mar 18  2016,51.06,51.71,51.71,50.98,1.88M,-1.33%
Mar 17  2016,51.75,50.81,51.96,50.58,715.73K,1.61%
Mar 16  2016,50.93,51.02,51.53,50.84,595.13K,-0.25%
Mar 15  2016,51.06,50.49,51.29,50.33,560.00K,0.91%
Mar 14  2016,50.60,50.07,50.95,49.84,642.87K,0.76%
Mar 11  2016,50.22,49.88,50.32,49.52,434.53K,1.48%
Mar 10  2016,49.49,49.99,50.13,48.89,858.20K,-0.68%
Mar 09  2016,49.83,49.84,50.41,49.69,532.21K,0.40%
Mar 08  2016,49.63,49.26,49.90,49.26,594.73K,0.75%
Mar 07  2016,49.26,48.75,49.39,48.64,749.82K,0.76%
Mar 04  2016,48.89,49.04,49.38,48.75,1.18M,-0.24%
Mar 03  2016,49.01,49.17,49.32,48.75,986.00K,-0.33%
Mar 02  2016,49.17,49.58,49.76,48.80,1.05M,-0.89%
Mar 01  2016,49.61,49.81,49.96,49.47,810.93K,0.08%
Feb 29  2016,49.57,49.43,49.96,49.35,897.52K,0.32%
Feb 26  2016,49.41,50.23,50.24,49.30,1.13M,-1.04%
Feb 25  2016,49.93,50.12,50.25,49.60,953.87K,-0.28%
Feb 24  2016,50.07,49.72,50.21,49.18,879.50K,-0.08%
Feb 23  2016,50.11,50.07,50.65,49.96,720.30K,0.06%
Feb 22  2016,50.08,49.78,50.23,49.78,774.37K,1.17%
Feb 19  2016,49.50,49.56,50.14,49.34,496.59K,-1.41%
Feb 18  2016,50.21,50.02,50.43,49.93,521.96K,0.20%
Feb 17  2016,50.11,49.97,50.14,49.47,716.66K,0.78%
Feb 16  2016,49.72,49.90,49.94,49.01,672.91K,0.53%
Feb 12  2016,49.46,49.04,49.80,47.99,986.19K,2.59%
Feb 11  2016,48.21,48.19,49.49,47.56,977.78K,-2.90%
Feb 10  2016,49.65,49.77,50.27,49.41,573.73K,0.40%
Feb 09  2016,49.45,49.54,49.91,48.84,1.08M,-0.94%
Feb 08  2016,49.92,50.51,50.51,49.71,820.09K,-1.77%
Feb 05  2016,50.82,52.16,52.16,50.67,913.63K,-2.02%
Feb 04  2016,51.87,51.82,52.03,51.33,663.30K,0.29%
Feb 03  2016,51.72,52.06,52.26,51.11,748.12K,-0.58%
Feb 02  2016,52.02,51.92,52.21,51.69,729.97K,-0.46%
Feb 01  2016,52.26,51.14,52.55,50.91,742.24K,-0.27%
Jan 29  2016,52.40,52.10,52.78,51.91,1.40M,0.85%
Jan 28  2016,51.96,51.67,52.14,51.22,1.13M,1.58%
Jan 27  2016,51.15,51.73,51.90,51.03,1.08M,-0.91%
Jan 26  2016,51.62,51.43,51.81,51.12,832.25K,0.88%
Jan 25  2016,51.17,51.70,51.83,51.10,682.43K,-1.01%
