Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,1.950,1.940,2.010,1.900,5.07M,3.72%
Apr 18  2016,1.880,1.940,1.940,1.870,2.95M,-0.53%
Apr 15  2016,1.890,1.840,1.920,1.810,2.75M,2.16%
Apr 14  2016,1.850,1.870,1.890,1.780,2.27M,-0.54%
Apr 13  2016,1.860,1.920,1.940,1.860,2.80M,-4.12%
Apr 12  2016,1.940,1.850,1.965,1.840,7.42M,6.01%
Apr 11  2016,1.830,1.800,1.830,1.790,7.36M,2.23%
Apr 08  2016,1.790,1.800,1.800,1.760,2.00M,0.00%
Apr 07  2016,1.790,1.830,1.830,1.790,4.64M,-0.56%
Apr 06  2016,1.800,1.750,1.800,1.750,3.61M,1.69%
Apr 05  2016,1.770,1.730,1.800,1.700,2.10M,6.63%
Apr 04  2016,1.660,1.730,1.730,1.650,1.84M,-4.60%
Apr 01  2016,1.740,1.770,1.810,1.720,1.94M,-4.40%
Mar 31  2016,1.820,1.790,1.850,1.790,4.76M,3.41%
Mar 30  2016,1.760,1.730,1.810,1.720,7.06M,0.00%
Mar 29  2016,1.760,1.650,1.760,1.615,1.99M,8.64%
Mar 28  2016,1.620,1.630,1.660,1.600,580.23K,-1.22%
Mar 24  2016,1.640,1.650,1.650,1.610,994.80K,1.23%
Mar 23  2016,1.620,1.640,1.730,1.610,2.43M,-4.14%
Mar 22  2016,1.690,1.660,1.700,1.650,1.53M,3.68%
Mar 21  2016,1.630,1.650,1.680,1.600,1.73M,-1.21%
Mar 18  2016,1.650,1.730,1.740,1.650,6.62M,-4.62%
Mar 17  2016,1.730,1.790,1.790,1.700,2.65M,-2.26%
Mar 16  2016,1.770,1.690,1.790,1.660,3.46M,4.12%
Mar 15  2016,1.700,1.650,1.700,1.610,1.35M,2.41%
Mar 14  2016,1.660,1.710,1.750,1.650,2.06M,-1.19%
Mar 11  2016,1.680,1.730,1.740,1.680,2.28M,-4.00%
Mar 10  2016,1.750,1.690,1.750,1.670,3.13M,6.71%
Mar 09  2016,1.640,1.700,1.720,1.640,5.43M,-5.20%
Mar 08  2016,1.730,1.790,1.790,1.715,1.78M,-1.14%
Mar 07  2016,1.750,1.650,1.770,1.650,3.34M,8.02%
Mar 04  2016,1.620,1.790,1.840,1.600,5.81M,-7.43%
Mar 03  2016,1.750,1.700,1.815,1.680,3.41M,4.17%
Mar 02  2016,1.680,1.730,1.740,1.660,1.64M,-1.75%
Mar 01  2016,1.710,1.810,1.830,1.700,2.90M,-5.00%
Feb 29  2016,1.800,1.740,1.800,1.740,1.95M,4.05%
Feb 26  2016,1.730,1.660,1.740,1.650,2.59M,1.76%
Feb 25  2016,1.700,1.590,1.700,1.580,2.22M,7.59%
Feb 24  2016,1.580,1.650,1.780,1.580,4.82M,-3.07%
Feb 23  2016,1.630,1.590,1.630,1.570,2.59M,3.82%
Feb 22  2016,1.570,1.540,1.600,1.500,3.47M,-0.63%
Feb 19  2016,1.580,1.620,1.640,1.580,1.76M,-4.24%
Feb 18  2016,1.650,1.420,1.650,1.410,5.27M,14.58%
Feb 17  2016,1.440,1.490,1.530,1.350,2.89M,-2.04%
