Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,35.46,34.95,35.50,34.85,105.98K,0.88%
Apr 18  2016,35.15,34.63,35.19,34.55,52.05K,0.89%
Apr 15  2016,34.84,34.65,34.84,34.45,77.35K,0.26%
Apr 14  2016,34.75,33.25,34.79,33.19,133.57K,4.83%
Apr 13  2016,33.15,32.43,33.21,32.43,163.16K,2.38%
Apr 12  2016,32.38,32.69,32.70,32.26,105.36K,-0.86%
Apr 11  2016,32.66,33.17,33.17,32.59,197.97K,-2.62%
Apr 08  2016,33.54,33.75,34.98,33.44,56.30K,-0.24%
Apr 07  2016,33.62,33.71,33.73,33.37,81.36K,-0.74%
Apr 06  2016,33.87,33.57,33.97,33.57,68.56K,0.39%
Apr 05  2016,33.74,33.76,33.81,33.35,106.41K,-0.65%
Apr 04  2016,33.96,34.58,34.62,33.81,68.80K,-1.82%
Apr 01  2016,34.59,34.31,34.66,33.95,93.58K,0.82%
Mar 31  2016,34.31,33.45,34.40,33.23,224.00K,2.82%
Mar 30  2016,33.37,33.56,33.66,33.30,113.81K,-0.24%
Mar 29  2016,33.45,33.38,33.55,33.12,93.33K,0.66%
Mar 28  2016,33.23,33.36,33.43,33.12,60.12K,-0.03%
Mar 24  2016,33.24,33.16,33.50,33.01,62.01K,-0.66%
Mar 23  2016,33.46,33.55,33.66,33.37,86.79K,-0.62%
Mar 22  2016,33.67,33.52,33.79,33.31,79.02K,0.09%
Mar 21  2016,33.64,33.57,33.84,33.28,123.58K,-0.03%
Mar 18  2016,33.65,33.04,33.90,32.96,241.14K,2.00%
Mar 17  2016,32.99,31.77,33.14,31.76,218.08K,4.04%
Mar 16  2016,31.71,32.15,32.16,31.65,131.16K,-1.00%
Mar 15  2016,32.03,32.32,32.40,31.87,73.81K,-1.23%
Mar 14  2016,32.43,32.19,32.70,32.19,147.97K,0.65%
Mar 11  2016,32.22,32.47,32.74,32.07,174.04K,0.16%
Mar 10  2016,32.17,32.69,32.73,31.26,344.52K,-1.56%
Mar 09  2016,32.68,32.74,32.88,32.25,240.77K,0.62%
Mar 08  2016,32.48,32.80,32.95,32.20,127.41K,-1.61%
Mar 07  2016,33.01,31.81,33.10,31.81,186.84K,3.58%
Mar 04  2016,31.87,31.77,32.47,31.60,203.88K,0.60%
Mar 03  2016,31.68,31.95,32.01,31.32,263.17K,-0.69%
Mar 02  2016,31.90,31.94,32.00,31.43,148.09K,-0.19%
Mar 01  2016,31.96,31.66,32.52,31.66,258.65K,0.53%
Feb 29  2016,31.79,31.97,32.60,31.69,218.02K,-0.66%
Feb 26  2016,32.00,31.45,32.20,31.38,257.04K,2.43%
Feb 25  2016,31.24,30.99,31.38,30.70,155.44K,0.68%
Feb 24  2016,31.03,30.50,31.07,30.21,225.28K,1.04%
Feb 23  2016,30.71,30.61,30.87,30.34,154.14K,0.20%
Feb 22  2016,30.65,30.63,31.35,30.56,236.03K,0.26%
Feb 19  2016,30.57,31.03,31.18,30.19,392.97K,-2.27%
Feb 18  2016,31.28,30.83,31.39,30.50,286.27K,0.87%
Feb 17  2016,31.01,30.37,31.27,30.22,410.29K,3.09%
Feb 16  2016,30.08,28.69,30.16,28.69,322.75K,5.32%
Feb 12  2016,28.56,28.83,28.89,27.89,388.38K,-0.31%
Feb 11  2016,28.65,29.49,29.57,28.18,643.22K,-4.63%
Feb 10  2016,30.04,29.12,30.95,28.73,481.89K,3.62%
Feb 09  2016,28.99,28.95,29.19,28.78,184.31K,0.14%
Feb 08  2016,28.95,29.11,29.11,28.59,247.28K,-1.46%
Feb 05  2016,29.38,29.71,29.71,29.05,211.83K,1.03%
Feb 04  2016,29.08,28.03,29.16,28.03,224.10K,3.41%
Feb 03  2016,28.12,27.99,28.21,27.25,273.81K,1.74%
Feb 02  2016,27.64,28.15,28.30,27.52,231.64K,-1.95%
Feb 01  2016,28.19,28.60,28.60,27.79,182.06K,-0.95%
Jan 29  2016,28.46,29.02,29.22,28.26,487.60K,-1.83%
Jan 28  2016,28.99,28.88,29.07,28.65,226.62K,1.08%
Jan 27  2016,28.68,28.44,28.99,28.17,334.07K,0.91%
Jan 26  2016,28.42,28.00,28.56,27.99,193.11K,1.79%
Jan 25  2016,27.92,28.97,28.97,27.87,261.76K,-3.59%
Jan 22  2016,28.96,28.30,29.25,28.29,435.99K,4.17%
Jan 21  2016,27.80,28.15,28.27,27.66,434.12K,-1.24%
Jan 20  2016,28.15,29.38,29.38,27.69,603.28K,-4.19%
Jan 19  2016,29.38,29.69,29.93,29.29,283.63K,-0.17%
Jan 18  2016,29.43,29.40,29.60,29.20,73.34K,-0.44%
Jan 15  2016,29.56,29.53,29.75,28.81,347.89K,-3.40%
Jan 14  2016,30.60,30.00,31.15,29.23,467.72K,1.29%
Jan 13  2016,30.21,30.89,31.10,29.93,309.02K,-1.72%
Jan 12  2016,30.74,29.91,30.85,29.91,241.45K,2.60%
Jan 11  2016,29.96,30.24,30.24,29.73,130.43K,-0.76%
Jan 08  2016,30.19,30.27,30.54,30.02,164.43K,0.33%
Jan 07  2016,30.09,29.70,30.11,29.37,168.48K,-0.07%
Jan 06  2016,30.11,30.38,30.67,29.90,170.14K,-2.05%
Jan 05  2016,30.74,31.15,31.30,30.66,132.30K,-1.41%
Jan 04  2016,31.18,31.32,31.33,30.51,214.88K,-1.17%
Dec 31  2015,31.55,31.74,31.74,31.38,106.46K,-0.66%
Dec 30  2015,31.76,31.89,32.01,31.73,51.28K,-0.25%
Dec 29  2015,31.84,31.94,32.26,31.84,69.63K,-0.03%
Dec 24  2015,31.85,31.77,31.97,31.70,54.54K,-0.16%
Dec 23  2015,31.90,31.43,32.16,31.24,273.70K,2.05%
Dec 22  2015,31.26,31.47,31.49,31.02,89.45K,-0.35%
Dec 21  2015,31.37,31.34,31.64,31.18,135.01K,0.38%
Dec 18  2015,31.25,31.40,31.55,31.09,286.50K,-1.04%
Dec 17  2015,31.58,31.75,31.75,31.34,170.13K,-0.13%
Dec 16  2015,31.62,31.10,31.70,30.91,337.49K,1.90%
Dec 15  2015,31.03,30.22,31.17,30.12,321.86K,3.36%
Dec 14  2015,30.02,29.94,30.14,29.50,279.83K,0.13%
Dec 11  2015,29.98,30.14,30.14,29.82,210.25K,-0.96%
Dec 10  2015,30.27,30.03,30.35,29.79,235.19K,0.80%
Dec 09  2015,30.03,29.85,30.08,29.80,230.52K,0.47%
Dec 08  2015,29.89,29.90,30.07,29.34,285.32K,-0.60%
Dec 07  2015,30.07,30.37,30.37,29.66,267.04K,-1.09%
Dec 04  2015,30.40,30.69,30.83,30.37,127.99K,-1.30%
Dec 03  2015,30.80,31.19,31.19,30.65,203.39K,-1.28%
Dec 02  2015,31.20,31.33,31.54,31.09,208.77K,-0.61%
Dec 01  2015,31.39,31.67,31.67,30.76,349.53K,0.51%
Nov 30  2015,31.23,31.55,31.60,30.96,523.14K,-0.98%
Nov 27  2015,31.54,31.29,31.56,31.10,82.35K,0.80%
Nov 26  2015,31.29,31.24,31.34,31.00,51.66K,0.16%
Nov 25  2015,31.24,31.23,31.66,31.14,197.42K,-0.45%
Nov 24  2015,31.38,31.55,31.56,31.31,118.16K,-0.98%
Nov 23  2015,31.69,31.70,32.13,31.43,390.85K,0.06%
Nov 20  2015,31.67,31.77,31.95,31.14,423.17K,-0.47%
Nov 19  2015,31.82,32.01,32.06,31.69,345.78K,-0.41%
Nov 18  2015,31.95,32.00,32.10,31.71,305.01K,0.06%
Nov 17  2015,31.93,31.93,32.27,31.66,345.03K,0.41%
Nov 16  2015,31.80,31.06,32.21,31.06,370.18K,4.02%
Nov 13  2015,30.57,30.67,30.93,30.30,340.50K,-0.88%
Nov 12  2015,30.84,31.70,31.71,30.82,270.68K,-3.17%
Nov 11  2015,31.85,32.14,32.46,31.85,64.37K,-0.81%
Nov 10  2015,32.11,32.10,32.25,31.91,74.94K,0.28%
Nov 09  2015,32.02,32.00,32.11,31.85,43.54K,-0.19%
Nov 06  2015,32.08,32.38,32.50,32.01,92.11K,-0.56%
Nov 05  2015,32.26,32.34,32.60,32.17,134.46K,-0.28%
Nov 04  2015,32.35,33.60,33.62,32.13,445.31K,-3.86%
Nov 03  2015,33.65,34.16,34.19,32.60,294.86K,-1.32%
Nov 02  2015,34.10,34.16,34.41,33.79,121.07K,0.21%
Oct 30  2015,34.03,33.95,34.14,33.72,184.88K,0.03%
Oct 29  2015,34.02,33.45,34.30,33.23,193.91K,1.67%
Oct 28  2015,33.46,33.09,33.54,33.00,132.57K,1.03%
Oct 27  2015,33.12,33.16,33.44,32.92,397.85K,-0.54%
Oct 26  2015,33.30,33.49,33.56,33.28,308.44K,-0.36%
Oct 23  2015,33.42,33.30,33.70,33.30,117.35K,0.42%
Oct 22  2015,33.28,33.08,33.50,33.08,112.78K,0.54%
Oct 21  2015,33.10,33.50,33.72,33.01,288.02K,-1.16%
Oct 20  2015,33.49,32.41,33.60,32.41,274.75K,3.14%
Oct 19  2015,32.47,32.06,32.47,32.05,148.43K,1.34%
Oct 16  2015,32.04,32.04,32.34,31.92,126.74K,0.31%
Oct 15  2015,31.94,32.09,32.10,31.68,162.74K,0.06%
Oct 14  2015,31.92,32.69,32.70,31.83,151.73K,-1.97%
Oct 13  2015,32.56,33.07,33.07,32.34,116.97K,-1.93%
Oct 09  2015,33.20,33.33,33.68,33.20,105.82K,-0.60%
Oct 08  2015,33.40,33.05,33.46,32.75,235.20K,0.63%
Oct 07  2015,33.19,32.16,33.35,32.16,210.21K,3.56%
Oct 06  2015,32.05,32.83,32.84,32.04,154.73K,-2.20%
Oct 05  2015,32.77,32.09,33.36,32.09,196.07K,2.37%
Oct 02  2015,32.01,31.94,32.30,31.93,128.22K,-0.68%
Oct 01  2015,32.23,32.59,32.75,31.98,151.13K,-0.74%
Sep 30  2015,32.47,32.95,32.97,32.30,138.48K,-0.55%
Sep 29  2015,32.65,32.51,32.73,31.94,215.72K,0.31%
Sep 28  2015,32.55,33.77,33.79,32.40,146.47K,-4.10%
Sep 25  2015,33.94,33.01,34.03,33.01,380.92K,2.85%
Sep 24  2015,33.00,33.52,33.52,32.17,335.11K,-2.19%
Sep 23  2015,33.74,33.51,33.97,33.51,188.41K,0.75%
Sep 22  2015,33.49,33.00,33.60,32.99,314.35K,0.21%
Sep 21  2015,33.42,32.99,33.78,32.99,243.86K,1.21%
Sep 18  2015,33.02,33.00,33.51,32.87,438.58K,-0.75%
Sep 17  2015,33.27,33.10,33.49,32.97,112.83K,0.39%
Sep 16  2015,33.14,33.30,33.82,32.63,303.26K,-0.66%
Sep 15  2015,33.36,33.02,33.50,32.62,157.81K,1.00%
Sep 14  2015,33.03,33.51,33.55,32.93,123.58K,-1.78%
Sep 11  2015,33.63,33.52,33.85,33.41,143.47K,-0.06%
Sep 10  2015,33.65,33.34,33.99,33.34,146.79K,0.51%
Sep 09  2015,33.48,34.31,34.31,33.38,135.57K,-1.41%
Sep 08  2015,33.96,33.53,34.44,33.53,147.78K,1.92%
Sep 04  2015,33.32,33.47,34.01,33.21,187.22K,-1.10%
Sep 03  2015,33.69,34.27,34.28,33.61,166.21K,-1.12%
Sep 02  2015,34.07,34.16,34.44,33.21,268.17K,-0.21%
Sep 01  2015,34.14,34.54,34.90,34.03,284.51K,-2.57%
Aug 31  2015,35.04,34.81,35.39,34.77,251.44K,-0.74%
Aug 28  2015,35.30,35.18,35.75,34.97,183.79K,-0.14%
Aug 27  2015,35.35,35.77,36.15,35.00,146.96K,-0.65%
Aug 26  2015,35.58,35.00,35.69,34.63,305.94K,2.62%
Aug 25  2015,34.67,34.55,35.24,34.55,251.63K,0.06%
