Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,55.91,55.59,55.93,55.52,3.33M,1.10%
Apr 18  2016,55.30,55.30,55.64,55.16,3.24M,-0.43%
Apr 15  2016,55.54,55.70,55.84,55.34,3.92M,-0.38%
Apr 14  2016,55.75,55.38,55.84,55.34,3.51M,0.94%
Apr 13  2016,55.23,54.97,55.33,54.68,3.60M,0.47%
Apr 12  2016,54.97,54.58,55.12,54.47,2.63M,1.03%
Apr 11  2016,54.41,54.54,55.05,54.41,2.64M,-0.11%
Apr 08  2016,54.47,54.44,54.85,54.23,3.02M,0.57%
Apr 07  2016,54.16,54.68,54.69,53.91,2.55M,-1.40%
Apr 06  2016,54.93,55.38,55.62,54.48,3.32M,-1.81%
Apr 05  2016,55.94,55.81,56.06,55.51,2.95M,-0.36%
Apr 04  2016,56.14,56.35,56.37,55.79,2.42M,0.07%
Apr 01  2016,56.10,55.86,56.19,55.54,1.95M,0.07%
Mar 31  2016,56.06,56.09,56.47,55.88,3.10M,-0.37%
Mar 30  2016,56.27,56.00,56.41,55.74,2.66M,0.91%
Mar 29  2016,55.76,55.57,55.86,55.25,2.44M,0.05%
Mar 28  2016,55.73,55.41,55.81,55.11,2.37M,0.76%
Mar 24  2016,55.31,55.21,55.32,54.84,2.10M,-0.41%
Mar 23  2016,55.54,55.66,55.66,55.10,1.99M,0.34%
Mar 22  2016,55.35,55.30,55.60,55.19,2.53M,-0.59%
Mar 21  2016,55.68,55.50,55.89,55.31,1.84M,0.54%
Mar 18  2016,55.38,55.98,56.11,55.38,7.74M,-1.11%
Mar 17  2016,56.00,55.57,56.24,55.39,4.40M,1.05%
Mar 16  2016,55.42,55.35,55.97,55.16,3.12M,0.05%
Mar 15  2016,55.39,54.79,55.39,54.78,2.69M,0.65%
Mar 14  2016,55.03,54.98,55.23,54.85,2.15M,-0.22%
Mar 11  2016,55.15,55.00,55.15,54.77,2.89M,0.99%
Mar 10  2016,54.61,55.05,55.28,54.23,2.64M,-0.49%
Mar 09  2016,54.88,54.79,55.15,54.70,3.20M,0.42%
Mar 08  2016,54.65,53.85,54.69,53.84,3.29M,0.74%
Mar 07  2016,54.25,53.51,54.25,53.40,3.21M,1.08%
