Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,28.14,27.21,28.18,27.16,486.06K,4.45%
Apr 18  2016,26.94,25.60,27.55,25.60,487.83K,2.20%
Apr 15  2016,26.36,26.21,26.59,25.90,338.52K,-0.94%
Apr 14  2016,26.61,27.25,27.45,26.51,670.32K,-2.13%
Apr 13  2016,27.19,27.66,28.20,27.00,1.00M,-0.91%
Apr 12  2016,27.44,26.30,27.99,26.20,810.97K,5.30%
Apr 11  2016,26.06,26.06,26.67,25.94,485.60K,1.09%
Apr 08  2016,25.78,25.61,25.91,25.45,678.43K,2.75%
Apr 07  2016,25.09,26.00,26.12,24.99,1.16M,-4.13%
Apr 06  2016,26.17,25.09,26.18,25.05,665.63K,5.02%
Apr 05  2016,24.92,24.80,25.28,24.66,1.18M,0.40%
Apr 04  2016,24.82,26.00,26.17,24.62,877.26K,-4.54%
Apr 01  2016,26.00,27.00,27.00,25.80,625.07K,-5.45%
Mar 31  2016,27.50,27.33,27.86,27.28,529.03K,0.47%
Mar 30  2016,27.37,28.16,28.27,27.25,436.37K,-0.69%
Mar 29  2016,27.56,27.18,27.95,26.69,539.55K,0.25%
Mar 28  2016,27.49,27.70,27.70,27.03,263.65K,-0.43%
Mar 24  2016,27.61,26.83,27.69,26.33,502.41K,1.40%
Mar 23  2016,27.23,28.57,28.66,27.17,532.64K,-4.32%
Mar 22  2016,28.46,29.10,29.26,28.42,717.97K,-1.59%
Mar 21  2016,28.92,28.33,29.10,28.26,522.21K,1.47%
Mar 18  2016,28.50,28.40,28.56,28.19,626.74K,1.06%
Mar 17  2016,28.20,28.18,28.59,28.12,500.38K,0.71%
Mar 16  2016,28.00,28.00,28.08,27.56,557.00K,1.30%
Mar 15  2016,27.64,27.13,27.73,27.06,1.89M,-3.09%
Mar 14  2016,28.52,28.50,28.92,28.17,756.09K,-1.35%
Mar 11  2016,28.91,29.75,30.00,28.76,1.16M,-1.73%
Mar 10  2016,29.42,29.04,29.50,28.55,842.94K,1.34%
Mar 09  2016,29.03,29.25,29.62,28.77,861.78K,0.94%
Mar 08  2016,28.76,29.33,30.22,28.68,2.72M,-0.93%
Mar 07  2016,29.03,27.98,29.27,27.94,1.48M,5.79%
Mar 04  2016,27.44,26.91,27.57,26.55,1.86M,3.74%
Mar 03  2016,26.45,26.26,26.94,26.25,715.07K,0.84%
Mar 02  2016,26.23,25.95,26.50,25.56,765.15K,0.46%
Mar 01  2016,26.11,25.13,26.32,24.97,795.20K,4.65%
Feb 29  2016,24.95,24.73,24.97,24.12,780.25K,1.26%
Feb 26  2016,24.64,25.50,25.62,24.62,616.28K,-0.88%
Feb 25  2016,24.86,25.37,25.51,24.45,614.54K,-2.78%
Feb 24  2016,25.57,24.90,25.68,24.50,990.38K,1.55%
Feb 23  2016,25.18,26.70,26.90,25.14,754.91K,-7.08%
Feb 22  2016,27.10,27.36,27.63,26.90,626.84K,1.16%
Feb 19  2016,26.79,26.50,27.02,25.87,768.76K,0.37%
Feb 18  2016,26.69,27.21,27.60,26.00,1.08M,-0.60%
Feb 17  2016,26.85,25.55,27.10,25.55,556.20K,5.92%
Feb 16  2016,25.35,26.00,26.22,25.11,628.17K,-0.55%
Feb 12  2016,25.49,25.91,26.10,25.00,1.59M,0.59%
Feb 11  2016,25.34,25.24,25.95,24.84,881.54K,-0.86%
Feb 10  2016,25.56,26.24,26.49,25.52,915.64K,-3.11%
Feb 09  2016,26.38,27.18,27.18,26.15,1.05M,-4.35%
Feb 08  2016,27.58,27.31,28.04,26.77,1.15M,0.29%
Feb 05  2016,27.50,26.88,27.58,26.27,416.33K,2.42%
Feb 04  2016,26.85,27.10,27.33,26.39,574.55K,1.82%
Feb 03  2016,26.37,26.37,26.50,25.23,1.38M,1.66%
Feb 02  2016,25.94,25.89,26.11,25.50,898.37K,-3.14%
Feb 01  2016,26.78,27.05,27.70,26.64,1.13M,-4.12%
Jan 29  2016,27.93,28.29,28.73,27.22,1.03M,-0.68%
Jan 28  2016,28.12,27.98,28.20,27.02,946.67K,3.80%
Jan 27  2016,27.09,26.45,27.82,26.14,1.11M,1.80%
Jan 26  2016,26.61,25.31,26.79,24.91,1.39M,7.56%
Jan 25  2016,24.74,25.45,26.00,24.42,1.72M,-5.03%
Jan 22  2016,26.05,25.95,26.05,24.84,2.03M,4.91%
Jan 21  2016,24.83,23.31,25.60,23.20,950.72K,6.11%
Jan 20  2016,23.40,21.83,23.52,21.14,1.40M,3.59%
Jan 19  2016,22.59,23.01,23.05,22.24,733.20K,0.40%
Jan 18  2016,22.50,22.17,22.62,22.17,220.01K,-0.49%
Jan 15  2016,22.61,22.45,23.06,21.90,798.97K,-3.50%
Jan 14  2016,23.43,22.22,23.82,22.09,1.22M,5.87%
Jan 13  2016,22.13,22.59,22.85,21.63,869.21K,0.68%
Jan 12  2016,21.98,22.51,22.71,21.22,804.37K,-2.18%
Jan 11  2016,22.47,22.81,22.97,22.09,712.48K,-1.66%
Jan 08  2016,22.85,23.06,23.20,21.77,774.40K,0.62%
Jan 07  2016,22.71,22.68,23.11,22.25,900.88K,-1.69%
Jan 06  2016,23.10,23.22,23.38,22.66,768.54K,-2.45%
Jan 05  2016,23.68,22.82,24.27,22.80,837.28K,5.01%
Jan 04  2016,22.55,22.56,22.87,21.80,678.74K,0.89%
Dec 31  2015,22.35,22.07,22.65,21.94,303.64K,1.59%
Dec 30  2015,22.00,22.54,22.77,21.84,416.20K,-3.13%
Dec 29  2015,22.71,22.86,23.06,22.01,575.96K,2.07%
Dec 24  2015,22.25,22.79,23.00,22.04,227.96K,-1.81%
Dec 23  2015,22.66,21.76,22.73,21.75,642.41K,5.49%
Dec 22  2015,21.48,21.92,22.10,21.23,1.48M,-2.54%
Dec 21  2015,22.04,21.45,22.05,21.40,763.32K,1.66%
Dec 18  2015,21.68,21.42,21.81,21.30,881.74K,1.40%
Dec 17  2015,21.38,21.19,21.60,20.83,693.17K,0.05%
Dec 16  2015,21.37,21.41,21.97,21.18,1.04M,0.14%
