Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,6.31,6.17,6.34,6.17,812.74K,1.94%
Apr 18  2016,6.19,5.97,6.27,5.97,1.86M,1.98%
Apr 15  2016,6.07,6.05,6.10,5.95,745.39K,0.17%
Apr 14  2016,6.06,6.18,6.21,6.06,513.63K,-1.94%
Apr 13  2016,6.18,6.24,6.28,6.16,507.89K,-0.96%
Apr 12  2016,6.24,6.09,6.27,6.08,1.06M,2.13%
Apr 11  2016,6.11,5.95,6.13,5.94,1.04M,2.52%
Apr 08  2016,5.96,5.89,5.99,5.86,404.19K,1.02%
Apr 07  2016,5.90,5.85,5.92,5.82,332.20K,0.51%
Apr 06  2016,5.87,5.94,5.96,5.82,599.68K,-1.84%
Apr 05  2016,5.98,5.91,6.02,5.87,484.56K,0.84%
Apr 04  2016,5.93,5.91,6.00,5.90,618.34K,-0.67%
Apr 01  2016,5.97,5.98,5.99,5.90,339.33K,-1.16%
Mar 31  2016,6.04,5.96,6.13,5.94,860.11K,1.34%
Mar 30  2016,5.96,5.93,6.04,5.88,709.22K,1.19%
Mar 29  2016,5.89,5.68,5.92,5.66,742.68K,2.79%
Mar 28  2016,5.73,5.71,5.75,5.61,525.50K,-0.17%
Mar 24  2016,5.74,5.69,5.79,5.68,583.48K,-0.69%
Mar 23  2016,5.78,5.92,5.95,5.75,773.81K,-3.34%
Mar 22  2016,5.98,5.92,6.02,5.86,811.75K,1.36%
Mar 21  2016,5.90,5.69,5.90,5.64,836.18K,4.98%
Mar 18  2016,5.62,5.73,5.76,5.54,7.01M,-1.58%
Mar 17  2016,5.71,5.87,5.87,5.68,1.11M,-2.39%
Mar 16  2016,5.85,5.99,6.00,5.74,1.94M,-2.66%
Mar 15  2016,6.01,6.04,6.06,5.94,1.04M,-1.31%
Mar 14  2016,6.09,5.97,6.10,5.94,936.60K,1.50%
Mar 11  2016,6.00,6.01,6.09,5.97,708.88K,0.67%
Mar 10  2016,5.96,6.06,6.12,5.95,1.50M,-2.13%
Mar 09  2016,6.09,5.93,6.18,5.92,1.34M,2.53%
Mar 08  2016,5.94,5.98,6.01,5.85,1.40M,-1.00%
Mar 07  2016,6.00,5.98,6.07,5.95,2.79M,0.17%
Mar 04  2016,5.99,6.01,6.07,5.98,1.16M,-0.33%
Mar 03  2016,6.01,5.98,6.20,5.94,1.60M,0.50%
Mar 02  2016,5.98,6.01,6.06,5.93,732.75K,-0.17%
Mar 01  2016,5.99,5.94,6.08,5.91,1.10M,1.01%
Feb 29  2016,5.93,5.85,5.97,5.85,2.38M,0.17%
Feb 26  2016,5.92,6.00,6.05,5.87,770.24K,-0.34%
Feb 25  2016,5.94,6.01,6.01,5.86,881.93K,-1.16%
Feb 24  2016,6.01,5.89,6.02,5.81,840.96K,1.18%
Feb 23  2016,5.94,5.88,5.95,5.77,1.18M,0.17%
Feb 22  2016,5.93,5.88,6.07,5.88,1.32M,2.07%
Feb 19  2016,5.81,5.67,5.87,5.55,1.37M,2.47%
Feb 18  2016,5.67,5.60,5.79,5.47,2.32M,-2.41%
Feb 17  2016,5.81,5.25,5.81,5.25,1.75M,16.43%
Feb 16  2016,4.99,4.93,5.04,4.85,933.44K,2.25%
Feb 12  2016,4.88,4.82,4.98,4.80,1.13M,1.67%
Feb 11  2016,4.80,4.96,4.96,4.73,929.23K,-4.00%
Feb 10  2016,5.00,5.18,5.20,4.99,616.58K,-3.47%
Feb 09  2016,5.18,5.45,5.48,5.17,1.23M,-5.47%
Feb 08  2016,5.48,5.37,5.56,5.19,2.45M,1.86%
Feb 05  2016,5.38,5.26,5.42,5.21,889.85K,1.89%
Feb 04  2016,5.28,5.10,5.35,5.10,1.42M,2.13%
Feb 03  2016,5.17,4.95,5.19,4.94,1.37M,4.44%
Feb 02  2016,4.95,4.84,4.96,4.67,804.05K,0.81%
Feb 01  2016,4.91,4.91,4.93,4.77,697.48K,-0.20%
Jan 29  2016,4.92,4.78,4.95,4.76,1.89M,4.02%
Jan 28  2016,4.73,4.59,4.75,4.56,2.64M,5.58%
Jan 27  2016,4.48,4.29,4.50,4.21,2.97M,5.66%
Jan 26  2016,4.24,4.20,4.25,4.13,1.23M,2.42%
Jan 25  2016,4.14,4.35,4.36,4.09,1.09M,-5.91%
Jan 22  2016,4.40,4.25,4.43,4.20,1.22M,6.28%
Jan 21  2016,4.14,3.91,4.17,3.85,1.75M,5.88%
Jan 20  2016,3.91,3.90,3.98,3.71,1.95M,-0.26%
Jan 19  2016,3.92,3.80,3.94,3.74,1.53M,3.16%
Jan 18  2016,3.80,3.68,3.81,3.60,893.94K,1.06%
Jan 15  2016,3.76,3.97,4.05,3.74,4.56M,-13.76%
Jan 14  2016,4.36,4.34,4.42,4.15,918.06K,-0.23%
Jan 13  2016,4.37,4.59,4.69,4.35,718.38K,-5.21%
Jan 12  2016,4.61,4.61,4.69,4.44,1.01M,1.77%
Jan 11  2016,4.53,4.50,4.53,4.38,936.42K,2.26%
Jan 08  2016,4.43,4.32,4.48,4.23,1.10M,4.73%
Jan 07  2016,4.23,4.51,4.68,4.23,1.29M,-8.64%
Jan 06  2016,4.63,4.68,4.82,4.62,808.03K,-1.70%
Jan 05  2016,4.71,4.89,4.92,4.68,556.16K,-3.48%
Jan 04  2016,4.88,4.81,4.94,4.76,700.95K,-0.61%
Dec 31  2015,4.91,4.87,4.94,4.78,538.95K,1.03%
Dec 30  2015,4.86,4.76,4.90,4.69,698.33K,2.75%
Dec 29  2015,4.73,4.99,4.99,4.73,677.50K,-5.02%
Dec 24  2015,4.98,4.82,4.99,4.75,565.15K,2.47%
Dec 23  2015,4.86,4.66,4.88,4.63,716.61K,5.19%
Dec 22  2015,4.62,4.71,4.79,4.62,1.10M,-3.35%
Dec 21  2015,4.78,4.85,4.95,4.75,1.15M,-1.44%
Dec 18  2015,4.85,4.70,4.86,4.66,2.52M,3.19%
Dec 17  2015,4.70,4.70,4.74,4.61,1.35M,1.51%
Dec 16  2015,4.63,4.36,4.67,4.29,3.02M,6.19%
Dec 15  2015,4.36,4.15,4.39,4.15,1.21M,5.57%
Dec 14  2015,4.13,4.26,4.28,4.10,1.24M,-1.90%
Dec 11  2015,4.21,4.25,4.29,4.16,912.50K,-0.71%
Dec 10  2015,4.24,4.26,4.33,4.16,1.55M,-1.17%
Dec 09  2015,4.29,4.32,4.54,4.25,1.23M,-1.38%
Dec 08  2015,4.35,4.56,4.60,4.31,2.39M,-7.45%
Dec 07  2015,4.70,4.85,4.87,4.68,1.35M,-4.08%
Dec 04  2015,4.90,5.01,5.03,4.87,1.48M,-2.97%
Dec 03  2015,5.05,5.06,5.12,4.96,1.56M,-0.39%
Dec 02  2015,5.07,5.29,5.30,5.06,1.77M,-4.34%
Dec 01  2015,5.30,5.42,5.49,5.29,1.65M,-1.30%
Nov 30  2015,5.37,5.64,5.65,5.33,14.11M,-3.42%
Nov 27  2015,5.56,5.75,5.75,5.55,1.03M,-4.47%
Nov 26  2015,5.82,5.66,5.82,5.63,852.07K,3.37%
Nov 25  2015,5.63,5.60,5.68,5.51,1.33M,0.90%
Nov 24  2015,5.58,6.20,6.20,5.55,3.13M,-6.38%
Nov 23  2015,5.96,5.73,6.25,5.73,3.41M,9.36%
Nov 20  2015,5.45,5.41,5.46,5.32,974.00K,2.06%
Nov 19  2015,5.34,5.69,5.71,5.25,1.85M,-6.64%
Nov 18  2015,5.72,5.74,5.87,5.68,855.40K,-0.17%
Nov 17  2015,5.73,5.90,6.00,5.68,1.15M,-4.02%
Nov 16  2015,5.97,5.75,6.00,5.72,986.00K,4.19%
Nov 13  2015,5.73,5.82,5.90,5.73,1.31M,-0.87%
Nov 12  2015,5.78,5.79,5.96,5.76,1.07M,0.35%
Nov 11  2015,5.76,5.96,6.00,5.74,1.57M,-3.84%
Nov 10  2015,5.99,6.13,6.14,5.90,873.74K,-1.80%
Nov 09  2015,6.10,6.09,6.21,6.04,787.13K,1.33%
Nov 06  2015,6.02,6.11,6.13,5.86,1.63M,-1.95%
Nov 05  2015,6.14,6.33,6.38,6.11,975.68K,-3.46%
Nov 04  2015,6.36,6.20,6.40,6.11,1.54M,2.58%
Nov 03  2015,6.20,6.21,6.28,6.07,2.84M,0.00%
Nov 02  2015,6.20,6.17,6.21,6.00,1.52M,1.64%
Oct 30  2015,6.10,6.20,6.20,5.96,2.13M,-0.81%
Oct 29  2015,6.15,6.37,6.37,6.01,1.70M,-3.45%
Oct 28  2015,6.37,6.44,6.54,6.32,797.67K,-0.78%
Oct 27  2015,6.42,6.58,6.64,6.37,878.40K,-3.75%
Oct 26  2015,6.67,6.91,6.94,6.64,955.45K,-3.47%
Oct 23  2015,6.91,7.08,7.08,6.90,1.07M,-1.29%
Oct 22  2015,7.00,6.88,7.05,6.83,1.77M,3.09%
Oct 21  2015,6.79,6.75,6.94,6.53,1.98M,1.34%
Oct 20  2015,6.70,6.71,6.88,6.66,1.26M,0.60%
Oct 19  2015,6.66,6.66,6.68,6.54,1.54M,0.15%
Oct 16  2015,6.65,6.70,6.76,6.63,939.22K,-0.15%
Oct 15  2015,6.66,6.81,6.88,6.62,1.16M,-2.06%
Oct 14  2015,6.80,6.81,6.94,6.76,1.02M,-0.29%
Oct 13  2015,6.82,7.08,7.14,6.81,1.35M,-3.40%
Oct 09  2015,7.06,7.07,7.16,6.99,1.42M,0.86%
Oct 08  2015,7.00,7.14,7.14,6.94,1.80M,-1.69%
Oct 07  2015,7.12,6.98,7.12,6.90,1.47M,3.94%
Oct 06  2015,6.85,6.89,6.93,6.79,2.25M,0.44%
Oct 05  2015,6.82,6.45,6.84,6.41,2.39M,5.74%
