Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,51.54,50.90,51.65,50.90,1.72M,0.88%
Apr 18  2016,51.09,49.99,51.21,49.69,2.38M,1.67%
Apr 15  2016,50.25,50.30,50.43,49.95,1.73M,-0.46%
Apr 14  2016,50.48,50.16,50.56,50.02,1.76M,0.82%
Apr 13  2016,50.07,50.55,50.65,49.92,1.77M,-0.18%
Apr 12  2016,50.16,50.41,50.57,49.84,2.03M,-0.50%
Apr 11  2016,50.41,50.45,50.75,50.20,1.40M,0.24%
Apr 08  2016,50.29,49.56,50.45,49.56,2.25M,1.93%
Apr 07  2016,49.34,48.91,49.41,48.91,1.28M,0.33%
Apr 06  2016,49.18,48.94,49.44,48.77,2.45M,0.72%
Apr 05  2016,48.83,49.30,49.45,48.46,2.11M,-1.23%
Apr 04  2016,49.44,49.70,49.83,49.44,3.06M,-0.30%
Apr 01  2016,49.59,49.91,50.15,49.30,4.29M,-2.88%
Mar 31  2016,51.06,50.63,51.55,50.12,3.35M,0.67%
Mar 30  2016,50.72,49.84,51.08,49.68,2.93M,2.34%
Mar 29  2016,49.56,49.20,49.82,49.11,1.97M,-1.08%
Mar 28  2016,50.10,50.17,50.29,49.54,1.75M,0.24%
Mar 24  2016,49.98,49.43,50.33,49.13,2.10M,0.62%
Mar 23  2016,49.67,49.74,49.77,49.24,1.81M,1.10%
Mar 22  2016,49.13,48.54,49.51,48.25,2.88M,1.42%
Mar 21  2016,48.44,48.86,49.17,48.36,1.54M,-1.30%
Mar 18  2016,49.08,48.00,49.55,48.00,11.03M,-0.69%
Mar 17  2016,49.42,48.46,49.64,48.15,1.40M,2.64%
Mar 16  2016,48.15,48.72,49.07,48.14,1.43M,-0.60%
Mar 15  2016,48.44,47.28,48.48,47.08,1.40M,2.09%
Mar 14  2016,47.45,47.41,47.57,46.81,1.71M,-0.29%
Mar 11  2016,47.59,47.85,47.98,47.16,2.07M,-0.08%
Mar 10  2016,47.63,48.50,50.90,46.84,4.57M,-3.19%
Mar 09  2016,49.20,49.95,50.09,49.08,2.05M,-0.71%
Mar 08  2016,49.55,49.40,49.89,49.37,1.35M,0.26%
Mar 07  2016,49.42,49.01,49.91,49.00,1.67M,0.24%
Mar 04  2016,49.30,49.61,49.65,49.04,963.53K,0.02%
Mar 03  2016,49.29,49.18,49.39,48.79,1.16M,0.76%
Mar 02  2016,48.92,49.30,49.41,48.11,2.16M,-0.71%
Mar 01  2016,49.27,50.06,50.11,49.14,1.46M,-0.77%
Feb 29  2016,49.65,49.69,50.11,49.32,1.53M,-0.06%
