Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,22.90,23.21,23.45,22.78,122.90K,-1.89%
Apr 18  2016,23.34,22.90,23.35,22.84,89.78K,1.83%
Apr 15  2016,22.92,22.84,22.95,22.82,46.75K,0.09%
Apr 14  2016,22.90,22.87,23.17,22.80,69.22K,0.22%
Apr 13  2016,22.85,22.71,22.87,22.42,202.77K,1.20%
Apr 12  2016,22.58,22.67,22.82,22.56,101.03K,-0.18%
Apr 11  2016,22.62,22.68,22.80,22.46,149.34K,0.85%
Apr 08  2016,22.43,22.62,22.69,22.34,98.18K,-0.18%
Apr 07  2016,22.47,22.46,22.65,22.22,140.19K,0.00%
Apr 06  2016,22.47,22.59,22.68,22.42,150.08K,0.00%
Apr 05  2016,22.47,22.14,22.61,21.96,179.70K,0.99%
Apr 04  2016,22.25,22.17,22.45,22.08,136.14K,0.72%
Apr 01  2016,22.09,22.25,22.37,21.83,247.09K,-1.07%
Mar 31  2016,22.33,22.30,22.52,22.10,255.11K,0.40%
Mar 30  2016,22.24,22.44,22.50,22.20,169.60K,-0.22%
Mar 29  2016,22.29,22.04,22.48,21.91,217.09K,1.50%
Mar 28  2016,21.96,21.73,22.07,21.62,78.61K,1.20%
Mar 24  2016,21.70,21.88,21.88,21.57,86.96K,-1.00%
Mar 23  2016,21.92,21.89,22.00,21.75,80.88K,-0.32%
Mar 22  2016,21.99,22.20,22.20,21.95,97.08K,-1.61%
Mar 21  2016,22.35,22.40,22.59,22.30,126.46K,0.00%
Mar 18  2016,22.35,22.22,22.70,22.17,267.28K,0.00%
Mar 17  2016,22.35,21.76,22.39,21.76,197.55K,2.81%
Mar 16  2016,21.74,22.00,22.02,21.64,148.52K,-1.54%
Mar 15  2016,22.08,22.45,22.45,21.87,110.68K,-1.74%
Mar 14  2016,22.47,22.57,22.99,22.41,138.19K,-0.58%
Mar 11  2016,22.60,22.31,22.70,22.22,181.97K,1.71%
Mar 10  2016,22.22,22.25,22.48,21.74,157.32K,0.27%
Mar 09  2016,22.16,22.03,22.20,21.75,220.98K,1.28%
Mar 08  2016,21.88,22.33,22.33,21.77,328.82K,-2.10%
Mar 07  2016,22.35,21.22,22.40,21.22,715.93K,5.42%
Mar 04  2016,21.20,21.13,21.60,21.11,280.35K,0.33%
Mar 03  2016,21.13,21.01,21.29,21.00,236.96K,0.00%
Mar 02  2016,21.13,21.13,21.41,21.09,125.08K,-0.42%
Mar 01  2016,21.22,21.62,21.66,20.93,393.23K,-1.67%
Feb 29  2016,21.58,21.71,21.95,21.51,177.61K,-0.28%
Feb 26  2016,21.64,21.32,21.97,21.32,121.68K,1.07%
Feb 25  2016,21.41,21.55,21.58,21.16,86.57K,-0.23%
Feb 24  2016,21.46,21.14,21.46,20.90,147.13K,1.13%
Feb 23  2016,21.22,21.48,21.59,21.15,180.42K,-0.84%
Feb 22  2016,21.40,21.26,21.61,21.18,173.32K,1.66%
Feb 19  2016,21.05,21.00,21.34,20.98,224.68K,-0.94%
Feb 18  2016,21.25,21.00,21.37,20.81,223.54K,1.19%
Feb 17  2016,21.00,20.60,21.13,20.50,324.70K,2.44%
Feb 16  2016,20.50,20.57,20.89,20.29,483.15K,0.89%
Feb 12  2016,20.32,20.27,21.10,19.27,922.35K,3.62%
Feb 11  2016,19.61,20.00,20.00,19.00,413.67K,-2.92%
Feb 10  2016,20.20,20.08,20.32,20.05,281.17K,1.00%
Feb 09  2016,20.00,19.66,20.08,19.50,536.80K,0.60%
Feb 08  2016,19.88,20.07,20.11,19.56,265.52K,-1.34%
Feb 05  2016,20.15,20.00,20.30,19.71,454.76K,0.85%
Feb 04  2016,19.98,19.31,20.42,19.20,776.19K,2.67%
Feb 03  2016,19.46,20.48,20.60,18.94,1.11M,-6.31%
Feb 02  2016,20.77,21.75,21.75,20.27,706.02K,-6.90%
Feb 01  2016,22.31,20.77,22.41,20.56,363.80K,6.24%
Jan 29  2016,21.00,20.81,21.05,20.35,898.05K,1.01%
Jan 28  2016,20.79,21.49,21.55,20.45,258.67K,-2.58%
Jan 27  2016,21.34,21.34,21.64,21.16,352.29K,-0.33%
Jan 26  2016,21.41,20.95,22.02,20.94,428.94K,2.24%
Jan 25  2016,20.94,21.14,21.43,20.91,155.45K,-1.32%
Jan 22  2016,21.22,21.24,21.39,20.90,516.98K,1.05%
Jan 21  2016,21.00,20.60,21.31,19.75,392.58K,1.79%
Jan 20  2016,20.63,20.30,20.83,19.50,712.86K,-1.20%
Jan 19  2016,20.88,21.23,21.72,20.33,436.81K,-1.65%
Jan 18  2016,21.23,21.50,21.74,21.06,160.27K,-1.71%
Jan 15  2016,21.60,21.75,21.98,21.23,178.72K,-2.48%
Jan 14  2016,22.15,21.87,22.30,21.46,308.69K,1.23%
Jan 13  2016,21.88,22.69,23.02,21.79,255.39K,-3.65%
Jan 12  2016,22.71,22.80,23.22,22.27,234.04K,-0.35%
Jan 11  2016,22.79,23.61,23.68,22.75,282.12K,-3.31%
Jan 08  2016,23.57,23.34,23.97,23.14,271.31K,1.59%
Jan 07  2016,23.20,23.59,23.59,23.00,529.50K,-1.99%
Jan 06  2016,23.67,23.09,23.72,22.95,213.96K,1.37%
Jan 05  2016,23.35,23.70,23.75,23.21,215.41K,-1.56%
Jan 04  2016,23.72,23.45,23.75,23.00,182.31K,0.47%
Dec 31  2015,23.61,23.90,23.98,23.54,110.45K,-1.34%
Dec 30  2015,23.93,24.03,24.04,23.82,92.23K,-0.29%
Dec 29  2015,24.00,23.99,24.08,23.70,204.44K,0.29%
Dec 24  2015,23.93,23.82,23.98,23.68,48.99K,0.67%
Dec 23  2015,23.77,23.86,23.97,23.60,165.83K,-0.38%
Dec 22  2015,23.86,23.93,24.00,23.56,117.78K,-0.17%
Dec 21  2015,23.90,23.85,24.13,23.78,131.58K,0.08%
Dec 18  2015,23.88,23.58,23.98,23.37,281.69K,0.97%
Dec 17  2015,23.65,23.75,24.04,23.58,173.76K,-0.25%
Dec 16  2015,23.71,23.01,23.75,23.01,193.26K,3.31%
Dec 15  2015,22.95,23.09,23.14,22.73,202.08K,1.10%
Dec 14  2015,22.70,22.84,22.98,22.58,228.31K,-1.35%
Dec 11  2015,23.01,22.92,23.14,22.85,163.58K,-0.52%
Dec 10  2015,23.13,23.15,23.30,22.76,209.93K,-0.26%
Dec 09  2015,23.19,23.05,23.61,23.00,114.64K,0.56%
Dec 08  2015,23.06,23.22,23.32,22.67,704.44K,-0.82%
Dec 07  2015,23.25,23.52,23.75,23.15,188.30K,-2.43%
Dec 04  2015,23.83,24.16,24.38,23.76,174.42K,-1.69%
Dec 03  2015,24.24,24.58,24.64,24.07,185.51K,-0.62%
Dec 02  2015,24.39,24.90,25.01,24.36,454.00K,-1.97%
Dec 01  2015,24.88,25.45,25.45,24.82,230.47K,-2.24%
Nov 30  2015,25.45,25.68,25.68,25.32,148.20K,-0.43%
Nov 27  2015,25.56,25.36,25.62,25.36,250.31K,0.71%
Nov 26  2015,25.38,25.40,25.58,25.23,37.52K,-0.08%
Nov 25  2015,25.40,25.11,25.50,25.10,124.52K,0.87%
Nov 24  2015,25.18,25.12,25.30,25.02,118.77K,-0.20%
Nov 23  2015,25.23,25.26,25.35,25.09,138.60K,-0.20%
Nov 20  2015,25.28,25.32,25.47,25.19,130.85K,0.20%
Nov 19  2015,25.23,25.40,25.40,25.00,178.40K,-0.04%
Nov 18  2015,25.24,24.84,25.37,24.84,264.93K,1.73%
Nov 17  2015,24.81,24.63,25.27,24.63,106.57K,0.73%
Nov 16  2015,24.63,24.37,24.66,24.37,114.44K,1.07%
Nov 13  2015,24.37,24.25,24.57,24.15,150.91K,0.79%
Nov 12  2015,24.18,24.60,24.60,23.90,179.20K,-2.07%
Nov 11  2015,24.69,25.01,25.13,24.66,175.49K,-1.40%
Nov 10  2015,25.04,24.97,25.13,24.62,120.49K,0.20%
Nov 09  2015,24.99,25.12,25.12,24.64,170.73K,-0.44%
Nov 06  2015,25.10,25.26,25.36,25.06,203.76K,-0.63%
Nov 05  2015,25.26,25.53,25.57,25.04,179.88K,-0.75%
Nov 04  2015,25.45,25.49,25.71,25.34,238.24K,0.35%
Nov 03  2015,25.36,25.40,25.44,25.21,205.67K,0.04%
Nov 02  2015,25.35,25.58,25.95,25.34,264.51K,-0.90%
Oct 30  2015,25.58,25.67,25.93,25.58,313.98K,0.00%
Oct 29  2015,25.58,26.60,26.60,25.06,547.14K,1.07%
Oct 28  2015,25.31,25.19,25.38,25.00,368.20K,0.96%
Oct 27  2015,25.07,26.79,26.79,24.97,564.58K,-7.01%
Oct 26  2015,26.96,26.01,27.18,25.87,696.10K,3.85%
Oct 23  2015,25.96,24.10,26.08,24.10,775.00K,8.17%
Oct 22  2015,24.00,24.12,24.25,23.87,456.67K,-0.50%
Oct 21  2015,24.12,24.84,25.02,24.12,293.51K,-2.82%
Oct 20  2015,24.82,24.98,25.52,24.75,179.34K,-0.52%
Oct 19  2015,24.95,24.65,24.99,24.37,128.77K,0.77%
Oct 16  2015,24.76,25.07,25.07,24.70,120.21K,-0.96%
Oct 15  2015,25.00,25.44,25.44,24.69,204.73K,-1.73%
Oct 14  2015,25.44,25.59,25.69,25.23,95.54K,-0.51%
Oct 13  2015,25.57,25.73,25.79,25.46,510.80K,-1.08%
Oct 09  2015,25.85,25.38,25.98,25.36,257.36K,2.17%
Oct 08  2015,25.30,25.22,25.31,25.01,207.21K,0.64%
Oct 07  2015,25.14,24.86,25.23,24.82,371.18K,1.91%
Oct 06  2015,24.67,24.90,25.00,24.64,226.12K,-1.00%
Oct 05  2015,24.92,24.50,25.05,24.50,173.20K,3.32%
Oct 02  2015,24.12,23.69,24.18,23.51,72.60K,1.22%
Oct 01  2015,23.83,23.98,24.06,23.55,178.70K,-0.25%
Sep 30  2015,23.89,23.68,23.96,23.51,171.45K,1.88%
Sep 29  2015,23.45,23.71,23.71,23.17,152.93K,-0.68%
Sep 28  2015,23.61,23.86,24.06,23.53,296.42K,-1.42%
Sep 25  2015,23.95,23.85,24.17,23.79,126.56K,1.01%
Sep 24  2015,23.71,23.81,23.94,23.37,155.02K,-0.13%
Sep 23  2015,23.74,24.38,24.38,23.49,130.56K,-1.90%
Sep 22  2015,24.20,24.19,24.25,24.00,128.74K,-0.25%
Sep 21  2015,24.26,24.12,24.51,23.98,143.70K,1.17%
Sep 18  2015,23.98,24.00,24.64,23.96,373.37K,-1.03%
Sep 17  2015,24.23,24.08,24.74,24.00,224.37K,0.17%
Sep 16  2015,24.19,23.74,24.32,23.58,160.89K,2.15%
Sep 15  2015,23.68,23.05,23.86,22.90,157.22K,2.11%
Sep 14  2015,23.19,23.49,23.49,22.91,179.13K,-1.32%
Sep 11  2015,23.50,23.69,23.83,23.23,191.80K,-1.26%
Sep 10  2015,23.80,23.51,23.98,23.48,126.59K,1.32%
Sep 09  2015,23.49,23.90,24.04,23.40,103.74K,-0.93%
Sep 08  2015,23.71,23.67,24.03,23.49,92.70K,1.32%
Sep 04  2015,23.40,23.15,23.56,23.05,87.37K,0.13%
Sep 03  2015,23.37,23.27,23.70,23.17,144.77K,0.13%
Sep 02  2015,23.34,23.56,23.65,23.17,115.18K,0.13%
Sep 01  2015,23.31,23.32,23.62,23.13,235.66K,-1.56%
Aug 31  2015,23.68,23.14,23.78,22.82,272.59K,2.47%
Aug 28  2015,23.11,23.25,23.66,23.02,148.35K,-0.82%
Aug 27  2015,23.30,22.87,23.30,22.80,265.20K,3.56%
Aug 26  2015,22.50,22.12,22.56,21.99,142.66K,2.23%
Aug 25  2015,22.01,21.86,22.87,21.86,254.44K,1.29%
Aug 24  2015,21.73,20.12,22.29,20.12,397.40K,-2.03%
Aug 21  2015,22.18,22.75,23.03,22.14,247.73K,-3.31%
Aug 20  2015,22.94,23.26,23.47,22.89,996.24K,-1.50%
Aug 19  2015,23.29,24.36,24.36,23.25,942.70K,-4.04%
Aug 18  2015,24.27,24.21,24.37,23.90,76.41K,0.29%
Aug 17  2015,24.20,24.42,24.52,24.10,393.15K,-0.82%
Aug 14  2015,24.40,24.14,24.61,24.14,835.80K,0.25%
Aug 13  2015,24.34,24.36,24.42,24.19,128.01K,-0.65%
Aug 12  2015,24.50,24.30,24.54,24.25,463.25K,0.41%
Aug 11  2015,24.40,24.47,24.57,24.30,297.38K,-0.49%
Aug 10  2015,24.52,24.55,24.57,24.30,220.69K,0.08%
Aug 07  2015,24.50,24.63,24.63,24.40,246.57K,0.00%
Aug 06  2015,24.50,24.78,24.81,24.30,150.56K,-0.97%
Aug 05  2015,24.74,25.22,25.22,24.68,235.53K,-1.32%
Aug 04  2015,25.07,25.04,25.16,24.91,220.05K,0.32%
Jul 31  2015,24.99,24.57,25.05,24.38,218.69K,1.63%
Jul 30  2015,24.59,24.40,24.79,24.05,160.34K,0.82%
Jul 29  2015,24.39,23.25,24.58,23.25,285.61K,5.22%
Jul 28  2015,23.18,23.31,23.32,22.98,922.01K,-0.26%
Jul 27  2015,23.24,23.75,23.97,23.05,431.54K,-3.53%
Jul 24  2015,24.09,23.83,24.97,23.46,435.36K,-0.70%
Jul 23  2015,24.26,24.50,24.81,24.14,184.37K,-1.26%
Jul 22  2015,24.57,24.88,24.88,24.44,173.45K,-1.72%
Jul 21  2015,25.00,24.98,25.06,24.47,154.35K,0.81%
Jul 20  2015,24.80,25.16,25.44,24.77,111.76K,-1.94%
Jul 17  2015,25.29,25.20,25.38,25.17,80.19K,0.32%
Jul 16  2015,25.21,25.16,25.28,24.96,140.11K,0.80%
Jul 15  2015,25.01,25.91,25.97,25.00,351.69K,-3.59%
Jul 14  2015,25.94,25.75,26.08,25.75,162.77K,0.39%
Jul 13  2015,25.84,25.93,26.15,25.79,186.82K,-0.50%
Jul 10  2015,25.97,25.87,26.15,25.69,324.71K,0.97%
Jul 09  2015,25.72,25.10,25.86,25.10,533.71K,2.84%
Jul 08  2015,25.01,25.47,25.47,24.93,252.15K,-1.84%
Jul 07  2015,25.48,25.27,25.55,24.83,370.26K,0.67%
Jul 06  2015,25.31,25.66,25.67,25.26,159.72K,-1.79%
Jul 03  2015,25.77,25.72,26.00,25.71,123.83K,0.35%
Jul 02  2015,25.68,25.30,25.72,25.30,200.72K,1.38%
Jun 30  2015,25.33,25.45,25.49,25.22,475.21K,0.08%
Jun 29  2015,25.31,25.43,25.43,25.10,346.83K,-1.63%
Jun 26  2015,25.73,26.14,26.14,25.60,449.12K,-1.38%
Jun 25  2015,26.09,26.23,26.42,25.94,183.85K,-0.04%
Jun 24  2015,26.10,25.99,26.21,25.97,132.35K,0.27%
Jun 23  2015,26.03,26.06,26.19,25.96,181.60K,0.08%
Jun 22  2015,26.01,25.95,26.11,25.82,158.31K,0.97%
Jun 19  2015,25.76,25.62,26.00,25.59,227.14K,0.43%
Jun 18  2015,25.65,25.30,25.66,25.30,146.58K,1.26%
Jun 17  2015,25.33,25.66,25.77,25.27,166.45K,-0.94%
Jun 16  2015,25.57,25.40,25.67,25.35,988.33K,0.31%
Jun 15  2015,25.49,25.48,25.67,25.45,269.24K,-0.55%
Jun 12  2015,25.63,25.69,25.77,25.50,337.95K,-0.50%
Jun 11  2015,25.76,26.26,26.27,25.76,146.15K,-1.49%
Jun 10  2015,26.15,26.26,26.32,26.13,394.52K,-0.42%
Jun 09  2015,26.26,26.04,26.32,25.86,119.33K,0.46%
Jun 08  2015,26.14,26.38,26.49,26.04,200.19K,-1.40%
Jun 05  2015,26.51,26.29,26.63,26.25,127.82K,0.72%
Jun 04  2015,26.32,26.55,26.67,26.28,206.16K,-0.98%
Jun 03  2015,26.58,26.85,27.08,26.47,188.11K,-1.12%
Jun 02  2015,26.88,26.64,27.29,26.64,178.33K,0.30%
Jun 01  2015,26.80,26.50,26.81,26.50,1.09M,0.94%
May 29  2015,26.55,26.88,27.05,26.41,203.55K,-1.19%
May 28  2015,26.87,27.09,27.19,26.82,139.01K,-1.10%
May 27  2015,27.17,26.73,27.38,26.73,219.02K,1.57%
May 26  2015,26.75,27.20,27.22,26.63,303.27K,-1.91%
May 25  2015,27.27,27.30,27.30,27.19,57.12K,-0.07%
May 22  2015,27.29,27.39,27.40,27.18,430.42K,-0.26%
May 21  2015,27.36,27.32,27.46,27.23,163.56K,-0.44%
May 20  2015,27.48,27.75,27.75,27.38,187.54K,-1.08%
May 19  2015,27.78,27.76,27.87,27.71,162.78K,0.14%
May 15  2015,27.74,27.69,27.95,27.40,341.14K,0.11%
May 14  2015,27.71,27.20,27.80,27.16,177.86K,1.91%
May 13  2015,27.19,27.56,27.64,27.09,277.69K,-1.13%
May 12  2015,27.50,27.64,27.80,27.42,288.63K,-0.90%
May 11  2015,27.75,27.85,28.11,27.60,286.95K,-0.43%
May 08  2015,27.87,27.61,28.08,27.61,161.07K,1.09%
May 07  2015,27.57,27.30,27.57,27.05,447.29K,0.99%
