Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,20.46,20.44,20.61,20.39,81.84K,0.29%
Apr 18  2016,20.40,20.43,20.51,20.29,107.67K,-0.44%
Apr 15  2016,20.49,20.00,20.51,19.88,82.70K,2.55%
Apr 14  2016,19.98,19.85,20.15,19.72,135.73K,0.86%
Apr 13  2016,19.81,20.21,20.26,19.75,195.82K,-1.98%
Apr 12  2016,20.21,20.45,20.54,20.21,162.83K,-1.41%
Apr 11  2016,20.50,20.68,20.70,20.35,144.17K,-0.63%
Apr 08  2016,20.63,20.80,20.80,20.46,89.15K,-0.58%
Apr 07  2016,20.75,20.71,20.84,20.64,42.23K,-0.24%
Apr 06  2016,20.80,20.75,20.83,20.69,125.91K,0.10%
Apr 05  2016,20.78,20.42,20.89,20.25,218.49K,1.17%
Apr 04  2016,20.54,20.75,20.75,20.26,80.19K,-1.11%
Apr 01  2016,20.77,20.54,20.83,20.42,254.60K,0.92%
Mar 31  2016,20.58,20.35,20.60,20.28,231.09K,1.03%
Mar 30  2016,20.37,20.30,20.45,20.16,210.67K,0.44%
Mar 29  2016,20.28,20.08,20.31,19.96,106.11K,0.90%
Mar 28  2016,20.10,20.02,20.17,19.98,268.67K,0.85%
Mar 24  2016,19.93,20.26,20.30,19.88,187.30K,-1.77%
Mar 23  2016,20.29,20.27,20.35,20.21,219.32K,0.10%
Mar 22  2016,20.27,20.33,20.39,20.26,240.72K,-0.20%
Mar 21  2016,20.31,20.22,20.43,20.16,54.69K,0.89%
Mar 18  2016,20.13,20.97,20.97,20.10,234.06K,-2.94%
Mar 17  2016,20.74,20.22,20.86,20.11,200.71K,2.67%
Mar 16  2016,20.20,20.06,20.28,19.99,74.85K,0.60%
Mar 15  2016,20.08,20.11,20.32,19.77,124.61K,-0.30%
Mar 14  2016,20.14,20.13,20.32,20.01,100.47K,0.00%
Mar 11  2016,20.14,20.06,20.26,20.04,104.08K,1.36%
Mar 10  2016,19.87,20.18,20.50,19.80,178.11K,-0.85%
Mar 09  2016,20.04,19.90,20.50,19.64,202.90K,1.11%
Mar 08  2016,19.82,19.97,19.97,19.54,76.57K,-0.10%
