Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.86,8.82,8.93,8.75,403.22K,0.57%
Apr 18  2016,8.81,8.72,8.83,8.71,371.78K,0.80%
Apr 15  2016,8.74,8.50,8.78,8.49,413.16K,3.19%
Apr 14  2016,8.47,8.88,8.88,8.37,569.45K,-4.62%
Apr 13  2016,8.88,8.76,9.08,8.75,508.95K,1.37%
Apr 12  2016,8.76,8.64,8.77,8.58,275.23K,1.98%
Apr 11  2016,8.59,8.72,8.74,8.51,236.72K,-1.15%
Apr 08  2016,8.69,8.66,8.72,8.62,202.86K,0.46%
Apr 07  2016,8.65,8.70,8.72,8.61,230.44K,-0.92%
Apr 06  2016,8.73,8.71,8.81,8.70,183.69K,-0.34%
Apr 05  2016,8.76,8.75,8.85,8.70,467.68K,-0.34%
Apr 04  2016,8.79,8.87,8.89,8.71,278.24K,-1.01%
Apr 01  2016,8.88,8.96,9.01,8.83,436.78K,-1.66%
Mar 31  2016,9.03,8.75,9.07,8.75,296.25K,2.85%
Mar 30  2016,8.78,8.73,8.82,8.62,389.67K,1.04%
Mar 29  2016,8.69,8.46,8.73,8.36,389.07K,2.72%
Mar 28  2016,8.46,8.48,8.48,8.38,92.58K,0.00%
Mar 24  2016,8.46,8.51,8.51,8.36,60.19K,-0.94%
Mar 23  2016,8.54,8.68,8.70,8.53,110.47K,-2.18%
Mar 22  2016,8.73,8.80,8.80,8.60,280.44K,-0.80%
Mar 21  2016,8.80,8.76,8.81,8.68,124.81K,0.57%
Mar 18  2016,8.75,8.60,8.75,8.51,362.99K,2.58%
Mar 17  2016,8.53,8.46,8.55,8.43,210.78K,1.55%
Mar 16  2016,8.40,8.34,8.48,8.31,564.02K,0.72%
Mar 15  2016,8.34,8.34,8.39,8.30,127.58K,-0.48%
Mar 14  2016,8.38,8.48,8.49,8.30,393.46K,-0.71%
Mar 11  2016,8.44,8.67,8.67,8.36,324.62K,-1.75%
Mar 10  2016,8.59,8.48,8.92,8.47,622.06K,3.62%
Mar 09  2016,8.29,8.61,8.69,8.25,233.48K,-2.93%
Mar 08  2016,8.54,8.47,8.67,8.44,509.46K,0.95%
Mar 07  2016,8.46,8.32,8.49,8.28,222.48K,1.93%
Mar 04  2016,8.30,8.05,8.32,8.05,345.54K,3.36%
Mar 03  2016,8.03,7.77,8.06,7.77,624.30K,3.21%
Mar 02  2016,7.78,7.88,7.88,7.78,174.27K,-0.64%
Mar 01  2016,7.83,7.87,7.90,7.79,371.51K,-0.51%
Feb 29  2016,7.87,7.72,7.88,7.72,384.64K,1.81%
Feb 26  2016,7.73,7.87,7.92,7.71,246.18K,-1.40%
Feb 25  2016,7.84,7.98,7.99,7.79,171.03K,-1.63%
Feb 24  2016,7.97,7.93,7.99,7.75,432.34K,-1.12%
Feb 23  2016,8.06,8.07,8.14,7.97,127.75K,0.00%
Feb 22  2016,8.06,7.97,8.14,7.97,254.24K,0.75%
Feb 19  2016,8.00,7.92,8.07,7.83,162.88K,0.63%
Feb 18  2016,7.95,8.05,8.12,7.95,273.46K,-1.49%
Feb 17  2016,8.07,8.05,8.22,8.04,309.76K,1.13%
Feb 16  2016,7.98,7.92,8.00,7.78,176.15K,2.57%
Feb 12  2016,7.78,7.73,7.81,7.61,360.32K,2.10%
Feb 11  2016,7.62,7.81,7.81,7.53,343.19K,-3.91%
Feb 10  2016,7.93,8.02,8.15,7.91,168.78K,0.00%
Feb 09  2016,7.93,8.03,8.05,7.90,181.12K,-1.25%
Feb 08  2016,8.03,8.30,8.34,7.95,228.76K,-3.37%
Feb 05  2016,8.31,8.22,8.33,8.21,206.84K,0.85%
Feb 04  2016,8.24,8.41,8.45,8.22,206.40K,-1.44%
Feb 03  2016,8.36,8.28,8.38,8.15,207.26K,1.83%
Feb 02  2016,8.21,8.48,8.48,8.20,170.48K,-4.09%
Feb 01  2016,8.56,8.67,8.67,8.47,130.44K,0.12%
Jan 29  2016,8.55,8.60,8.67,8.50,277.50K,0.12%
Jan 28  2016,8.54,8.38,8.58,8.34,259.57K,2.40%
Jan 27  2016,8.34,8.35,8.50,8.29,246.74K,0.12%
Jan 26  2016,8.33,8.29,8.44,8.25,246.52K,0.73%
Jan 25  2016,8.27,8.59,8.59,8.22,466.98K,-4.28%
Jan 22  2016,8.64,8.88,8.88,8.57,305.12K,-1.03%
Jan 21  2016,8.73,8.43,8.90,8.43,406.35K,2.83%
Jan 20  2016,8.49,8.23,8.54,8.23,713.53K,0.59%
Jan 19  2016,8.44,8.20,8.53,8.15,1.22M,3.56%
Jan 18  2016,8.15,8.27,8.29,8.08,185.54K,-1.45%
Jan 15  2016,8.27,8.14,8.27,8.05,319.30K,-0.24%
Jan 14  2016,8.29,8.06,8.31,7.88,621.55K,2.73%
Jan 13  2016,8.07,8.28,8.38,8.01,387.73K,-2.54%
Jan 12  2016,8.28,8.44,8.54,8.21,380.63K,-0.84%
Jan 11  2016,8.35,8.51,8.58,8.30,260.98K,-1.88%
Jan 08  2016,8.51,8.60,8.71,8.43,510.85K,-0.23%
Jan 07  2016,8.53,8.67,8.71,8.49,331.79K,-2.85%
Jan 06  2016,8.78,8.72,8.89,8.69,419.11K,-0.90%
Jan 05  2016,8.86,9.12,9.18,8.79,863.71K,-2.53%
Jan 04  2016,9.09,8.96,9.18,8.93,156.81K,0.33%
Dec 31  2015,9.06,9.30,9.30,9.04,127.25K,-2.48%
Dec 30  2015,9.29,9.35,9.39,9.26,77.78K,-0.11%
Dec 29  2015,9.30,9.47,9.47,9.19,89.02K,-1.90%
Dec 24  2015,9.48,9.48,9.50,9.32,89.62K,0.85%
Dec 23  2015,9.40,9.35,9.47,9.31,139.35K,1.29%
Dec 22  2015,9.28,9.32,9.32,9.15,141.22K,0.54%
Dec 21  2015,9.23,9.39,9.49,9.13,216.97K,-1.49%
Dec 18  2015,9.37,9.40,9.50,9.27,756.60K,0.00%
Dec 17  2015,9.37,9.44,9.51,9.29,410.66K,-0.74%
Dec 16  2015,9.44,9.50,9.59,9.38,204.27K,-0.94%
Dec 15  2015,9.53,9.39,9.63,9.35,320.15K,1.49%
Dec 14  2015,9.39,9.40,9.48,9.30,384.69K,-0.11%
Dec 11  2015,9.40,9.50,9.55,9.36,356.60K,-1.36%
Dec 10  2015,9.53,9.51,9.63,9.48,146.38K,0.11%
Dec 09  2015,9.52,9.53,9.74,9.42,562.21K,0.21%
Dec 08  2015,9.50,9.48,9.52,9.32,231.22K,0.21%
Dec 07  2015,9.48,9.63,9.66,9.43,246.72K,-2.27%
Dec 04  2015,9.70,9.75,9.75,9.59,346.55K,-0.31%
Dec 03  2015,9.73,9.73,9.83,9.64,1.70M,0.00%
Dec 02  2015,9.73,9.89,9.94,9.70,797.53K,-1.42%
Dec 01  2015,9.87,9.73,9.94,9.73,401.82K,1.44%
Nov 30  2015,9.73,9.91,9.93,9.69,501.00K,-1.82%
Nov 27  2015,9.91,9.51,9.93,9.51,466.61K,3.44%
Nov 26  2015,9.58,9.79,9.80,9.54,156.61K,-2.24%
Nov 25  2015,9.80,9.72,9.92,9.72,332.52K,0.93%
Nov 24  2015,9.71,9.63,9.86,9.63,165.96K,0.00%
Nov 23  2015,9.71,9.80,9.82,9.68,178.43K,-1.22%
Nov 20  2015,9.83,10.00,10.01,9.78,268.14K,-1.70%
Nov 19  2015,10.00,10.12,10.19,9.96,480.93K,-1.67%
Nov 18  2015,10.17,10.11,10.21,10.05,427.04K,1.40%
Nov 17  2015,10.03,10.09,10.12,10.02,435.07K,0.00%
Nov 16  2015,10.03,10.00,10.10,9.91,526.68K,1.11%
Nov 13  2015,9.92,10.67,10.67,9.88,450.19K,-6.50%
Nov 12  2015,10.61,10.77,10.77,10.54,265.91K,-1.03%
Nov 11  2015,10.72,10.74,10.78,10.67,120.72K,0.28%
Nov 10  2015,10.69,10.59,10.71,10.45,152.42K,0.56%
Nov 09  2015,10.63,10.94,10.94,10.55,179.57K,-2.30%
Nov 06  2015,10.88,10.89,10.95,10.84,125.40K,-0.55%
Nov 05  2015,10.94,10.94,10.99,10.85,232.96K,0.64%
Nov 04  2015,10.87,10.77,10.89,10.71,197.01K,0.74%
Nov 03  2015,10.79,10.79,10.83,10.75,101.51K,-0.09%
Nov 02  2015,10.80,10.75,10.85,10.63,230.07K,1.03%
Oct 30  2015,10.69,10.75,10.79,10.68,142.55K,-0.47%
Oct 29  2015,10.74,10.83,10.90,10.65,270.15K,-0.65%
Oct 28  2015,10.81,10.64,10.85,10.63,135.68K,1.79%
Oct 27  2015,10.62,10.72,10.77,10.56,413.90K,-1.12%
Oct 26  2015,10.74,10.78,10.90,10.72,227.08K,-0.28%
Oct 23  2015,10.77,10.99,11.09,10.75,262.98K,-1.46%
Oct 22  2015,10.93,10.65,10.97,10.63,139.33K,2.34%
Oct 21  2015,10.68,10.71,10.78,10.60,221.10K,-0.37%
Oct 20  2015,10.72,10.92,10.92,10.63,135.40K,-0.65%
Oct 19  2015,10.79,10.75,10.88,10.67,219.69K,-0.09%
Oct 16  2015,10.80,10.88,10.93,10.79,70.05K,0.00%
Oct 15  2015,10.80,10.71,10.84,10.66,177.37K,1.60%
Oct 14  2015,10.63,10.82,10.82,10.59,281.43K,-2.39%
Oct 13  2015,10.89,10.79,10.98,10.79,93.38K,-0.82%
Oct 09  2015,10.98,11.01,11.08,10.88,440.04K,0.09%
Oct 08  2015,10.97,10.80,11.01,10.76,348.79K,1.57%
Oct 07  2015,10.80,10.70,10.87,10.66,606.34K,1.60%
Oct 06  2015,10.63,10.69,10.77,10.59,584.35K,-0.93%
Oct 05  2015,10.73,10.57,10.81,10.54,304.27K,2.00%
Oct 02  2015,10.52,10.24,10.53,10.22,263.27K,1.54%
Oct 01  2015,10.36,10.30,10.38,10.13,332.20K,0.68%
Sep 30  2015,10.29,10.04,10.29,9.81,435.24K,3.00%
Sep 29  2015,9.99,10.21,10.22,9.95,815.14K,-1.67%
Sep 28  2015,10.16,10.21,10.29,10.11,341.51K,-1.55%
Sep 25  2015,10.32,10.47,10.54,10.29,218.69K,-1.34%
Sep 24  2015,10.46,10.45,10.50,10.33,594.68K,-0.19%
Sep 23  2015,10.48,10.72,10.72,10.46,183.94K,-2.60%
Sep 22  2015,10.76,10.91,10.97,10.61,339.08K,-2.54%
Sep 21  2015,11.04,10.96,11.10,10.85,337.41K,1.19%
Sep 18  2015,10.91,11.15,11.25,10.91,6.75M,-2.94%
Sep 17  2015,11.24,11.16,11.30,11.14,374.83K,1.17%
Sep 16  2015,11.11,11.25,11.25,11.05,185.16K,-1.07%
Sep 15  2015,11.23,11.05,11.24,10.97,215.55K,1.35%
Sep 14  2015,11.08,11.10,11.20,11.00,293.24K,0.00%
Sep 11  2015,11.08,11.10,11.17,11.00,173.21K,-0.72%
Sep 10  2015,11.16,11.16,11.30,11.07,142.37K,-0.80%
Sep 09  2015,11.25,11.40,11.41,11.20,577.36K,-0.27%
Sep 08  2015,11.28,11.36,11.44,11.23,200.40K,0.71%
Sep 04  2015,11.20,11.34,11.35,11.17,272.64K,-1.58%
Sep 03  2015,11.38,11.39,11.58,11.34,346.27K,-0.61%
