Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,2.26,2.12,2.27,2.12,1.31M,8.65%
Apr 18  2016,2.08,1.84,2.11,1.83,883.83K,6.12%
Apr 15  2016,1.96,1.90,1.96,1.90,356.36K,1.03%
Apr 14  2016,1.94,1.90,1.98,1.88,614.71K,1.57%
Apr 13  2016,1.91,2.04,2.09,1.91,913.83K,-4.50%
Apr 12  2016,2.00,1.88,2.04,1.88,1.16M,6.95%
Apr 11  2016,1.87,1.68,1.89,1.68,1.10M,14.02%
Apr 08  2016,1.64,1.64,1.67,1.62,520.56K,3.14%
Apr 07  2016,1.59,1.61,1.64,1.58,420.89K,-2.45%
Apr 06  2016,1.63,1.60,1.64,1.58,620.53K,3.16%
Apr 05  2016,1.58,1.56,1.59,1.53,272.27K,1.28%
Apr 04  2016,1.56,1.65,1.65,1.56,447.62K,-3.70%
Apr 01  2016,1.62,1.60,1.63,1.55,483.19K,0.00%
Mar 31  2016,1.62,1.65,1.66,1.60,420.33K,-0.61%
Mar 30  2016,1.63,1.69,1.72,1.61,1.11M,-1.81%
Mar 29  2016,1.66,1.60,1.66,1.54,811.53K,2.47%
Mar 28  2016,1.62,1.70,1.70,1.60,356.63K,-1.82%
Mar 24  2016,1.65,1.60,1.68,1.59,359.79K,1.85%
Mar 23  2016,1.62,1.77,1.77,1.62,674.51K,-8.99%
Mar 22  2016,1.78,1.82,1.83,1.76,457.28K,-3.78%
Mar 21  2016,1.85,1.90,1.93,1.83,830.14K,-1.07%
Mar 18  2016,1.87,1.82,2.04,1.77,19.21M,3.89%
Mar 17  2016,1.80,1.78,1.83,1.73,973.52K,4.65%
Mar 16  2016,1.72,1.78,1.79,1.70,1.51M,0.00%
Mar 15  2016,1.72,1.78,1.78,1.65,1.03M,-5.49%
Mar 14  2016,1.82,1.82,1.85,1.75,970.70K,-4.21%
Mar 11  2016,1.90,1.87,1.91,1.80,889.74K,3.83%
Mar 10  2016,1.83,1.87,1.89,1.76,416.34K,-0.54%
Mar 09  2016,1.84,1.85,1.88,1.75,1.15M,1.10%
Mar 08  2016,1.82,1.94,1.94,1.76,736.69K,-6.19%
Mar 07  2016,1.94,2.18,2.18,1.93,1.34M,-3.96%
Mar 04  2016,2.02,1.77,2.08,1.77,1.53M,14.12%
Mar 03  2016,1.77,1.80,1.83,1.69,1.62M,5.99%
Mar 02  2016,1.67,1.56,1.68,1.56,431.26K,5.70%
Mar 01  2016,1.58,1.51,1.65,1.50,595.23K,6.04%
Feb 29  2016,1.49,1.52,1.55,1.48,497.70K,-1.32%
Feb 26  2016,1.51,1.56,1.62,1.50,553.32K,0.67%
Feb 25  2016,1.50,1.54,1.55,1.47,823.57K,-3.23%
Feb 24  2016,1.55,1.57,1.57,1.49,277.16K,-2.52%
Feb 23  2016,1.59,1.67,1.73,1.59,297.59K,-8.09%
Feb 22  2016,1.73,1.75,1.82,1.73,485.28K,2.98%
Feb 19  2016,1.68,1.65,1.71,1.63,272.55K,-1.18%
Feb 18  2016,1.70,1.70,1.74,1.68,362.72K,0.00%
Feb 17  2016,1.70,1.57,1.71,1.56,675.82K,9.68%
Feb 16  2016,1.55,1.56,1.59,1.51,335.70K,1.97%
Feb 12  2016,1.52,1.56,1.59,1.49,318.37K,0.66%
Feb 11  2016,1.51,1.46,1.53,1.41,763.10K,1.34%
Feb 10  2016,1.49,1.49,1.61,1.49,388.65K,-1.97%
Feb 09  2016,1.52,1.56,1.58,1.49,634.71K,-4.40%
Feb 08  2016,1.59,1.68,1.69,1.56,285.77K,-5.92%
Feb 05  2016,1.69,1.68,1.76,1.67,262.12K,-1.74%
Feb 04  2016,1.72,1.73,1.79,1.67,525.35K,-0.58%
Feb 03  2016,1.73,1.67,1.75,1.61,445.48K,4.22%
Feb 02  2016,1.66,1.70,1.70,1.61,468.96K,-6.74%
Feb 01  2016,1.78,1.90,1.90,1.75,301.33K,-9.18%
Jan 29  2016,1.96,1.94,1.98,1.81,458.71K,3.16%
Jan 28  2016,1.90,1.84,1.94,1.81,438.09K,5.56%
Jan 27  2016,1.80,1.75,1.87,1.75,268.65K,0.56%
Jan 26  2016,1.79,1.67,1.80,1.64,172.35K,6.55%
Jan 25  2016,1.68,1.82,1.85,1.62,302.81K,-7.69%
