Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,3.75,3.65,3.77,3.64,1.16M,4.46%
Apr 18  2016,3.59,3.46,3.64,3.44,384.73K,2.57%
Apr 15  2016,3.50,3.53,3.58,3.47,450.50K,-1.69%
Apr 14  2016,3.56,3.60,3.63,3.46,824.24K,-0.28%
Apr 13  2016,3.57,3.42,3.66,3.42,1.22M,5.31%
Apr 12  2016,3.39,3.32,3.40,3.30,1.13M,2.73%
Apr 11  2016,3.30,3.34,3.42,3.29,669.66K,0.00%
Apr 08  2016,3.30,3.27,3.37,3.25,547.78K,1.85%
Apr 07  2016,3.24,3.29,3.31,3.23,410.28K,-1.82%
Apr 06  2016,3.30,3.29,3.30,3.22,685.73K,-0.30%
Apr 05  2016,3.31,3.33,3.40,3.28,456.78K,-0.90%
Apr 04  2016,3.34,3.43,3.44,3.33,499.83K,-2.62%
Apr 01  2016,3.43,3.27,3.44,3.23,777.43K,3.31%
Mar 31  2016,3.32,3.31,3.37,3.29,1.09M,0.00%
Mar 30  2016,3.32,3.48,3.51,3.30,885.45K,-3.77%
Mar 29  2016,3.45,3.37,3.46,3.30,524.97K,1.77%
Mar 28  2016,3.39,3.46,3.47,3.32,308.80K,-2.02%
Mar 24  2016,3.46,3.33,3.51,3.26,1.55M,2.98%
Mar 23  2016,3.36,3.60,3.63,3.34,896.26K,-6.93%
Mar 22  2016,3.61,3.70,3.70,3.60,736.30K,-1.37%
Mar 21  2016,3.66,3.80,3.81,3.62,517.41K,-1.35%
Mar 18  2016,3.71,3.99,3.99,3.62,2.26M,-3.89%
Mar 17  2016,3.86,3.79,3.89,3.77,1.38M,3.21%
Mar 16  2016,3.74,3.71,3.78,3.64,1.24M,2.19%
Mar 15  2016,3.66,3.66,3.71,3.58,1.02M,-1.08%
Mar 14  2016,3.70,3.69,3.74,3.63,1.04M,1.93%
Mar 11  2016,3.63,3.67,3.70,3.61,564.94K,0.28%
Mar 10  2016,3.62,3.57,3.67,3.55,768.41K,1.69%
Mar 09  2016,3.56,3.69,3.69,3.56,1.37M,-1.11%
Mar 08  2016,3.60,3.55,3.70,3.53,2.59M,0.00%
Mar 07  2016,3.60,3.55,3.74,3.54,1.08M,2.56%
Mar 04  2016,3.51,3.46,3.61,3.44,2.13M,2.33%
Mar 03  2016,3.43,3.46,3.57,3.39,1.48M,-1.72%
Mar 02  2016,3.49,3.12,3.49,3.12,2.08M,11.86%
Mar 01  2016,3.12,3.04,3.12,3.00,1.19M,4.35%
Feb 29  2016,2.99,3.03,3.10,2.95,1.08M,-0.66%
Feb 26  2016,3.01,2.90,3.12,2.87,1.22M,4.88%
Feb 25  2016,2.87,2.89,2.92,2.83,764.65K,-1.37%
Feb 24  2016,2.91,2.89,2.97,2.80,1.16M,-1.02%
Feb 23  2016,2.94,3.03,3.09,2.89,759.44K,-3.61%
Feb 22  2016,3.05,2.99,3.11,2.97,1.06M,3.39%
Feb 19  2016,2.95,2.99,3.01,2.87,801.29K,0.00%
Feb 18  2016,2.95,2.92,3.00,2.86,1.32M,1.03%
Feb 17  2016,2.92,2.80,2.96,2.71,1.58M,5.42%
Feb 16  2016,2.77,3.06,3.06,2.66,1.46M,2.97%
Feb 12  2016,2.69,2.79,2.80,2.64,932.26K,-1.10%
Feb 11  2016,2.72,2.67,2.75,2.59,1.25M,1.12%
Feb 10  2016,2.69,2.77,2.79,2.65,572.35K,-2.18%
Feb 09  2016,2.75,2.80,2.80,2.68,1.03M,-2.48%
Feb 08  2016,2.82,2.90,2.90,2.80,1.08M,-3.09%
Feb 05  2016,2.91,2.89,2.95,2.82,1.22M,0.69%
Feb 04  2016,2.89,2.86,2.98,2.84,1.87M,1.76%
Feb 03  2016,2.84,2.77,2.87,2.74,1.44M,1.79%
Feb 02  2016,2.79,2.88,2.88,2.72,1.06M,-2.45%
Feb 01  2016,2.86,3.02,3.08,2.83,1.42M,-2.39%
Jan 29  2016,2.93,2.73,2.93,2.69,1.91M,8.92%
Jan 28  2016,2.69,2.67,2.71,2.61,1.00M,2.67%
Jan 27  2016,2.62,2.61,2.67,2.56,1.06M,-1.50%
Jan 26  2016,2.66,2.60,2.66,2.52,801.17K,4.72%
Jan 25  2016,2.54,2.57,2.58,2.48,851.47K,-0.39%
Jan 22  2016,2.55,2.67,2.67,2.48,1.44M,-0.78%
Jan 21  2016,2.57,2.53,2.66,2.48,1.23M,1.58%
Jan 20  2016,2.53,2.45,2.53,2.30,1.54M,0.80%
Jan 19  2016,2.51,2.48,2.60,2.47,2.81M,2.45%
Jan 18  2016,2.45,2.58,2.58,2.41,2.39M,-5.77%
Jan 15  2016,2.60,2.52,2.64,2.39,2.07M,-1.14%
Jan 14  2016,2.63,2.66,2.69,2.52,1.62M,-0.38%
Jan 13  2016,2.64,2.73,2.81,2.63,622.11K,-2.58%
Jan 12  2016,2.71,2.83,2.86,2.66,1.01M,-3.21%
Jan 11  2016,2.80,3.01,3.01,2.75,1.20M,-7.89%
Jan 08  2016,3.04,3.09,3.13,3.02,709.79K,-0.98%
Jan 07  2016,3.07,3.21,3.21,3.04,1.21M,-5.25%
Jan 06  2016,3.24,3.41,3.44,3.23,1.39M,-5.54%
Jan 05  2016,3.43,3.46,3.51,3.42,2.36M,-0.87%
Jan 04  2016,3.46,3.48,3.49,3.40,1.43M,-1.42%
Dec 31  2015,3.51,3.43,3.58,3.42,901.56K,0.29%
Dec 30  2015,3.50,3.50,3.58,3.47,821.01K,-0.85%
Dec 29  2015,3.53,3.65,3.67,3.50,883.66K,-0.56%
