Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,56.70,57.50,57.58,56.66,50.79K,-1.55%
Apr 18  2016,57.59,56.67,57.88,56.67,41.37K,1.44%
Apr 15  2016,56.77,55.75,57.26,55.70,58.68K,1.83%
Apr 14  2016,55.75,54.85,56.25,54.70,63.49K,1.55%
Apr 13  2016,54.90,55.05,55.75,54.75,76.81K,-0.04%
Apr 12  2016,54.92,55.58,55.76,54.40,169.72K,-1.84%
Apr 11  2016,55.95,56.53,56.76,55.92,40.70K,-0.80%
Apr 08  2016,56.40,57.32,57.52,56.05,68.18K,-1.05%
Apr 07  2016,57.00,56.64,58.00,55.57,68.19K,0.67%
Apr 06  2016,56.62,55.20,57.01,54.87,130.39K,2.85%
Apr 05  2016,55.05,55.68,55.92,54.02,70.06K,-1.68%
Apr 04  2016,55.99,56.21,56.77,55.54,51.41K,-0.28%
Apr 01  2016,56.15,55.64,56.56,55.31,74.08K,0.36%
Mar 31  2016,55.95,57.50,57.99,54.92,136.88K,-2.70%
Mar 30  2016,57.50,58.02,58.10,56.20,84.35K,-0.29%
Mar 29  2016,57.67,57.38,58.39,57.38,42.08K,0.26%
Mar 28  2016,57.52,56.69,57.68,56.21,51.77K,1.72%
Mar 24  2016,56.55,54.35,56.75,53.59,69.58K,3.95%
Mar 23  2016,54.40,53.57,55.08,53.17,229.07K,1.49%
Mar 22  2016,53.60,55.49,55.49,53.45,127.32K,-3.79%
Mar 21  2016,55.71,56.69,56.84,55.35,44.00K,-1.54%
Mar 18  2016,56.58,56.27,57.01,56.25,66.07K,0.86%
Mar 17  2016,56.10,55.13,56.28,54.90,53.98K,2.09%
Mar 16  2016,54.95,54.71,55.38,54.71,50.22K,0.07%
Mar 15  2016,54.91,54.56,55.42,53.93,159.47K,0.27%
Mar 14  2016,54.76,57.21,57.29,54.40,77.07K,-3.23%
Mar 11  2016,56.59,55.11,57.37,55.05,117.27K,3.00%
Mar 10  2016,54.94,55.54,55.76,54.73,110.72K,-1.26%
Mar 09  2016,55.64,55.46,56.37,55.46,56.84K,-0.23%
Mar 08  2016,55.77,56.50,56.94,55.52,71.58K,-1.15%
Mar 07  2016,56.42,56.28,57.00,56.28,45.15K,0.30%
