Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,42.41,42.42,44.31,41.96,853.38K,-0.49%
Apr 18  2016,42.62,41.02,43.17,40.43,792.81K,3.27%
Apr 15  2016,41.27,42.40,42.61,41.20,789.93K,-0.94%
Apr 14  2016,41.66,42.45,42.76,40.45,1.20M,-1.77%
Apr 13  2016,42.41,39.98,42.88,38.84,1.12M,3.87%
Apr 12  2016,40.83,39.19,42.19,39.04,1.31M,0.99%
Apr 11  2016,40.43,44.40,45.00,40.08,1.19M,-7.82%
Apr 08  2016,43.86,46.21,46.21,43.40,1.67M,-6.08%
Apr 07  2016,46.70,49.00,50.18,45.45,2.60M,4.31%
Apr 06  2016,44.77,38.10,45.44,37.93,2.58M,18.53%
Apr 05  2016,37.77,38.90,39.25,36.71,1.99M,10.02%
Apr 04  2016,34.33,37.00,37.83,33.04,1.25M,-6.07%
Apr 01  2016,36.55,34.03,38.19,33.72,1.36M,7.34%
Mar 31  2016,34.05,34.75,35.61,33.21,1.95M,-2.99%
Mar 30  2016,35.10,39.35,39.35,34.74,1.49M,-7.17%
Mar 29  2016,37.81,36.61,39.15,36.33,1.13M,-0.68%
Mar 28  2016,38.07,40.14,40.30,37.30,986.82K,-7.62%
Mar 24  2016,41.21,43.53,43.56,40.85,1.00M,-6.68%
Mar 23  2016,44.16,43.60,45.37,42.70,1.48M,6.54%
Mar 22  2016,41.45,39.23,41.87,37.97,2.14M,9.37%
Mar 21  2016,37.90,33.02,41.25,32.35,2.19M,8.50%
Mar 18  2016,34.93,38.53,40.19,34.79,5.94M,-9.65%
Mar 17  2016,38.66,43.62,43.79,38.32,2.61M,-11.82%
Mar 16  2016,43.84,43.97,47.80,41.68,2.78M,-2.88%
Mar 15  2016,45.14,71.75,71.76,44.12,4.07M,-50.71%
Mar 14  2016,91.58,92.45,93.40,88.65,866.66K,-0.59%
Mar 11  2016,92.12,89.00,92.24,88.14,583.74K,4.31%
Mar 10  2016,88.31,89.37,91.25,87.40,553.03K,-0.55%
Mar 09  2016,88.80,88.32,89.79,85.31,771.01K,4.54%
Mar 08  2016,84.94,87.53,88.90,84.65,659.10K,-2.54%
Mar 07  2016,87.15,84.15,90.83,83.88,899.64K,6.75%
Mar 04  2016,81.64,88.42,88.53,79.92,894.96K,-6.06%
Mar 03  2016,86.91,90.38,90.38,86.55,745.59K,-4.24%
Mar 02  2016,90.76,87.88,93.97,87.73,1.17M,3.21%
Mar 01  2016,87.94,87.54,90.76,80.38,1.54M,-6.93%
Feb 29  2016,94.49,103.74,103.74,86.35,1.44M,-13.97%
Feb 26  2016,109.83,115.71,117.03,108.99,632.87K,-4.27%
Feb 25  2016,114.73,114.31,117.00,111.76,390.83K,-0.60%
Feb 24  2016,115.42,107.87,116.33,106.00,633.78K,5.50%
Feb 23  2016,109.40,108.73,116.40,108.00,798.39K,5.03%
Feb 22  2016,104.16,118.43,118.65,99.30,1.47M,-10.97%
Feb 19  2016,117.00,125.42,127.49,116.57,814.08K,-9.63%
Feb 18  2016,129.47,128.50,131.70,125.76,542.64K,-0.12%
Feb 17  2016,129.62,127.48,132.24,125.70,615.86K,2.06%
Feb 16  2016,127.00,125.00,127.00,120.27,556.87K,3.51%
Feb 12  2016,122.69,118.80,123.13,118.79,577.39K,5.44%
Feb 11  2016,116.36,116.02,118.78,111.12,553.27K,-2.79%
Feb 10  2016,119.70,122.69,126.40,118.74,512.11K,-1.07%
Feb 09  2016,121.00,121.99,127.17,116.86,648.08K,-3.11%
Feb 08  2016,124.88,130.47,131.96,122.00,495.39K,-7.04%
Feb 05  2016,134.34,133.35,135.90,131.78,350.56K,0.83%
Feb 04  2016,133.24,128.00,137.77,126.51,612.90K,2.69%
Feb 03  2016,129.75,128.49,130.09,121.30,602.27K,1.05%
Feb 02  2016,128.40,130.85,142.35,125.09,917.73K,-3.65%
Feb 01  2016,133.27,124.04,134.20,123.50,578.73K,3.31%
Jan 29  2016,129.00,122.09,129.00,122.09,828.72K,6.61%
Jan 28  2016,121.00,133.15,133.58,120.28,585.71K,-9.15%
Jan 27  2016,133.19,137.18,140.06,132.50,590.69K,-4.09%
Jan 26  2016,138.87,132.00,140.00,130.00,508.68K,4.91%
Jan 25  2016,132.37,124.49,136.28,124.35,548.05K,5.52%
Jan 22  2016,125.44,130.53,132.68,124.33,444.96K,-2.68%
Jan 21  2016,128.89,129.55,131.95,127.15,449.49K,-0.82%
Jan 20  2016,129.96,125.70,133.61,122.69,563.26K,0.22%
Jan 19  2016,129.67,130.72,131.52,125.97,633.37K,0.57%
Jan 18  2016,128.93,127.60,129.45,125.54,119.71K,0.02%
Jan 15  2016,128.90,123.00,129.65,122.72,613.37K,-0.27%
Jan 14  2016,129.25,123.88,131.05,118.23,562.83K,5.35%
Jan 13  2016,122.69,126.66,128.62,121.67,389.96K,-2.28%
Jan 12  2016,125.55,121.87,126.70,121.19,576.19K,3.28%
Jan 11  2016,121.56,129.98,131.05,117.91,621.41K,-5.67%
Jan 08  2016,128.87,139.53,140.00,128.12,507.59K,-6.19%
Jan 07  2016,137.38,140.00,143.78,135.16,494.75K,-4.66%
Jan 06  2016,144.10,136.75,149.01,136.75,646.13K,2.08%
Jan 05  2016,141.16,137.95,145.06,137.50,553.70K,2.78%
Jan 04  2016,137.34,135.65,141.15,133.80,514.27K,-2.29%
Dec 31  2015,140.56,140.83,144.40,139.78,446.53K,-0.94%
Dec 30  2015,141.89,140.07,144.90,138.84,465.84K,1.21%
Dec 29  2015,140.19,143.99,143.99,138.30,582.39K,-11.09%
Dec 24  2015,157.68,159.94,160.64,157.68,259.14K,-1.17%
Dec 23  2015,159.55,158.75,161.15,157.01,728.29K,0.92%
Dec 22  2015,158.09,151.88,158.16,151.40,496.03K,4.01%
Dec 21  2015,152.00,153.70,156.11,149.65,431.36K,0.55%
Dec 18  2015,151.17,152.35,155.95,146.43,1.42M,-3.11%
Dec 17  2015,156.03,162.70,163.40,155.35,656.28K,-4.61%
Dec 16  2015,163.57,154.13,165.77,153.69,1.17M,9.23%
Dec 15  2015,149.75,147.22,155.18,143.36,1.03M,15.87%
Dec 14  2015,129.24,129.24,131.01,127.28,423.02K,0.87%
Dec 11  2015,128.12,130.87,135.00,126.54,644.32K,-3.23%
Dec 10  2015,132.40,126.82,132.85,126.60,567.28K,3.32%
Dec 09  2015,128.15,127.38,131.16,125.04,436.56K,0.49%
Dec 08  2015,127.52,121.99,129.49,121.28,409.10K,2.45%
Dec 07  2015,124.47,126.51,128.23,123.25,470.89K,-2.31%
Dec 04  2015,127.41,125.42,129.47,124.82,583.01K,2.26%
Dec 03  2015,124.60,130.54,130.88,122.97,524.92K,-2.84%
Dec 02  2015,128.24,132.52,136.68,127.68,678.56K,-2.77%
Dec 01  2015,131.89,121.62,133.47,120.60,990.50K,9.59%
Nov 30  2015,120.35,116.31,121.60,115.00,1.07M,4.45%
Nov 27  2015,115.22,116.95,119.15,115.00,226.10K,-2.26%
Nov 26  2015,117.89,115.39,118.45,115.35,86.13K,2.20%
Nov 25  2015,115.35,111.87,120.24,110.57,542.56K,-0.87%
Nov 24  2015,116.36,116.41,118.85,113.60,835.16K,-0.61%
Nov 23  2015,117.08,123.05,130.35,116.57,908.79K,-3.29%
Nov 20  2015,121.06,113.00,121.68,111.12,1.23M,8.29%
