Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.51,8.51,8.54,8.44,888.64K,0.35%
Apr 18  2016,8.48,8.42,8.52,8.36,748.20K,-0.59%
Apr 15  2016,8.53,8.70,8.70,8.53,760.19K,-2.85%
Apr 14  2016,8.78,8.75,8.83,8.69,585.23K,0.34%
Apr 13  2016,8.75,8.65,8.79,8.62,816.09K,1.04%
Apr 12  2016,8.66,8.65,8.72,8.48,1.17M,0.93%
Apr 11  2016,8.58,8.66,8.71,8.58,863.01K,-0.23%
Apr 08  2016,8.60,8.59,8.66,8.50,2.36M,3.99%
Apr 07  2016,8.27,8.31,8.31,8.20,978.92K,0.49%
Apr 06  2016,8.23,8.26,8.35,8.18,1.14M,0.98%
Apr 05  2016,8.15,8.35,8.36,8.15,1.18M,-2.04%
Apr 04  2016,8.32,8.53,8.66,8.32,676.90K,-3.03%
Apr 01  2016,8.58,8.72,8.76,8.55,1.34M,-2.17%
Mar 31  2016,8.77,8.79,8.84,8.71,833.64K,0.80%
Mar 30  2016,8.70,8.92,8.96,8.69,874.79K,-1.02%
Mar 29  2016,8.79,8.90,8.93,8.75,552.47K,-1.90%
Mar 28  2016,8.96,8.94,8.99,8.76,584.80K,1.01%
Mar 24  2016,8.87,8.77,8.97,8.71,628.87K,0.00%
Mar 23  2016,8.87,9.35,9.35,8.81,876.88K,-4.32%
Mar 22  2016,9.27,9.75,9.95,9.23,2.20M,7.17%
Mar 21  2016,8.65,8.85,8.91,8.58,726.76K,-2.15%
Mar 18  2016,8.84,9.12,9.14,8.70,1.79M,-2.43%
Mar 17  2016,9.06,8.43,9.49,8.39,2.54M,9.16%
Mar 16  2016,8.30,8.10,8.38,8.10,1.68M,3.49%
Mar 15  2016,8.02,7.90,8.13,7.73,1.25M,1.13%
Mar 14  2016,7.93,7.84,8.03,7.51,3.02M,-7.03%
Mar 11  2016,8.53,8.75,8.75,8.48,1.36M,0.24%
Mar 10  2016,8.51,9.00,9.00,8.37,1.61M,-1.28%
Mar 09  2016,8.62,8.78,8.81,8.59,846.15K,0.00%
Mar 08  2016,8.62,9.00,9.00,8.58,784.47K,-4.01%
Mar 07  2016,8.98,9.18,9.18,8.95,812.00K,-0.33%
Mar 04  2016,9.01,8.86,9.22,8.71,1.27M,5.13%
Mar 03  2016,8.57,8.27,8.61,8.15,1.14M,4.90%
Mar 02  2016,8.17,7.97,8.21,7.89,783.37K,2.51%
Mar 01  2016,7.97,8.00,8.04,7.87,849.38K,0.25%
Feb 29  2016,7.95,7.45,7.99,7.45,2.47M,6.71%
Feb 26  2016,7.45,7.30,7.53,7.24,1.05M,2.90%
Feb 25  2016,7.24,7.40,7.40,7.16,721.69K,-2.43%
Feb 24  2016,7.42,7.50,7.54,7.22,1.12M,-1.72%
Feb 23  2016,7.55,7.75,7.75,7.53,840.27K,-1.82%
Feb 22  2016,7.69,7.75,7.86,7.63,855.69K,2.67%
Feb 19  2016,7.49,7.41,7.54,7.22,779.87K,0.40%
Feb 18  2016,7.46,7.60,7.68,7.29,1.15M,-0.27%
Feb 17  2016,7.48,7.38,7.58,7.21,971.09K,3.17%
Feb 16  2016,7.25,6.88,7.34,6.82,935.93K,7.73%
Feb 12  2016,6.73,6.98,6.98,6.65,1.02M,-1.32%
Feb 11  2016,6.82,6.80,7.05,6.70,1.07M,-0.44%
Feb 10  2016,6.85,7.20,7.20,6.80,1.14M,-4.46%
Feb 09  2016,7.17,7.44,7.44,7.03,1.53M,-4.02%
Feb 08  2016,7.47,7.71,7.74,7.35,1.65M,-6.39%
Feb 05  2016,7.98,7.88,8.04,7.71,732.02K,1.40%
Feb 04  2016,7.87,7.76,8.12,7.58,784.28K,1.81%
Feb 03  2016,7.73,7.72,7.81,7.45,900.80K,1.71%
Feb 02  2016,7.60,7.71,7.72,7.41,759.96K,-2.69%
Feb 01  2016,7.81,7.95,7.96,7.69,665.80K,-2.13%
Jan 29  2016,7.98,8.34,8.36,7.86,1.27M,-1.60%
Jan 28  2016,8.11,7.87,8.17,7.62,1.22M,9.01%
Jan 27  2016,7.44,7.45,7.66,7.32,1.14M,-0.27%
Jan 26  2016,7.46,7.51,7.61,7.40,1.17M,0.13%
Jan 25  2016,7.45,8.00,8.00,7.41,1.19M,-6.76%
Jan 22  2016,7.99,7.87,8.03,7.75,1.27M,3.90%
Jan 21  2016,7.69,7.35,7.80,7.34,1.32M,5.34%
Jan 20  2016,7.30,7.18,7.38,6.88,1.29M,-5.68%
Jan 19  2016,7.74,7.59,8.02,7.53,1.34M,1.84%
Jan 18  2016,7.60,7.75,7.80,7.54,263.47K,-2.94%
Jan 15  2016,7.83,7.61,7.88,7.61,772.56K,-1.39%
Jan 14  2016,7.94,7.63,7.98,7.60,753.44K,2.72%
Jan 13  2016,7.73,7.96,7.96,7.46,1.05M,-1.78%
Jan 12  2016,7.87,7.88,8.08,7.58,861.89K,-0.25%
Jan 11  2016,7.89,8.07,8.09,7.74,619.19K,-1.74%
Jan 08  2016,8.03,8.10,8.10,7.71,1.39M,1.13%
Jan 07  2016,7.94,8.50,8.53,7.81,1.08M,-7.67%
Jan 06  2016,8.60,8.59,8.77,8.53,912.20K,-0.12%
Jan 05  2016,8.61,8.76,8.78,8.53,435.34K,-1.26%
Jan 04  2016,8.72,8.83,8.83,8.57,856.58K,-1.58%
Dec 31  2015,8.86,8.61,8.95,8.60,642.39K,2.67%
Dec 30  2015,8.63,8.63,8.80,8.58,346.10K,-0.46%
Dec 29  2015,8.67,8.97,9.06,8.45,2.60M,-2.36%
Dec 24  2015,8.88,9.14,9.16,8.85,402.59K,-0.89%
Dec 23  2015,8.96,8.60,9.02,8.58,1.18M,4.43%
Dec 22  2015,8.58,8.61,8.67,8.43,1.32M,0.47%
Dec 21  2015,8.54,8.58,8.70,8.44,527.66K,-0.35%
Dec 18  2015,8.57,8.55,8.77,8.50,2.72M,0.12%
Dec 17  2015,8.56,8.93,8.93,8.54,1.08M,-4.57%
Dec 16  2015,8.97,8.96,9.07,8.68,1.75M,1.24%
Dec 15  2015,8.86,8.70,9.04,8.63,1.00M,1.96%
Dec 14  2015,8.69,8.91,8.99,8.55,1.21M,-3.34%
Dec 11  2015,8.99,9.72,9.72,8.91,862.09K,-7.89%
Dec 10  2015,9.76,9.46,9.79,9.38,728.42K,1.99%
Dec 09  2015,9.57,10.06,10.11,9.39,1.20M,-4.78%
Dec 08  2015,10.05,9.98,10.17,9.81,1.04M,-0.79%
Dec 07  2015,10.13,10.45,10.45,9.96,1.23M,-0.20%
Dec 04  2015,10.15,10.20,10.34,10.10,732.04K,-0.88%
Dec 03  2015,10.24,10.31,10.40,10.18,537.80K,-0.87%
Dec 02  2015,10.33,10.60,10.62,10.25,723.24K,-2.55%
Dec 01  2015,10.60,10.46,10.61,10.32,678.72K,1.15%
Nov 30  2015,10.48,10.45,10.61,10.35,2.45M,1.16%
Nov 27  2015,10.36,10.41,10.51,10.27,255.45K,-1.05%
Nov 26  2015,10.47,10.51,10.64,10.45,128.42K,-1.13%
Nov 25  2015,10.59,10.55,10.72,10.43,811.07K,0.19%
Nov 24  2015,10.57,10.26,10.61,10.22,784.06K,2.62%
Nov 23  2015,10.30,10.36,10.43,10.25,452.67K,-0.68%
Nov 20  2015,10.37,10.90,10.90,10.28,605.97K,-4.86%
Nov 19  2015,10.90,10.90,10.99,10.74,701.10K,-0.46%
Nov 18  2015,10.95,10.93,11.07,10.76,596.20K,0.37%
Nov 17  2015,10.91,11.00,11.12,10.65,671.96K,-0.73%
Nov 16  2015,10.99,10.38,11.03,10.36,704.68K,6.70%
Nov 13  2015,10.30,10.27,10.43,10.19,685.91K,-0.77%
Nov 12  2015,10.38,10.41,10.50,10.25,919.52K,-0.10%
Nov 11  2015,10.39,10.56,10.62,10.31,863.43K,-0.76%
Nov 10  2015,10.47,10.61,10.70,10.43,1.35M,-1.32%
Nov 09  2015,10.61,10.68,10.69,10.56,703.87K,0.28%
Nov 06  2015,10.58,10.77,10.80,10.51,865.17K,-2.31%
Nov 05  2015,10.83,10.85,10.92,10.54,1.68M,-0.18%
Nov 04  2015,10.85,11.27,11.34,10.81,1.65M,-0.09%
Nov 03  2015,10.86,11.14,11.14,10.79,888.70K,-2.60%
Nov 02  2015,11.15,11.33,11.37,11.11,346.60K,-2.02%
Oct 30  2015,11.38,11.54,11.55,11.28,642.54K,-1.04%
Oct 29  2015,11.50,11.53,11.60,11.31,598.30K,-0.17%
Oct 28  2015,11.52,11.42,11.78,11.36,713.25K,0.52%
Oct 27  2015,11.46,11.75,11.78,11.41,1.18M,-3.13%
Oct 26  2015,11.83,12.12,12.18,11.81,618.21K,-2.55%
Oct 23  2015,12.14,12.30,12.30,12.08,612.27K,-0.74%
Oct 22  2015,12.23,12.20,12.49,12.13,761.75K,0.16%
Oct 21  2015,12.21,12.21,12.30,11.93,627.62K,0.33%
Oct 20  2015,12.17,11.96,12.22,11.90,1.01M,2.01%
Oct 19  2015,11.93,11.92,12.10,11.78,790.10K,0.25%
Oct 16  2015,11.90,11.80,12.03,11.75,601.81K,1.28%
Oct 15  2015,11.75,12.01,12.11,11.62,973.49K,-2.89%
Oct 14  2015,12.10,12.31,12.33,11.98,661.73K,-0.98%
Oct 13  2015,12.22,12.42,12.59,12.16,937.16K,-3.09%
Oct 09  2015,12.61,12.50,12.77,12.31,1.14M,2.69%
Oct 08  2015,12.28,11.68,12.35,11.51,1.48M,5.86%
Oct 07  2015,11.60,11.27,11.70,11.07,1.88M,5.36%
Oct 06  2015,11.01,10.71,11.18,10.53,1.64M,5.36%
Oct 05  2015,10.45,10.36,10.55,10.21,1.18M,3.16%
Oct 02  2015,10.13,9.98,10.19,9.77,943.19K,1.50%
Oct 01  2015,9.98,10.34,10.37,9.92,836.06K,-2.16%
Sep 30  2015,10.20,10.20,10.43,9.80,1.83M,1.69%
Sep 29  2015,10.03,10.84,10.90,9.91,1.13M,-7.81%
Sep 28  2015,10.88,10.90,11.05,10.70,595.74K,-1.27%
Sep 25  2015,11.02,11.02,11.16,10.94,1.11M,1.19%
Sep 24  2015,10.89,11.54,11.63,10.83,806.27K,-6.68%
Sep 23  2015,11.67,11.87,11.91,11.62,214.04K,-1.85%
