Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,38.19,36.49,38.28,36.43,573.07K,6.02%
Apr 18  2016,36.02,35.00,36.43,34.86,698.76K,-0.14%
Apr 15  2016,36.07,36.01,36.35,35.66,352.81K,-1.34%
Apr 14  2016,36.56,37.30,37.30,36.11,536.83K,-1.46%
Apr 13  2016,37.10,37.37,37.79,36.97,710.99K,-0.16%
Apr 12  2016,37.16,36.27,37.44,36.27,1.14M,2.14%
Apr 11  2016,36.38,36.13,36.85,35.93,540.76K,1.25%
Apr 08  2016,35.93,36.36,36.38,35.59,626.51K,1.21%
Apr 07  2016,35.50,35.26,35.55,34.95,465.85K,-0.08%
Apr 06  2016,35.53,35.69,35.96,34.87,641.38K,1.23%
Apr 05  2016,35.10,35.18,35.47,34.90,464.36K,-0.82%
Apr 04  2016,35.39,36.98,37.00,35.33,514.80K,-3.99%
Apr 01  2016,36.86,37.45,37.45,36.68,289.09K,-3.03%
Mar 31  2016,38.01,37.71,38.34,37.35,318.46K,0.61%
Mar 30  2016,37.78,37.88,38.07,37.54,317.92K,1.15%
Mar 29  2016,37.35,37.16,37.43,36.53,350.09K,-1.22%
Mar 28  2016,37.81,38.48,38.62,37.41,321.92K,-1.54%
Mar 24  2016,38.40,37.77,38.65,37.00,471.70K,-0.49%
Mar 23  2016,38.59,40.17,40.39,38.51,357.39K,-4.27%
Mar 22  2016,40.31,40.31,40.91,40.06,192.68K,-0.64%
Mar 21  2016,40.57,40.97,41.33,40.36,178.63K,-1.02%
Mar 18  2016,40.99,42.38,42.39,40.59,550.25K,-2.50%
Mar 17  2016,42.04,41.08,42.22,40.74,611.70K,3.50%
Mar 16  2016,40.62,40.21,40.69,39.50,483.66K,2.73%
Mar 15  2016,39.54,39.25,39.66,38.51,308.28K,-0.28%
Mar 14  2016,39.65,40.68,40.69,39.44,390.80K,-2.17%
Mar 11  2016,40.53,40.16,40.74,39.48,412.69K,3.58%
Mar 10  2016,39.13,39.50,39.73,38.28,439.09K,-1.44%
Mar 09  2016,39.70,40.14,40.25,39.09,383.43K,0.68%
Mar 08  2016,39.43,41.36,41.40,39.38,487.09K,-5.35%
Mar 07  2016,41.66,42.19,42.69,41.32,700.10K,0.14%
Mar 04  2016,41.60,40.80,41.92,40.31,563.67K,3.92%
Mar 03  2016,40.03,39.00,40.41,38.74,674.66K,2.64%
Mar 02  2016,39.00,38.02,39.05,37.26,456.39K,1.69%
Mar 01  2016,38.35,37.06,39.03,37.06,470.23K,4.21%
Feb 29  2016,36.80,35.57,36.85,35.57,524.12K,3.02%
Feb 26  2016,35.72,36.30,36.45,35.46,254.56K,1.94%
Feb 25  2016,35.04,35.51,36.02,33.81,445.57K,-1.96%
Feb 24  2016,35.74,34.38,36.00,34.11,430.97K,1.36%
Feb 23  2016,35.26,36.35,36.45,34.90,373.14K,-3.77%
Feb 22  2016,36.64,36.70,37.75,36.10,344.32K,3.65%
Feb 19  2016,35.35,34.13,35.75,34.05,536.99K,0.57%
Feb 18  2016,35.15,35.72,36.34,34.35,583.47K,0.66%
Feb 17  2016,34.92,34.42,35.30,33.95,585.55K,3.53%
Feb 16  2016,33.73,34.74,34.80,32.90,358.25K,0.30%
Feb 12  2016,33.63,33.20,34.32,32.48,623.72K,3.19%
Feb 11  2016,32.59,32.06,32.79,31.56,468.44K,0.40%
Feb 10  2016,32.46,33.38,33.50,32.28,471.70K,-2.41%
Feb 09  2016,33.26,35.77,35.78,33.07,565.29K,-8.75%
Feb 08  2016,36.45,35.75,37.28,35.61,278.66K,-0.36%
Feb 05  2016,36.58,36.47,36.79,35.36,436.94K,-0.35%
Feb 04  2016,36.71,37.07,37.80,35.83,310.23K,-0.41%
Feb 03  2016,36.86,35.51,36.95,34.54,402.21K,4.66%
Feb 02  2016,35.22,35.50,35.50,34.41,472.45K,-3.72%
Feb 01  2016,36.58,37.13,37.13,35.51,465.43K,-2.35%
Jan 29  2016,37.46,38.01,38.18,36.40,405.65K,-0.69%
Jan 28  2016,37.72,36.71,38.01,36.09,652.11K,6.73%
Jan 27  2016,35.34,34.46,36.08,34.08,446.92K,2.43%
Jan 26  2016,34.50,34.00,34.87,33.38,747.20K,2.68%
Jan 25  2016,33.60,35.49,36.58,33.50,422.01K,-6.72%
Jan 22  2016,36.02,34.20,36.13,34.15,792.50K,9.58%
Jan 21  2016,32.87,31.59,33.58,31.59,785.66K,2.72%
Jan 20  2016,32.00,32.00,32.67,29.71,712.83K,-3.18%
Jan 19  2016,33.05,33.31,34.22,32.55,436.58K,0.82%
Jan 18  2016,32.78,33.20,33.54,32.47,128.45K,-3.36%
Jan 15  2016,33.92,33.35,34.49,33.35,461.27K,-4.83%
Jan 14  2016,35.64,33.52,35.94,33.31,524.04K,6.39%
Jan 13  2016,33.50,33.76,34.44,33.09,470.47K,1.15%
Jan 12  2016,33.12,34.02,34.52,31.73,633.61K,-2.39%
Jan 11  2016,33.93,34.54,34.76,32.97,410.56K,-1.96%
Jan 08  2016,34.61,34.30,34.97,33.94,514.41K,1.73%
Jan 07  2016,34.02,35.00,35.05,33.92,619.94K,-4.71%
Jan 06  2016,35.70,37.29,37.83,35.34,836.05K,-5.71%
Jan 05  2016,37.86,37.57,37.91,36.72,472.79K,0.37%
Jan 04  2016,37.72,37.53,38.15,36.97,412.38K,0.29%
Dec 31  2015,37.61,37.09,37.73,36.93,186.25K,1.18%
Dec 30  2015,37.17,37.51,38.24,36.89,266.23K,-2.06%
Dec 29  2015,37.95,37.90,39.44,37.18,388.48K,-1.27%
Dec 24  2015,38.44,39.35,39.50,37.31,355.13K,-2.14%
Dec 23  2015,39.28,37.24,39.46,36.82,583.17K,6.91%
Dec 22  2015,36.74,36.49,37.08,36.25,405.30K,0.30%
Dec 21  2015,36.63,36.65,37.28,36.11,345.11K,-0.25%
Dec 18  2015,36.72,35.99,37.14,35.95,549.71K,1.30%
Dec 17  2015,36.25,35.95,36.47,35.55,794.62K,0.39%
Dec 16  2015,36.11,35.84,36.49,35.53,518.47K,-0.14%
Dec 15  2015,36.16,34.12,36.60,34.10,650.13K,6.95%
Dec 14  2015,33.81,33.95,34.13,32.57,732.43K,-1.40%
Dec 11  2015,34.29,35.49,35.50,33.68,549.11K,-4.80%
Dec 10  2015,36.02,35.52,36.43,35.22,372.30K,0.78%
Dec 09  2015,35.74,36.20,37.11,35.09,482.40K,1.28%
Dec 08  2015,35.29,34.50,36.25,34.37,745.74K,0.77%
Dec 07  2015,35.02,38.39,38.39,34.61,777.68K,-10.78%
Dec 04  2015,39.25,38.62,39.30,38.35,463.54K,0.46%
Dec 03  2015,39.07,39.25,39.63,38.63,396.21K,0.28%
Dec 02  2015,38.96,40.05,40.05,38.60,389.30K,-3.73%
Dec 01  2015,40.47,40.14,40.99,40.00,450.64K,1.20%
Nov 30  2015,39.99,39.58,40.44,39.58,636.47K,1.27%
Nov 27  2015,39.49,39.15,39.73,39.15,305.27K,0.36%
Nov 26  2015,39.35,39.61,39.61,39.35,105.06K,-0.25%
Nov 25  2015,39.45,39.29,39.70,38.50,472.03K,-0.15%
Nov 24  2015,39.51,39.61,40.72,39.26,385.96K,0.20%
Nov 23  2015,39.43,38.50,39.57,38.35,541.41K,1.83%
Nov 20  2015,38.72,39.24,39.45,38.56,723.40K,-1.43%
Nov 19  2015,39.28,40.02,40.30,38.82,371.19K,-3.32%
Nov 18  2015,40.63,40.89,41.00,39.82,332.13K,0.49%
Nov 17  2015,40.43,41.43,41.74,40.34,317.45K,-2.77%
Nov 16  2015,41.58,40.24,41.58,39.28,363.59K,3.82%
Nov 13  2015,40.05,39.81,40.71,39.74,473.86K,0.10%
Nov 12  2015,40.01,40.56,40.99,39.94,467.19K,-2.79%
Nov 11  2015,41.16,43.26,43.26,40.56,461.24K,-5.10%
Nov 10  2015,43.37,43.25,43.83,42.34,509.79K,-0.82%
Nov 09  2015,43.73,44.98,45.89,43.32,615.36K,-1.46%
Nov 06  2015,44.38,43.50,44.38,43.11,332.12K,0.82%
Nov 05  2015,44.02,46.12,46.16,43.71,770.25K,-5.90%
Nov 04  2015,46.78,48.32,48.35,46.15,416.89K,-3.11%
Nov 03  2015,48.28,47.02,48.83,46.93,467.14K,3.81%
Nov 02  2015,46.51,45.56,46.51,45.34,376.05K,1.09%
