Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,40.12,39.81,40.20,39.74,225.05K,1.16%
Apr 18  2016,39.66,39.05,39.76,39.05,179.23K,0.51%
Apr 15  2016,39.46,38.95,39.62,38.84,223.96K,0.84%
Apr 14  2016,39.13,38.76,39.26,38.61,168.64K,1.27%
Apr 13  2016,38.64,37.67,38.65,37.67,240.63K,2.11%
Apr 12  2016,37.84,38.15,38.15,37.50,406.66K,-0.37%
Apr 11  2016,37.98,38.44,38.44,37.45,499.38K,-0.81%
Apr 08  2016,38.29,38.93,38.93,38.20,150.78K,-0.73%
Apr 07  2016,38.57,38.60,38.82,38.02,146.72K,-0.05%
Apr 06  2016,38.59,39.46,39.48,38.10,354.43K,-1.33%
Apr 05  2016,39.11,39.40,39.43,38.71,527.61K,-0.99%
Apr 04  2016,39.50,38.20,39.55,38.01,395.77K,3.87%
Apr 01  2016,38.03,38.48,38.64,37.77,331.62K,-1.22%
Mar 31  2016,38.50,38.50,38.75,38.13,314.54K,0.26%
Mar 30  2016,38.40,37.25,38.42,36.89,347.07K,4.49%
Mar 29  2016,36.75,37.21,37.21,36.37,407.73K,-1.16%
Mar 28  2016,37.18,37.89,37.89,36.95,451.93K,-0.85%
Mar 24  2016,37.50,37.14,37.85,37.08,202.45K,0.64%
Mar 23  2016,37.26,38.46,38.46,37.05,502.74K,-2.74%
Mar 22  2016,38.31,36.49,38.45,36.35,504.43K,4.84%
Mar 21  2016,36.54,36.16,36.77,36.16,382.89K,2.10%
Mar 18  2016,35.79,37.04,37.04,35.76,540.34K,-3.37%
Mar 17  2016,37.04,37.48,37.48,36.41,1.16M,-0.88%
Mar 16  2016,37.37,37.27,37.80,37.26,562.50K,0.03%
Mar 15  2016,37.36,39.00,39.00,37.10,601.49K,-5.59%
Mar 14  2016,39.57,40.40,40.43,39.51,184.23K,-1.96%
Mar 11  2016,40.36,40.34,40.69,39.99,194.12K,0.77%
Mar 10  2016,40.05,40.18,40.52,39.27,136.58K,-0.32%
Mar 09  2016,40.18,39.40,40.65,39.38,192.20K,2.60%
Mar 08  2016,39.16,39.76,39.90,39.02,126.47K,-2.08%
Mar 07  2016,39.99,39.57,40.12,39.51,111.68K,0.78%
Mar 04  2016,39.68,39.54,39.76,39.18,274.88K,0.81%
Mar 03  2016,39.36,38.41,39.36,38.40,159.44K,2.47%
Mar 02  2016,38.41,38.65,38.70,37.40,203.82K,-0.62%
Mar 01  2016,38.65,36.17,38.82,36.17,317.66K,7.06%
Feb 29  2016,36.10,36.75,36.84,36.02,239.99K,-1.50%
Feb 26  2016,36.65,37.50,37.50,36.64,202.95K,-2.11%
Feb 25  2016,37.44,37.83,37.92,37.15,139.09K,-0.56%
Feb 24  2016,37.65,37.60,37.94,37.01,210.24K,-0.76%
Feb 23  2016,37.94,38.26,38.49,37.86,254.90K,-0.99%
Feb 22  2016,38.32,39.00,39.19,38.28,150.24K,-0.18%
Feb 19  2016,38.39,38.50,38.67,38.01,298.86K,-0.88%
Feb 18  2016,38.73,38.35,38.98,37.95,293.67K,0.89%
Feb 17  2016,38.39,37.77,38.74,37.49,256.55K,2.24%
Feb 16  2016,37.55,36.89,37.68,36.50,133.79K,3.02%
Feb 12  2016,36.45,36.66,36.74,35.95,177.37K,0.44%
Feb 11  2016,36.29,35.35,36.39,35.11,155.45K,1.60%
Feb 10  2016,35.72,36.54,36.54,35.43,456.34K,-2.22%
Feb 09  2016,36.53,37.14,37.68,36.23,301.21K,-2.30%
Feb 08  2016,37.39,38.86,39.04,37.18,122.97K,-4.71%
Feb 05  2016,39.24,39.97,39.97,39.24,100.56K,-1.80%
Feb 04  2016,39.96,38.40,40.27,38.40,156.46K,3.74%
