Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,22.13,22.16,22.32,21.95,128.72K,0.05%
Apr 18  2016,22.12,21.28,22.36,21.28,280.82K,2.88%
Apr 15  2016,21.50,21.41,21.73,21.40,265.14K,-0.32%
Apr 14  2016,21.57,21.36,21.66,21.27,237.28K,1.08%
Apr 13  2016,21.34,20.86,21.43,20.84,225.76K,2.45%
Apr 12  2016,20.83,20.46,20.94,20.18,351.58K,1.36%
Apr 11  2016,20.55,20.48,20.84,20.48,209.53K,0.29%
Apr 08  2016,20.49,20.07,20.60,20.05,302.75K,2.35%
Apr 07  2016,20.02,19.82,20.16,19.81,118.37K,0.55%
Apr 06  2016,19.91,19.87,20.00,19.31,216.09K,0.40%
Apr 05  2016,19.83,19.91,20.15,19.65,210.50K,-1.54%
Apr 04  2016,20.14,20.04,20.51,19.97,204.21K,-0.40%
Apr 01  2016,20.22,20.45,20.50,19.87,294.32K,-1.80%
Mar 31  2016,20.59,20.43,20.62,20.31,272.76K,0.54%
Mar 30  2016,20.48,20.10,20.63,20.10,225.87K,1.94%
Mar 29  2016,20.09,19.75,20.13,19.66,252.97K,1.82%
Mar 28  2016,19.73,19.55,19.79,19.45,101.15K,0.71%
Mar 24  2016,19.59,19.61,19.65,19.12,261.77K,-0.81%
Mar 23  2016,19.75,19.52,19.79,19.52,196.18K,1.28%
Mar 22  2016,19.50,19.85,19.85,19.31,404.86K,-2.60%
Mar 21  2016,20.02,20.25,20.27,19.98,318.46K,-1.57%
Mar 18  2016,20.34,20.55,20.71,20.21,488.13K,-0.78%
Mar 17  2016,20.50,19.95,20.56,19.95,278.81K,2.55%
Mar 16  2016,19.99,19.90,20.10,19.65,358.02K,0.25%
Mar 15  2016,19.94,19.45,20.10,19.35,452.67K,2.52%
Mar 14  2016,19.45,19.52,19.59,19.21,423.10K,0.41%
Mar 11  2016,19.37,19.24,19.48,19.15,191.39K,1.25%
Mar 10  2016,19.13,18.88,19.20,18.65,340.54K,1.76%
Mar 09  2016,18.80,18.85,19.01,18.71,313.36K,0.21%
Mar 08  2016,18.76,18.94,18.96,18.41,326.43K,-0.64%
Mar 07  2016,18.88,18.42,19.00,18.33,379.45K,2.44%
Mar 04  2016,18.43,18.05,18.55,18.05,331.45K,2.39%
Mar 03  2016,18.00,18.11,18.28,17.84,385.23K,0.84%
Mar 02  2016,17.85,17.73,18.00,17.45,598.75K,0.90%
Mar 01  2016,17.69,17.99,18.00,17.23,703.82K,-0.90%
Feb 29  2016,17.85,17.03,18.28,17.00,1.36M,5.00%
Feb 26  2016,17.00,16.31,17.35,16.25,395.64K,5.00%
Feb 25  2016,16.19,16.43,16.45,16.00,292.09K,-0.74%
Feb 24  2016,16.31,15.36,16.40,15.25,550.75K,5.70%
Feb 23  2016,15.43,15.16,15.46,15.01,769.10K,2.46%
Feb 22  2016,15.06,15.10,15.25,15.05,292.22K,0.13%
Feb 19  2016,15.04,15.15,15.27,14.99,220.79K,-0.27%
Feb 18  2016,15.08,15.26,15.26,14.92,248.42K,-0.66%
Feb 17  2016,15.18,15.10,15.34,14.89,607.18K,0.86%
Feb 16  2016,15.05,15.10,15.24,14.73,751.46K,0.40%
Feb 12  2016,14.99,15.40,15.40,14.89,1.32M,-1.83%
Feb 11  2016,15.27,15.03,15.30,14.73,459.79K,0.13%
Feb 10  2016,15.25,15.46,15.50,14.67,726.05K,-1.55%
Feb 09  2016,15.49,15.81,15.81,15.41,566.69K,-2.76%
Feb 08  2016,15.93,16.22,16.28,15.78,483.41K,-2.21%
Feb 05  2016,16.29,16.08,16.31,15.88,776.52K,1.24%
Feb 04  2016,16.09,16.51,16.66,15.91,1.00M,-1.71%
Feb 03  2016,16.37,16.60,16.60,15.94,1.31M,-1.56%
Feb 02  2016,16.63,17.40,17.46,16.45,1.61M,-11.07%
Feb 01  2016,18.70,19.19,19.19,18.36,227.62K,-1.42%
Jan 29  2016,18.97,19.33,19.33,18.66,574.82K,-1.96%
Jan 28  2016,19.35,19.80,19.80,19.08,266.58K,-0.36%
Jan 27  2016,19.42,19.00,19.67,19.00,321.84K,2.16%
Jan 26  2016,19.01,19.10,19.22,18.55,436.84K,0.37%
Jan 25  2016,18.94,19.18,19.21,18.72,224.79K,-0.79%
Jan 22  2016,19.09,18.69,19.25,18.65,351.28K,3.47%
Jan 21  2016,18.45,18.45,18.52,18.11,265.09K,-0.38%
Jan 20  2016,18.52,17.97,18.63,17.80,513.18K,2.21%
Jan 19  2016,18.12,17.88,18.26,17.86,475.63K,1.85%
Jan 18  2016,17.79,17.99,18.00,17.72,152.62K,-2.41%
Jan 15  2016,18.23,18.08,18.44,17.91,222.07K,-1.62%
Jan 14  2016,18.53,18.44,18.57,17.79,286.95K,0.49%
Jan 13  2016,18.44,18.28,18.84,18.28,381.85K,0.44%
Jan 12  2016,18.36,19.11,19.14,17.59,466.35K,-3.42%
Jan 11  2016,19.01,19.32,19.42,18.88,344.29K,-1.71%
Jan 08  2016,19.34,20.00,20.08,19.25,368.47K,-3.11%
Jan 07  2016,19.96,20.07,20.30,19.75,621.40K,-1.63%
Jan 06  2016,20.29,20.18,20.47,20.01,385.65K,-0.05%
Jan 05  2016,20.30,20.62,20.85,20.29,211.48K,-1.74%
Jan 04  2016,20.66,20.01,20.70,20.00,272.60K,1.47%
Dec 31  2015,20.36,20.28,20.38,20.15,93.47K,0.39%
Dec 30  2015,20.28,20.27,20.38,20.25,52.38K,-0.20%
Dec 29  2015,20.32,20.39,20.49,20.22,109.08K,-0.34%
Dec 24  2015,20.39,20.25,20.55,20.25,85.43K,-0.05%
Dec 23  2015,20.40,20.42,20.63,20.26,170.36K,-0.15%
Dec 22  2015,20.43,20.58,20.71,20.24,161.52K,-0.63%
Dec 21  2015,20.56,20.33,20.95,20.33,288.95K,1.03%
Dec 18  2015,20.35,21.00,21.17,20.20,782.33K,-3.55%
Dec 17  2015,21.10,20.97,21.45,20.97,1.23M,1.05%
Dec 16  2015,20.88,20.07,21.04,20.05,411.82K,4.14%
Dec 15  2015,20.05,19.63,20.23,19.63,391.95K,2.40%
Dec 14  2015,19.58,19.92,19.92,19.32,296.70K,-1.76%
Dec 11  2015,19.93,20.26,20.40,19.91,280.16K,-2.30%
Dec 10  2015,20.40,19.76,20.62,19.73,271.11K,3.08%
Dec 09  2015,19.79,20.00,20.33,19.45,374.58K,-1.05%
Dec 08  2015,20.00,20.29,20.38,19.96,433.18K,-2.49%
Dec 07  2015,20.51,20.61,20.90,20.50,522.62K,0.94%
Dec 04  2015,20.32,20.74,20.75,19.98,483.65K,-1.88%
Dec 03  2015,20.71,20.98,21.05,20.18,609.84K,-1.99%
Dec 02  2015,21.13,20.79,21.26,20.73,403.46K,1.44%
Dec 01  2015,20.83,21.34,21.35,20.83,370.47K,-2.30%
Nov 30  2015,21.32,21.46,21.49,21.27,185.31K,-0.23%
Nov 27  2015,21.37,21.48,21.50,21.33,45.01K,-0.47%
Nov 26  2015,21.47,21.35,21.50,21.30,42.35K,0.33%
Nov 25  2015,21.40,21.54,21.68,21.37,300.40K,-0.65%
Nov 24  2015,21.54,21.90,22.07,21.51,287.30K,-1.73%
Nov 23  2015,21.92,22.45,22.47,21.89,263.31K,-2.36%
Nov 20  2015,22.45,22.61,22.65,22.45,145.82K,-0.53%
Nov 19  2015,22.57,22.64,22.66,22.46,130.28K,-0.04%
Nov 18  2015,22.58,22.94,23.00,22.48,292.37K,-1.14%
Nov 17  2015,22.84,22.78,23.16,22.75,228.50K,0.26%
Nov 16  2015,22.78,22.52,22.98,22.45,491.73K,0.49%
Nov 13  2015,22.67,22.39,23.01,22.37,276.72K,1.02%
Nov 12  2015,22.44,22.51,22.74,22.44,187.59K,-0.66%
Nov 11  2015,22.59,23.00,23.00,22.52,336.31K,-1.35%
Nov 10  2015,22.90,22.90,23.05,22.87,194.90K,0.00%
Nov 09  2015,22.90,23.26,23.29,22.86,342.09K,-1.72%
Nov 06  2015,23.30,23.16,23.36,23.16,137.67K,0.78%
Nov 05  2015,23.12,23.66,23.70,23.05,299.05K,-2.65%
Nov 04  2015,23.75,23.94,23.95,23.65,697.28K,0.08%
Nov 03  2015,23.73,24.95,25.15,23.54,887.53K,-2.31%
Nov 02  2015,24.29,24.22,24.65,24.13,221.62K,0.29%
Oct 30  2015,24.22,24.10,24.31,24.05,183.08K,-0.04%
Oct 29  2015,24.23,24.30,24.37,24.18,85.31K,-0.29%
Oct 28  2015,24.30,24.14,24.44,24.11,123.98K,0.62%
Oct 27  2015,24.15,24.53,24.56,23.94,365.47K,-2.03%
Oct 26  2015,24.65,24.82,25.00,24.50,157.06K,-0.96%
Oct 23  2015,24.89,24.92,25.10,24.65,174.00K,-0.28%
Oct 22  2015,24.96,25.09,25.14,24.92,149.57K,-0.48%
Oct 21  2015,25.08,25.21,25.25,25.03,90.31K,-0.79%
Oct 20  2015,25.28,25.06,25.31,25.05,178.92K,0.52%
Oct 19  2015,25.15,24.87,25.45,24.65,673.53K,1.53%
Oct 16  2015,24.77,25.01,25.05,24.35,360.82K,-0.92%
Oct 15  2015,25.00,24.95,25.09,24.85,251.27K,0.40%
Oct 14  2015,24.90,25.00,25.25,24.80,388.54K,-0.56%
Oct 13  2015,25.04,25.02,25.40,24.89,205.49K,-0.91%
Oct 09  2015,25.27,25.51,25.77,25.18,185.71K,-1.21%
Oct 08  2015,25.58,24.86,25.70,24.86,319.73K,2.24%
Oct 07  2015,25.02,24.83,25.12,24.58,273.00K,0.52%
Oct 06  2015,24.89,24.78,25.23,24.41,310.87K,0.20%
Oct 05  2015,24.84,24.57,25.50,24.57,415.96K,0.69%
Oct 02  2015,24.67,24.03,24.82,23.98,241.33K,0.73%
Oct 01  2015,24.49,23.76,24.50,23.68,283.87K,2.90%
Sep 30  2015,23.80,23.81,23.83,23.61,258.02K,-0.04%
Sep 29  2015,23.81,23.79,24.06,23.62,146.93K,-0.75%
Sep 28  2015,23.99,23.89,24.09,23.49,268.13K,-0.08%
Sep 25  2015,24.01,23.72,24.30,23.52,413.99K,2.13%
Sep 24  2015,23.51,23.85,23.95,23.26,337.61K,-1.63%
Sep 23  2015,23.90,24.01,24.01,23.51,126.23K,-0.04%
Sep 22  2015,23.91,23.94,24.07,23.78,260.36K,-1.32%
Sep 21  2015,24.23,24.16,24.37,24.16,163.42K,0.54%
Sep 18  2015,24.10,24.32,24.69,23.96,832.49K,-1.79%
Sep 17  2015,24.54,24.70,24.72,24.34,121.44K,-0.93%
Sep 16  2015,24.77,24.09,24.97,24.00,390.31K,3.68%
Sep 15  2015,23.89,23.87,24.02,23.70,198.23K,0.13%
Sep 14  2015,23.86,23.92,24.10,23.86,105.89K,-0.87%
Sep 11  2015,24.07,24.00,24.30,23.96,314.50K,0.04%
Sep 10  2015,24.06,23.70,24.10,23.64,174.30K,1.18%
Sep 09  2015,23.78,24.63,24.67,23.35,350.66K,-3.18%
Sep 08  2015,24.56,23.94,24.79,23.94,235.25K,2.63%
Sep 04  2015,23.93,23.60,24.19,23.54,315.79K,0.80%
Sep 03  2015,23.74,23.75,23.91,23.15,453.57K,-0.34%
Sep 02  2015,23.82,23.67,23.97,23.50,174.69K,1.10%
Sep 01  2015,23.56,23.60,23.84,23.28,288.27K,-2.00%
Aug 31  2015,24.04,23.92,24.19,23.55,332.86K,0.42%
Aug 28  2015,23.94,24.04,24.46,23.82,217.01K,-1.07%
Aug 27  2015,24.20,24.00,24.44,23.86,485.00K,1.51%
Aug 26  2015,23.84,23.78,24.00,23.23,531.13K,2.45%
Aug 25  2015,23.27,23.04,23.95,23.04,413.70K,3.06%
Aug 24  2015,22.58,21.00,23.98,18.51,736.17K,-3.30%
Aug 21  2015,23.35,23.85,24.12,23.26,215.04K,-4.03%
Aug 20  2015,24.33,24.54,24.54,24.10,385.31K,-1.38%
Aug 19  2015,24.67,25.03,25.03,24.60,318.64K,-0.52%
Aug 18  2015,24.80,24.69,25.17,24.60,542.73K,0.49%
Aug 17  2015,24.68,23.75,24.72,23.68,360.35K,4.18%
Aug 14  2015,23.69,24.09,24.09,23.56,125.13K,-1.74%
Aug 13  2015,24.11,24.45,24.79,23.90,210.12K,-1.75%
Aug 12  2015,24.54,25.60,25.63,24.47,526.62K,-4.48%
Aug 11  2015,25.69,24.71,25.74,24.62,614.71K,3.97%
Aug 10  2015,24.71,24.25,24.83,24.22,279.97K,2.66%
Aug 07  2015,24.07,23.59,24.24,23.55,491.88K,2.25%
Aug 06  2015,23.54,23.40,24.16,23.20,642.30K,2.21%
Aug 05  2015,23.03,22.84,23.75,22.70,506.94K,1.36%
Aug 04  2015,22.72,22.81,22.98,22.32,606.26K,-1.17%
Jul 31  2015,22.99,23.09,23.13,22.90,305.05K,-0.04%
Jul 30  2015,23.00,23.15,23.15,22.82,411.17K,0.22%
Jul 29  2015,22.95,22.07,23.22,21.93,735.87K,5.13%
Jul 28  2015,21.83,23.09,23.25,21.69,658.06K,-3.71%
Jul 27  2015,22.67,21.95,22.90,21.90,428.37K,2.81%
Jul 24  2015,22.05,22.25,22.46,21.82,185.78K,-0.41%
Jul 23  2015,22.14,21.45,22.22,21.45,533.06K,3.80%
Jul 22  2015,21.33,22.08,22.11,21.28,366.53K,-3.92%
Jul 21  2015,22.20,22.57,22.86,22.12,284.12K,-1.46%
Jul 20  2015,22.53,23.22,23.22,22.53,318.85K,-2.89%
Jul 17  2015,23.20,22.89,23.22,22.65,217.46K,1.40%
Jul 16  2015,22.88,23.57,23.57,22.81,436.59K,-2.31%
Jul 15  2015,23.42,23.65,23.80,23.35,480.14K,-0.89%
Jul 14  2015,23.63,23.60,23.85,23.58,636.25K,-0.08%
Jul 13  2015,23.65,23.70,23.85,23.47,539.07K,-0.21%
Jul 10  2015,23.70,24.40,24.48,23.33,758.71K,-2.59%
Jul 09  2015,24.33,24.97,25.00,24.26,480.04K,-2.41%
Jul 08  2015,24.93,26.00,26.00,24.56,992.93K,-6.17%
Jul 07  2015,26.57,26.26,26.70,26.01,189.42K,0.99%
Jul 06  2015,26.31,26.14,26.46,26.00,125.04K,-0.83%
Jul 03  2015,26.53,26.66,26.89,26.53,51.73K,-1.49%
