Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,2.18,2.21,2.21,2.17,2.05M,-1.36%
Apr 18  2016,2.21,2.18,2.23,2.17,279.93K,0.45%
Apr 15  2016,2.20,2.17,2.22,2.12,555.75K,1.85%
Apr 14  2016,2.16,2.22,2.22,2.16,747.86K,-3.14%
Apr 13  2016,2.23,2.23,2.23,2.20,601.00K,0.00%
Apr 12  2016,2.23,2.24,2.27,2.20,417.16K,-1.33%
Apr 11  2016,2.26,2.20,2.27,2.19,863.29K,1.80%
Apr 08  2016,2.22,2.29,2.29,2.20,1.31M,-2.63%
Apr 07  2016,2.28,2.30,2.30,2.23,762.65K,-2.15%
Apr 06  2016,2.33,2.28,2.33,2.28,1.98M,1.75%
Apr 05  2016,2.29,2.28,2.32,2.26,1.81M,0.00%
Apr 04  2016,2.29,2.37,2.38,2.28,1.82M,-3.38%
Apr 01  2016,2.37,2.29,2.40,2.28,3.95M,2.60%
Mar 31  2016,2.31,2.24,2.32,2.22,3.80M,2.67%
Mar 30  2016,2.25,2.20,2.25,2.17,2.93M,2.74%
Mar 29  2016,2.19,2.14,2.20,2.14,1.23M,1.86%
Mar 28  2016,2.15,2.17,2.17,2.12,616.54K,0.94%
Mar 24  2016,2.13,2.16,2.16,2.13,642.40K,-1.39%
Mar 23  2016,2.16,2.17,2.20,2.15,514.56K,-0.46%
Mar 22  2016,2.17,2.20,2.23,2.16,1.17M,-1.81%
Mar 21  2016,2.21,2.18,2.22,2.18,715.50K,0.45%
Mar 18  2016,2.20,2.18,2.22,2.18,1.09M,0.46%
Mar 17  2016,2.19,2.16,2.20,2.16,1.51M,0.92%
Mar 16  2016,2.17,2.15,2.18,2.15,1.12M,0.93%
Mar 15  2016,2.15,2.17,2.18,2.13,908.05K,-0.46%
Mar 14  2016,2.16,2.17,2.18,2.15,654.36K,0.00%
Mar 11  2016,2.16,2.17,2.20,2.14,2.31M,-0.92%
Mar 10  2016,2.18,2.17,2.18,2.13,650.12K,0.46%
Mar 09  2016,2.17,2.17,2.18,2.11,656.02K,0.46%
Mar 08  2016,2.16,2.08,2.18,2.08,1.01M,2.86%
Mar 07  2016,2.10,2.15,2.17,2.09,932.72K,-0.94%
Mar 04  2016,2.12,2.16,2.20,2.12,1.25M,-1.85%
