Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,18.26,17.85,18.32,17.85,95.49K,2.41%
Apr 18  2016,17.83,17.86,18.24,17.74,87.48K,-0.22%
Apr 15  2016,17.87,17.97,18.25,17.68,67.14K,-0.56%
Apr 14  2016,17.97,18.63,18.78,17.93,75.06K,-3.07%
Apr 13  2016,18.54,18.28,18.76,18.27,129.80K,1.81%
Apr 12  2016,18.21,17.95,18.62,17.55,186.21K,2.02%
Apr 11  2016,17.85,17.59,18.02,17.53,278.03K,1.94%
Apr 08  2016,17.51,17.44,17.76,17.35,154.06K,1.45%
Apr 07  2016,17.26,16.79,17.50,16.78,211.56K,3.04%
Apr 06  2016,16.75,17.10,17.65,16.75,327.02K,-1.53%
Apr 05  2016,17.01,16.72,17.05,16.44,112.50K,1.55%
Apr 04  2016,16.75,17.10,17.20,16.66,108.41K,-1.59%
Apr 01  2016,17.02,17.17,17.41,16.87,169.63K,-2.01%
Mar 31  2016,17.37,16.63,17.49,16.61,193.96K,4.58%
Mar 30  2016,16.61,16.64,17.13,16.42,195.25K,0.18%
Mar 29  2016,16.58,15.78,16.71,15.53,158.25K,5.00%
Mar 28  2016,15.79,16.50,16.51,15.55,125.90K,-3.95%
Mar 24  2016,16.44,15.64,16.80,15.50,265.62K,5.18%
Mar 23  2016,15.63,15.36,15.69,15.33,178.53K,2.29%
Mar 22  2016,15.28,15.08,15.40,14.95,50.41K,0.46%
Mar 21  2016,15.21,15.35,15.41,15.13,31.63K,-0.91%
Mar 18  2016,15.35,15.22,15.40,14.93,182.62K,1.32%
Mar 17  2016,15.15,14.79,15.25,14.70,72.24K,2.36%
Mar 16  2016,14.80,14.99,15.15,14.70,74.56K,-1.00%
Mar 15  2016,14.95,15.87,15.87,14.76,84.92K,-4.29%
Mar 14  2016,15.62,15.52,15.88,15.52,74.43K,1.10%
Mar 11  2016,15.45,15.28,15.75,15.28,122.72K,0.85%
Mar 10  2016,15.32,15.67,15.68,15.11,133.85K,-1.67%
