Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,9.52,9.22,9.58,9.00,2.76M,5.90%
Apr 18  2016,8.99,8.24,9.09,8.20,4.04M,1.35%
Apr 15  2016,8.87,8.74,9.07,8.67,1.88M,-1.11%
Apr 14  2016,8.97,9.40,9.40,8.90,2.23M,-4.98%
Apr 13  2016,9.44,9.32,9.64,9.28,4.16M,-0.21%
Apr 12  2016,9.46,8.99,9.65,8.89,4.03M,6.65%
Apr 11  2016,8.87,8.80,9.08,8.78,6.28M,8.83%
Apr 08  2016,8.15,7.86,8.17,7.83,5.67M,7.52%
Apr 07  2016,7.58,7.50,7.59,7.37,2.29M,0.40%
Apr 06  2016,7.55,7.41,7.58,7.31,2.01M,4.72%
Apr 05  2016,7.21,7.06,7.27,7.03,1.43M,0.84%
Apr 04  2016,7.15,7.55,7.56,7.10,3.03M,-5.55%
Apr 01  2016,7.57,7.54,7.65,7.47,2.49M,-2.20%
Mar 31  2016,7.74,7.67,7.74,7.62,1.93M,1.18%
Mar 30  2016,7.65,7.77,7.88,7.57,2.10M,0.66%
Mar 29  2016,7.60,7.53,7.69,7.36,1.89M,-1.04%
Mar 28  2016,7.68,7.81,7.86,7.59,1.20M,-1.54%
Mar 24  2016,7.80,7.69,7.88,7.53,2.93M,-1.64%
Mar 23  2016,7.93,8.35,8.39,7.88,1.46M,-6.38%
Mar 22  2016,8.47,8.50,8.58,8.43,1.69M,-1.40%
Mar 21  2016,8.59,8.48,8.75,8.43,1.40M,0.82%
Mar 18  2016,8.52,8.85,8.86,8.20,2.74M,-0.58%
Mar 17  2016,8.57,8.38,8.80,8.29,3.30M,4.38%
Mar 16  2016,8.21,7.97,8.27,7.97,2.88M,5.53%
Mar 15  2016,7.78,7.79,7.81,7.56,3.27M,-1.77%
Mar 14  2016,7.92,7.98,8.02,7.82,1.17M,-2.22%
Mar 11  2016,8.10,8.00,8.20,7.95,3.04M,3.71%
Mar 10  2016,7.81,7.95,8.05,7.80,2.08M,-2.98%
Mar 09  2016,8.05,8.16,8.24,7.96,4.87M,0.88%
Mar 08  2016,7.98,8.26,8.26,7.79,2.49M,-4.20%
Mar 07  2016,8.33,8.41,8.57,8.27,3.90M,-0.36%
Mar 04  2016,8.36,8.28,8.44,8.08,3.44M,2.20%
Mar 03  2016,8.18,8.31,8.40,7.89,3.65M,0.37%
Mar 02  2016,8.15,7.60,8.17,7.60,4.22M,5.57%
Mar 01  2016,7.72,7.73,7.91,7.48,3.84M,0.92%
Feb 29  2016,7.65,7.50,7.66,7.49,2.24M,3.66%
Feb 26  2016,7.38,7.40,7.49,7.31,2.23M,2.93%
Feb 25  2016,7.17,7.14,7.33,6.88,2.39M,0.14%
Feb 24  2016,7.16,6.82,7.22,6.82,2.39M,1.70%
Feb 23  2016,7.04,7.05,7.16,6.91,3.15M,-2.63%
Feb 22  2016,7.23,7.34,7.35,7.13,1.53M,4.33%
Feb 19  2016,6.93,6.73,7.01,6.50,2.73M,2.06%
Feb 18  2016,6.79,7.30,7.38,6.77,4.45M,-3.82%
Feb 17  2016,7.06,6.70,7.12,6.64,3.88M,9.12%
Feb 16  2016,6.47,6.57,6.58,6.29,2.64M,1.73%
Feb 12  2016,6.36,6.50,6.55,6.22,3.27M,2.42%
Feb 11  2016,6.21,5.91,6.44,5.60,7.38M,4.72%
Feb 10  2016,5.93,6.12,6.13,5.88,6.47M,-2.95%
Feb 09  2016,6.11,6.45,6.53,5.97,4.21M,-7.28%
Feb 08  2016,6.59,6.87,6.95,6.51,2.92M,-5.59%
Feb 05  2016,6.98,7.15,7.27,6.98,3.68M,-3.19%
Feb 04  2016,7.21,7.40,7.59,6.96,4.34M,-0.41%
Feb 03  2016,7.24,7.11,7.29,6.55,4.26M,5.39%
Feb 02  2016,6.87,7.10,7.11,6.78,2.60M,-6.02%
Feb 01  2016,7.31,7.34,7.56,7.12,2.32M,-4.57%
Jan 29  2016,7.66,7.79,7.94,7.34,3.58M,0.52%
Jan 28  2016,7.62,7.63,7.69,7.19,6.81M,7.48%
Jan 27  2016,7.09,7.12,7.46,6.94,5.50M,-1.94%
Jan 26  2016,7.23,7.19,7.35,6.73,6.64M,3.73%
Jan 25  2016,6.97,7.70,7.76,6.92,5.12M,-12.33%
Jan 22  2016,7.95,7.60,7.96,7.36,7.23M,11.97%
Jan 21  2016,7.10,6.89,7.40,6.56,7.97M,1.57%
Jan 20  2016,6.99,5.82,7.13,5.80,11.73M,9.39%
Jan 19  2016,6.39,6.90,6.90,6.33,3.15M,-4.48%
Jan 18  2016,6.69,6.60,6.83,6.58,888.91K,-0.30%
Jan 15  2016,6.71,6.67,6.90,6.50,3.12M,-7.83%
Jan 14  2016,7.28,7.15,7.36,6.89,3.17M,1.96%
Jan 13  2016,7.14,7.16,7.40,7.00,5.68M,2.73%
Jan 12  2016,6.95,7.61,7.66,6.75,3.69M,-7.21%
Jan 11  2016,7.49,8.05,8.07,7.45,2.08M,-7.76%
Jan 08  2016,8.12,8.10,8.24,7.82,1.84M,2.14%
Jan 07  2016,7.95,8.40,8.40,7.92,2.23M,-8.30%
Jan 06  2016,8.67,8.75,8.76,8.51,2.09M,-4.20%
Jan 05  2016,9.05,8.97,9.08,8.82,1.26M,0.89%
Jan 04  2016,8.97,9.11,9.20,8.76,1.42M,-1.10%
Dec 31  2015,9.07,8.81,9.19,8.80,867.03K,2.95%
Dec 30  2015,8.81,9.00,9.22,8.80,725.77K,-3.72%
Dec 29  2015,9.15,9.13,9.30,9.05,727.50K,-1.61%
Dec 24  2015,9.30,9.48,9.57,9.15,744.66K,-0.85%
Dec 23  2015,9.38,9.06,9.40,9.00,2.09M,6.59%
Dec 22  2015,8.80,8.83,9.02,8.79,1.52M,-0.79%
Dec 21  2015,8.87,8.92,9.07,8.74,1.18M,-0.89%
Dec 18  2015,8.95,8.63,9.11,8.63,2.68M,2.17%
