Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,5.58,5.56,5.63,5.48,7.66M,4.49%
Apr 18  2016,5.34,5.33,5.37,5.25,6.03M,2.89%
Apr 15  2016,5.19,4.95,5.24,4.95,6.67M,5.92%
Apr 14  2016,4.90,5.06,5.16,4.79,6.98M,-4.30%
Apr 13  2016,5.12,5.10,5.22,5.06,6.23M,-2.66%
Apr 12  2016,5.26,5.17,5.34,5.04,13.23M,2.73%
Apr 11  2016,5.12,4.88,5.12,4.86,10.58M,9.64%
Apr 08  2016,4.67,4.28,4.77,4.28,10.60M,8.35%
Apr 07  2016,4.31,4.19,4.34,4.17,4.90M,5.12%
Apr 06  2016,4.10,4.02,4.10,3.97,2.96M,0.24%
Apr 05  2016,4.09,4.06,4.09,3.95,3.97M,3.28%
Apr 04  2016,3.96,3.98,4.04,3.92,3.14M,-1.98%
Apr 01  2016,4.04,3.86,4.04,3.82,5.23M,2.54%
Mar 31  2016,3.94,4.06,4.07,3.94,4.72M,-0.76%
Mar 30  2016,3.97,4.04,4.08,3.88,5.53M,-1.98%
Mar 29  2016,4.05,3.87,4.11,3.80,5.17M,5.47%
Mar 28  2016,3.84,3.91,3.92,3.73,2.30M,-1.54%
Mar 24  2016,3.90,3.87,3.91,3.82,5.99M,2.36%
Mar 23  2016,3.81,4.01,4.02,3.79,8.47M,-7.97%
Mar 22  2016,4.14,4.18,4.27,4.10,4.99M,0.98%
Mar 21  2016,4.10,3.98,4.14,3.98,4.09M,0.99%
Mar 18  2016,4.06,3.99,4.14,3.97,9.26M,0.50%
Mar 17  2016,4.04,4.24,4.29,4.02,7.46M,-3.12%
Mar 16  2016,4.17,3.91,4.18,3.76,8.42M,5.04%
Mar 15  2016,3.97,3.95,3.99,3.76,6.42M,-0.25%
Mar 14  2016,3.98,4.19,4.26,3.92,7.06M,-3.86%
Mar 11  2016,4.14,4.23,4.29,4.12,5.34M,-2.59%
Mar 10  2016,4.25,4.16,4.28,4.05,6.89M,3.91%
Mar 09  2016,4.09,4.08,4.18,3.94,7.70M,-2.62%
Mar 08  2016,4.20,4.43,4.47,4.17,7.75M,-3.23%
Mar 07  2016,4.34,4.18,4.39,4.17,9.49M,5.34%
Mar 04  2016,4.12,4.12,4.37,4.01,10.57M,1.98%
Mar 03  2016,4.04,3.81,4.10,3.78,6.48M,6.60%
Mar 02  2016,3.79,3.71,3.82,3.62,5.81M,3.84%
Mar 01  2016,3.65,3.92,3.93,3.61,6.41M,-4.70%
Feb 29  2016,3.83,3.71,3.88,3.70,6.13M,4.36%
Feb 26  2016,3.67,3.61,3.79,3.57,6.25M,-1.61%
Feb 25  2016,3.73,3.75,3.81,3.63,5.29M,-0.80%
Feb 24  2016,3.76,3.95,3.96,3.69,10.08M,0.27%
Feb 23  2016,3.75,3.74,3.88,3.71,6.75M,3.31%
Feb 22  2016,3.63,3.55,3.69,3.52,6.19M,-2.16%
Feb 19  2016,3.71,3.73,3.88,3.66,8.28M,1.09%
Feb 18  2016,3.67,3.32,3.78,3.30,10.85M,7.62%
Feb 17  2016,3.41,3.49,3.52,3.32,7.66M,-1.45%
Feb 16  2016,3.46,3.51,3.69,3.40,7.46M,-6.74%
Feb 12  2016,3.71,3.51,3.74,3.49,6.06M,0.54%
Feb 11  2016,3.69,3.80,3.83,3.55,16.60M,9.17%
Feb 10  2016,3.38,3.20,3.40,3.00,8.45M,2.74%
Feb 09  2016,3.29,3.60,3.61,3.27,10.10M,-7.06%
Feb 08  2016,3.54,3.41,3.76,3.39,13.01M,10.97%
Feb 05  2016,3.19,2.87,3.23,2.82,8.21M,5.63%
Feb 04  2016,3.02,2.94,3.07,2.92,6.15M,7.86%
Feb 03  2016,2.80,2.58,2.81,2.55,4.82M,10.24%
Feb 02  2016,2.54,2.57,2.60,2.52,3.59M,0.40%
Feb 01  2016,2.53,2.48,2.58,2.44,4.35M,4.98%
Jan 29  2016,2.41,2.29,2.46,2.28,3.70M,7.11%
Jan 28  2016,2.25,2.36,2.36,2.23,3.21M,-3.85%
Jan 27  2016,2.34,2.15,2.34,2.15,3.43M,3.08%
Jan 26  2016,2.27,2.19,2.28,2.18,4.32M,6.07%
Jan 25  2016,2.14,2.24,2.34,2.13,3.88M,-0.93%
Jan 22  2016,2.16,2.08,2.16,2.03,4.05M,4.85%
Jan 21  2016,2.06,2.09,2.13,2.00,3.26M,-3.29%
Jan 20  2016,2.13,2.14,2.17,2.06,4.17M,4.41%
Jan 19  2016,2.04,2.20,2.23,2.01,5.44M,-8.11%
Jan 18  2016,2.22,2.29,2.30,2.20,1.01M,-2.20%
Jan 15  2016,2.27,2.54,2.55,2.25,4.17M,-5.81%
Jan 14  2016,2.41,2.54,2.56,2.31,4.65M,-8.71%
Jan 13  2016,2.64,2.55,2.66,2.53,2.45M,3.13%
Jan 12  2016,2.56,2.61,2.63,2.51,2.73M,-3.03%
Jan 11  2016,2.64,2.84,2.85,2.59,2.62M,-6.71%
Jan 08  2016,2.83,2.88,2.89,2.73,4.38M,-4.39%
Jan 07  2016,2.96,2.97,3.03,2.81,6.47M,5.34%
Jan 06  2016,2.81,2.77,2.89,2.76,5.97M,4.46%
Jan 05  2016,2.69,2.73,2.74,2.67,1.75M,0.37%
Jan 04  2016,2.68,2.66,2.74,2.63,2.76M,4.28%
Dec 31  2015,2.57,2.59,2.61,2.53,1.97M,-1.53%
Dec 30  2015,2.61,2.60,2.65,2.58,1.31M,-1.14%
Dec 29  2015,2.64,2.69,2.69,2.60,2.24M,-4.00%
Dec 24  2015,2.75,2.66,2.76,2.66,1.22M,4.17%
Dec 23  2015,2.64,2.58,2.66,2.55,3.54M,3.13%
Dec 22  2015,2.56,2.59,2.68,2.54,5.01M,-2.66%
Dec 21  2015,2.63,2.60,2.72,2.59,3.29M,3.14%
Dec 18  2015,2.55,2.48,2.63,2.48,9.35M,1.59%
Dec 17  2015,2.51,2.54,2.58,2.49,2.90M,-5.64%
Dec 16  2015,2.66,2.65,2.67,2.47,7.90M,4.31%
Dec 15  2015,2.55,2.73,2.74,2.54,3.91M,-4.49%
Dec 14  2015,2.67,2.88,2.89,2.66,3.93M,-7.29%
Dec 11  2015,2.88,2.83,2.96,2.82,3.68M,0.00%
Dec 10  2015,2.88,2.86,2.95,2.83,3.40M,1.05%
Dec 09  2015,2.85,2.95,2.97,2.80,2.59M,0.35%
Dec 08  2015,2.84,2.97,2.98,2.80,2.38M,-1.73%
